,ISIN,Produkt Name,Produkttyp,Basiswert,Begebungsdatum,Brief,Geld
214,DE000MA5MSZ6,"Optionsschein | Call | AXA | 28,00 | 17.12.21",Optionsschein,AXA,02.03.2021,-,"0,146 EUR"
215,DE000MA5MHF1,"Optionsschein | Call | BASF | 112,00 | 16.12.22",Optionsschein,BASF,02.03.2021,"0,148 EUR","0,097 EUR"
216,DE000MA5M827,"Mini-Future | Long | CAC 40 ® | 5.740,00 | 5.655,1724",Mini-Future,CAC 40 ®,02.03.2021,"1,650 EUR","1,640 EUR"
217,DE000MA5MJ67,"Optionsschein | Call | BMW | 108,00 | 16.09.22",Optionsschein,BMW,02.03.2021,"0,173 EUR","0,112 EUR"
218,DE000MA5MHJ3,"Optionsschein | Call | BMW | 66,00 | 16.09.22",Optionsschein,BMW,02.03.2021,"1,220 EUR","1,150 EUR"
219,DE000MA5MDS3,"Mini-Future | Long | BayWa | 30,00 | 28,5714",Mini-Future,BayWa,02.03.2021,"0,480 EUR","0,440 EUR"
220,DE000MA5MM05,"Optionsschein | Call | ASML | 470,00 | 17.06.22",Optionsschein,ASML,02.03.2021,"6,950 EUR","6,870 EUR"
221,DE000MA5M5X1,"Faktor-Zertifikat | 4,00 | Short | Bilibili",Faktor-Zertifikat,Bilibili,02.03.2021,"7,100 EUR","7,030 EUR"
222,DE000MA5MT16,"Optionsschein | Call | AXA | 32,00 | 17.12.21",Optionsschein,AXA,02.03.2021,-,"0,060 EUR"
223,DE000MA5MSW3,"Optionsschein | Call | AXA | 27,00 | 18.06.21",Optionsschein,AXA,02.03.2021,-,"0,039 EUR"
224,DE000MA5MHM7,"Optionsschein | Call | BMW | 84,00 | 18.06.21",Optionsschein,BMW,02.03.2021,"0,094 EUR","0,070 EUR"
225,DE000MA5MSY9,"Optionsschein | Call | AXA | 27,00 | 17.09.21",Optionsschein,AXA,02.03.2021,-,"0,103 EUR"
226,DE000MA5MH10,"Optionsschein | Call | BASF | 76,00 | 18.06.21",Optionsschein,BASF,02.03.2021,"0,138 EUR","0,118 EUR"
227,DE000MA5MBJ6,"Turbo Open End | Long | Beneteau | 11,50",Turbo Open End,Beneteau,02.03.2021,-,"1,510 EUR"
228,DE000MA5MEK8,"Mini-Future | Long | BNP Paribas | 48,00 | 44,6511",Mini-Future,BNP Paribas,02.03.2021,-,"0,560 EUR"
229,DE000MA5M876,"Turbo | Long | CAC 40 ® | 5.690,00 | 19.03.21",Turbo,CAC 40 ®,02.03.2021,"1,480 EUR","1,470 EUR"
230,DE000MA5MT32,"Optionsschein | Call | BMW | 104,00 | 16.12.22",Optionsschein,BMW,02.03.2021,"0,242 EUR","0,181 EUR"
231,DE000MA5M7Z2,"Mini-Future | Long | CAC 40 ® | 5.710,00 | 5.625,6157",Mini-Future,CAC 40 ®,02.03.2021,"1,950 EUR","1,940 EUR"
