Produkttyp,Valor,SIX Symbol,ISIN,Basiswert,Name,Fälligkeitsdatum,Währung,Geld,Brief
Warrant mit Knock-Out,57916497,,CH0579164978,Euro STOXX 50 Price Index,Open End Turbo Call Warrant,Open End,CHF,8.286999702,8.309000015
Warrant mit Knock-Out,57916496,,CH0579164960,Euro STOXX 50 Price Index,Open End Turbo Call Warrant,Open End,CHF,8.020999908,8.043000221
Warrant mit Knock-Out,57916495,,CH0579164952,Euro STOXX 50 Price Index,Open End Turbo Call Warrant,Open End,CHF,7.743000031,7.764999866
Warrant mit Knock-Out,57916494,,CH0579164945,DAX,Open End Turbo Call Warrant,Open End,CHF,27.71199989,27.72100067
Warrant mit Knock-Out,57916493,,CH0579164937,DAX,Open End Turbo Call Warrant,Open End,CHF,27.43899918,27.44799995
Warrant mit Knock-Out,57916492,,CH0579164929,DAX,Open End Turbo Call Warrant,Open End,CHF,27.13999939,27.14900017
Warrant mit Knock-Out,57916491,,CH0579164911,DAX,Open End Turbo Call Warrant,Open End,CHF,26.86199951,26.87100029
Warrant mit Knock-Out,57916490,,CH0579164903,DAX,Open End Turbo Call Warrant,Open End,CHF,26.60099983,26.61000061
Warrant mit Knock-Out,57916489,,CH0579164895,DAX,Open End Turbo Call Warrant,Open End,CHF,26.32900047,26.33799934
Warrant mit Knock-Out,57916488,,CH0579164887,DAX,Open End Turbo Call Warrant,Open End,CHF,26.0510006,26.05999947
Warrant mit Knock-Out,57916487,,CH0579164879,DAX,Open End Turbo Call Warrant,Open End,CHF,25.76799965,25.77700043
Warrant mit Knock-Out,57916486,,CH0579164861,DAX,Open End Turbo Call Warrant,Open End,CHF,25.49600029,25.50499916
Warrant mit Knock-Out,57916485,,CH0579164853,DAX,Open End Turbo Call Warrant,Open End,CHF,25.21800041,25.22699928
Warrant mit Knock-Out,57916484,,CH0579164846,DAX,Open End Turbo Call Warrant,Open End,CHF,24.94099998,24.95000076
Warrant mit Knock-Out,57916483,,CH0579164838,DAX,Open End Turbo Call Warrant,Open End,CHF,24.65800095,24.66699982
Warrant mit Knock-Out,57916482,,CH0579164820,DAX,Open End Turbo Call Warrant,Open End,CHF,24.38599968,24.39500046
Warrant mit Knock-Out,57916481,,CH0579164812,DAX,Open End Turbo Call Warrant,Open End,CHF,24.10199928,24.11100006
Warrant mit Knock-Out,57916480,,CH0579164804,DAX,Open End Turbo Call Warrant,Open End,CHF,23.82999992,23.8390007
Warrant mit Knock-Out,57916479,,CH0579164796,DAX,Open End Turbo Call Warrant,Open End,CHF,23.5529995,23.56200027
Warrant mit Knock-Out,57916478,,CH0579164788,DAX,Open End Turbo Call Warrant,Open End,CHF,23.27499962,23.2840004
Warrant mit Knock-Out,57916477,,CH0579164770,DAX,Open End Turbo Call Warrant,Open End,CHF,22.99799919,23.00699997
Warrant mit Knock-Out,57916476,,CH0579164762,DAX,Open End Turbo Call Warrant,Open End,CHF,22.71999931,22.72900009
Warrant mit Knock-Out,57916475,,CH0579164754,DAX,Open End Turbo Call Warrant,Open End,CHF,22.60400009,22.61300087
Warrant mit Knock-Out,57916474,,CH0579164747,DAX,Open End Turbo Call Warrant,Open End,CHF,22.49799919,22.50699997
Warrant mit Knock-Out,57916473,,CH0579164739,DAX,Open End Turbo Call Warrant,Open End,CHF,22.43700027,22.44599915
Warrant mit Knock-Out,57916472,,CH0579164721,DAX,Open End Turbo Call Warrant,Open End,CHF,22.1760006,22.18499947
Warrant mit Knock-Out,57916471,,CH0579164713,DAX,Open End Turbo Call Warrant,Open End,CHF,21.88699913,21.89599991
Warrant mit Knock-Out,57916470,,CH0579164705,Orange,Open End Turbo Call Warrant,Open End,CHF,0.08,0.11
Warrant mit Knock-Out,57916469,,CH0579164697,adidas,Open End Turbo Call Warrant,Open End,CHF,3.823999882,3.924000025
Mini-Future,57916447,,CH0579164473,S&P 500 Index,Long Mini-Future,Open End,CHF,5.230999947,5.241000175
Mini-Future,57916446,,CH0579164465,NASDAQ 100 Index,Long Mini-Future,Open End,CHF,19.05800056,19.06800079
Mini-Future,57916445,,CH0579164457,Dow Jones Industrial Average Index,Long Mini-Future,Open End,CHF,4.035999775,4.046000004
Mini-Future,57916444,,CH0579164440,Dow Jones Industrial Average Index,Long Mini-Future,Open End,CHF,4.222000122,4.231999874
Mini-Future,57916443,,CH0579164432,Dow Jones Industrial Average Index,Long Mini-Future,Open End,CHF,4.407000065,4.416999817
Mini-Future,57916442,,CH0579164424,Dow Jones Industrial Average Index,Long Mini-Future,Open End,CHF,4.592000008,4.602000237
Mini-Future,57916441,,CH0579164416,Dow Jones Industrial Average Index,Long Mini-Future,Open End,CHF,4.960999966,4.971000195
