"Produkttyp","Valor","SIX Symbol","ISIN","Basiswert","Name","Fälligkeitsdatum","Währung","Geld","Brief"
"Warrant mit Knock-Out","57210377","","CH0572103775","ABB","Open End Turbo Put Warrant","Open End","CHF","0.5609999895095825","0.5849999785423279"
"Mini-Future","57210369","","CH0572103692","Logitech","Long Mini-Future","Open End","CHF","3.872999906539917","3.907000064849854"
"Mini-Future","57210358","","CH0572103585","Dufry","Long Mini-Future","Open End","CHF","3.322999954223633","3.357000112533569"
"Mini-Future","57210356","","CH0572103569","Bucher Industries","Long Mini-Future","Open End","CHF","1.24399995803833","1.26800000667572"
"Mini-Future","57210344","","CH0572103445","Straumann","Short Mini-Future","Open End","CHF","0.6610000133514404","0.6850000023841858"
"Mini-Future","57210335","","CH0572103353","Sonova","Short Mini-Future","Open End","CHF","1.246999979019165","1.271000027656555"
"Warrant","57210334","","CH0572103346","Sika AG","Call Warrant","2021-06-18","CHF","0.02","0.044"
"Warrant","57210333","","CH0572103338","Sika AG","Call Warrant","2021-03-19","CHF","0.001","0.013"
"Warrant","57210332","","CH0572103320","SIG Combibloc","Call Warrant","2021-06-18","CHF","0.001","0.014"
"Warrant","57210331","","CH0572103312","SIG Combibloc","Call Warrant","2021-03-19","CHF","0.001","0.012"
"Warrant","57210330","","CH0572103304","Siegfried Holding AG","Call Warrant","2021-06-18","CHF","0.02400000020861626","0.05799999833106995"
"Warrant","57210329","","CH0572103296","Siegfried Holding AG","Call Warrant","2021-06-18","CHF","0.1589999943971634","0.193000003695488"
"Warrant","57210328","","CH0572103288","Siegfried Holding AG","Call Warrant","2021-03-19","CHF","0.001","0.024"
"Warrant","57210327","","CH0572103270","Siegfried Holding AG","Call Warrant","2021-03-19","CHF","0.0560000017285347","0.09000000357627869"
"Warrant","57210324","","CH0572103247","Roche","Call Warrant","2021-09-17","CHF","0.3759999871253967","0.4000000059604645"
"Warrant","57210323","","CH0572103239","Roche","Call Warrant","2021-06-18","CHF","0.1620000004768372","0.1860000044107437"
"Warrant","57210322","","CH0572103221","Sonova","Call Warrant","2021-09-17","CHF","0.001","0.021"
