"WKN;""Basiswert"";""Produkttyp"";""Letzter Bewertungstag"";""Zeit"";""Quotierung"";""Geld"";""Brief""",,,
"DFP2XW;""EUR/CAD"";""Endlos Turbo Long"";""Endlos"";""16:22:29"";""DZ BANK"";""0","99 EUR"";""1","01 EUR""",
"DFP2ZU;""EUR/ZAR"";""Endlos Turbo Long"";""Endlos"";""16:19:14"";""DZ BANK"";""3","69 EUR"";""3","76 EUR""",
"DV05W2;""Kakao Future"";""Endlos Turbo Long"";""Endlos"";""16:32:05"";""DZ BANK"";""1","39 EUR"";""1","42 EUR""",
"DFP2YH;""EUR/JPY"";""Endlos Turbo Long"";""Endlos"";""16:27:23"";""DZ BANK"";""0","39 EUR"";""0","40 EUR""",
"DFP2XV;""EUR/CAD"";""Endlos Turbo Long"";""Endlos"";""16:22:30"";""DZ BANK"";""1","13 EUR"";""1","15 EUR""",
"DV05XA;""Kaffee Future"";""Endlos Turbo Long"";""Endlos"";""16:15:24"";""DZ BANK"";""0","82 EUR"";""0","83 EUR""",
"DV05W8;""Kaffee Future"";""Endlos Turbo Long"";""Endlos"";""16:16:52"";""DZ BANK"";""1","14 EUR"";""1","15 EUR""",
"DFP2YG;""EUR/HUF"";""Endlos Turbo Long"";""Endlos"";""16:24:57"";""DZ BANK"";""1","27 EUR"";""1","47 EUR""",
"DFP2YB;""EUR/CZK"";""Endlos Turbo Long"";""Endlos"";""16:26:23"";""DZ BANK"";""1","57 EUR"";""1","77 EUR""",
"DFP2ZK;""EUR/NZD"";""Endlos Turbo Long"";""Endlos"";""16:23:47"";""DZ BANK"";""1","88 EUR"";""1","90 EUR""",
"DFP2YF;""EUR/GBP"";""Endlos Turbo Long"";""Endlos"";""16:24:59"";""DZ BANK"";""0","78 EUR"";""0","79 EUR""",
"DV05W9;""Kaffee Future"";""Endlos Turbo Long"";""Endlos"";""16:29:30"";""DZ BANK"";""0","89 EUR"";""0","90 EUR""",
"DFP2ZL;""EUR/NZD"";""Endlos Turbo Long"";""Endlos"";""16:23:46"";""DZ BANK"";""1","73 EUR"";""1","75 EUR""",
"DFP2ZX;""EUR/ZAR"";""Endlos Turbo Long"";""Endlos"";""16:22:10"";""DZ BANK"";""2","76 EUR"";""2","83 EUR""",
"DFP2ZS;""EUR/ZAR"";""Endlos Turbo Long"";""Endlos"";""16:19:14"";""DZ BANK"";""4","24 EUR"";""4","31 EUR""",
