"WKN;""Basiswert"";""Produkttyp"";""Letzter Bewertungstag"";""Zeit"";""Quotierung"";""Geld"";""Brief""",,
"DFP2R0;""Rational AG"";""Aktienanleihe Classic"";""10.09.2021"";""21:59:50"";""DZ BANK"";""99","39 %"";""100","94 %"""
"DV05WG;""ZOOPLUS AG"";""Aktienanleihe Classic"";""18.03.2022"";""21:56:11"";""DZ BANK"";""104","18 %"";""105","65 %"""
"DV05TC;""Jenoptik AG"";""Aktienanleihe Classic"";""18.03.2022"";""21:59:28"";""DZ BANK"";""102","83 %"";""103","08 %"""
"DV05QZ;""Bauer AG"";""Aktienanleihe Classic"";""18.03.2022"";""21:56:11"";""DZ BANK"";""104","01 %"";""104","76 %"""
"DV05QW;""Banco Bilbao Vizcaya Argentaria"";""Aktienanleihe Classic"";""18.03.2022"";""21:59:51"";""DZ BANK"";""101","38 %"";""102","18 %"""
"DV05R8;""EssilorLuxottica"";""Aktienanleihe Classic"";""18.03.2022"";""21:59:53"";""DZ BANK"";""99","60 %"";""100","00 %"""
"DV05P7;""Adyen"";""Aktienanleihe Classic"";""18.03.2022"";""21:57:04"";""DZ BANK"";""100","17 %"";""100","57 %"""
"DV05R9;""Fielmann AG"";""Aktienanleihe Classic"";""18.03.2022"";""21:59:50"";""DZ BANK"";""100","60 %"";""101","10 %"""
"DV05U8;""Stellantis N.V."";""Aktienanleihe Classic"";""17.12.2021"";""21:59:49"";""DZ BANK"";""105","32 %"";""105","72 %"""
"DV05UF;""q.beyond AG"";""Aktienanleihe Classic"";""18.03.2022"";""21:58:06"";""DZ BANK"";""106","32 %"";""107","07 %"""
"DV05VS;""TeamViewer AG"";""Aktienanleihe Classic"";""18.03.2022"";""21:59:52"";""DZ BANK"";""103","10 %"";""103","38 %"""
"DV05Q6;""BNP Paribas S.A."";""Aktienanleihe Classic"";""18.03.2022"";""21:59:37"";""DZ BANK"";""97","98 %"";""98","78 %"""
"DV05SQ;""Hannover Rück SE"";""Aktienanleihe Classic"";""18.03.2022"";""21:59:50"";""DZ BANK"";""100","21 %"";""100","61 %"""
"DV05VC;""Stratec SE"";""Aktienanleihe Classic"";""18.03.2022"";""21:58:52"";""DZ BANK"";""102","06 %"";""102","93 %"""
"DV05Q5;""BNP Paribas S.A."";""Aktienanleihe Classic"";""17.12.2021"";""21:59:50"";""DZ BANK"";""98","54 %"";""99","34 %"""
"DV05R4;""Eni S.p.A."";""Aktienanleihe Classic"";""17.03.2022"";""21:59:53"";""DZ BANK"";""97","94 %"";""98","34 %"""
"DV05VJ;""Symrise AG"";""Aktienanleihe Classic"";""17.12.2021"";""21:59:52"";""DZ BANK"";""100","39 %"";""100","76 %"""
"DV05TV;""LPKF Laser & Electronics AG"";""Aktienanleihe Classic"";""17.12.2021"";""21:58:04"";""DZ BANK"";""104","05 %"";""104","80 %"""
