"WKN;""Basiswert"";""Produkttyp"";""Letzter Bewertungstag"";""Zeit"";""Quotierung"";""Geld"";""Brief""",,,
"DV06MU;""Kupfer"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DFP21Z;""EUR/CAD"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV062A;""BMW AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06NB;""Kupfer"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV061X;""Bayer AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DFP22Z;""EUR/NOK"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV063V;""Deutsche Lufthansa AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV060H;""Square Inc."";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV069A;""va-Q-tec AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV063E;""Deutsche Bank AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV062S;""Commerzbank AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06MX;""Kupfer"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV060X;""adidas AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV063H;""Deutsche Bank AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06KW;""Gold-Future"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV069R;""Vonovia SE"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DFP22G;""EUR/GBP"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV069Q;""Vonovia SE"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06KU;""Gold-Future"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV0645;""HeidelbergCement AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV065N;""Hugo Boss AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV065D;""Henkel AG & Co. KGaA Vz."";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV066M;""Muenchener Rueckversicherungs AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV060P;""Tesla Inc"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06M0;""Kupfer"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06NJ;""Kupfer"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV060F;""Pfizer Inc."";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06Z6;""Biogen Idec Inc."";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06NM;""Kupfer"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DFP23K;""EUR/USD"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV061Q;""AXA S.A."";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06MT;""Kupfer"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV067X;""RWE AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06NE;""Kupfer"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV061Y;""Bayer AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06ZY;""Amazon.com Inc."";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV0678;""SFC ENERGY AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV067L;""Puma SE"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV060R;""Aareal Bank AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06Z9;""Electronic Arts Inc."";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV062U;""Commerzbank AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06P3;""Zinn Future"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DFP22F;""EUR/GBP"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DFP21U;""EUR/AUD"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV064Q;""Fraport AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV063F;""Deutsche Bank AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06ML;""Aluminium Future"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV060L;""Tesla Inc"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV066Q;""Muenchener Rueckversicherungs AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DFP23N;""EUR/USD"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV064S;""freenet AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06LL;""Platin"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV066S;""Muenchener Rueckversicherungs AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06NL;""Kupfer"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV063B;""Deutsche Bank AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DFP227;""EUR/NZD"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06MR;""Kupfer"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV062X;""Continental AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV060W;""adidas AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV068B;""Shop Apotheke Europe N.V."";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV065W;""K+S AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06Z0;""Apple Inc."";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV061C;""Allianz SE"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DFP22J;""EUR/GBP"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DFP23Q;""EUR/USD"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DFP228;""EUR/NZD"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV063C;""Deutsche Bank AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV066N;""Muenchener Rueckversicherungs AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV065P;""Infineon Technologies AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV063C;""Deutsche Bank AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV060C;""NVIDIA Corp."";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06M6;""Kupfer"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06NA;""Kupfer"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV061W;""Bauer AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06M5;""Kupfer"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06M9;""Kupfer"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DFP21R;""EUR/AUD"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DFP221;""EUR/NOK"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06NH;""Kupfer"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV066A;""LPKF Laser & Electronics AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV066Z;""Nordex AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV0635;""Deutsche Telekom AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV063Q;""Deutsche Lufthansa AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DFP22P;""EUR/JPY"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV0628;""Deutsche Bank AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV065F;""Henkel AG & Co. KGaA Vz."";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV062M;""Commerzbank AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV0633;""Deutsche Telekom AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DFP21S;""EUR/AUD"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06Z3;""Apple Inc."";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DFP22K;""EUR/GBP"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV060M;""Tesla Inc"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV068P;""TAKKT AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV062Q;""Commerzbank AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV062W;""Compagnie de Saint-Gobain S.A."";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06ZZ;""Amazon.com Inc."";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DFP21V;""EUR/AUD"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06NG;""Kupfer"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06Z4;""Apple Inc."";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DFP22X;""EUR/NOK"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06MS;""Kupfer"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DFP22Y;""EUR/NOK"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV066P;""Muenchener Rueckversicherungs AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV060Q;""Aareal Bank AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DFP21X;""EUR/AUD"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV060B;""Home Depot Inc."";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06KX;""Gold-Future"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06P1;""Zinn Future"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV069N;""Vonovia SE"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV069N;""Vonovia SE"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06M3;""Kupfer"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV066R;""Muenchener Rueckversicherungs AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV063W;""Deutsche Lufthansa AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06PY;""Zinn Future"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06M8;""Kupfer"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DFP22Q;""EUR/JPY"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV066C;""Manz Automation AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV0656;""Leoni AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06NK;""Kupfer"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV060D;""NVIDIA Corp."";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV064F;""Encavis AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06NC;""Kupfer"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DFP231;""EUR/ZAR"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV063P;""Deutsche EuroShop AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DFP222;""EUR/NOK"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV067T;""Royal Dutch Shell plc"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DFP220;""EUR/NOK"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV0629;""Deutsche Bank AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV0610;""Bayer AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV060J;""Tesla Inc"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV0610;""Bayer AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DFP23G;""EUR/SEK"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06MZ;""Kupfer"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV061Z;""Bayer AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV063G;""Deutsche Bank AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV063T;""Deutsche Lufthansa AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV063R;""Deutsche Lufthansa AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DFP226;""EUR/NZD"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV0685;""UmweltBank"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV060A;""Facebook Inc."";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DFP23P;""EUR/USD"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DFP21T;""EUR/AUD"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DFP23R;""EUR/USD"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DFP21W;""EUR/AUD"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV063S;""Deutsche Lufthansa AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV062Y;""Continental AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06Z1;""Apple Inc."";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DFP229;""EUR/NZD"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06MP;""Kupfer"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DFP22H;""EUR/GBP"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06P2;""Zinn Future"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV0619;""BMW AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV060N;""Tesla Inc"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV062R;""Commerzbank AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV0676;""SCHAEFFLER AG INHABER-VORZUGSAKT.O.ST. O.N."";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV069P;""Vonovia SE"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV063U;""Deutsche Lufthansa AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV065E;""Henkel AG & Co. KGaA Vz."";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV068T;""Telefónica Deutschland Holding AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV06MY;""Kupfer"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DFP23A;""EUR/NZD"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV0642;""Grenke AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
