"WKN;""Basiswert"";""Produkttyp"";""Letzter Bewertungstag"";""Zeit"";""Quotierung"";""Geld"";""Brief""",,,
"DV05HM;""Infineon Technologies AG"";""Endlos Turbo Long"";""Endlos"";""18:54:38"";""DZ BANK"";""0","08 EUR"";""0","14 EUR""",
"DV05D3;""Qualcomm Inc."";""Endlos Turbo Long"";""Endlos"";""21:59:46"";""DZ BANK"";""4","40 EUR"";""4","41 EUR""",
"DV05EB;""Tesla Inc"";""Endlos Turbo Long"";""Endlos"";""21:59:51"";""DZ BANK"";""0","16 EUR"";""0","45 EUR""",
"DFP2R7;""EUR/CHF"";""Endlos Turbo Long"";""Endlos"";""21:58:12"";""DZ BANK"";""1","09 EUR"";""1","10 EUR""",
"DFP2TE;""EUR/JPY"";""Endlos Turbo Long"";""Endlos"";""21:59:59"";""DZ BANK"";""0","78 EUR"";""0","79 EUR""",
"DV05E9;""Beiersdorf AG"";""Endlos Turbo Long"";""Endlos"";""21:44:38"";""DZ BANK"";""0","30 EUR"";""0","33 EUR""",
"DV05GL;""ElringKlinger AG"";""Endlos Turbo Long"";""Endlos"";""21:56:12"";""DZ BANK"";""0","13 EUR"";""0","46 EUR""",
"DV0426;""Palladium"";""Endlos Turbo Long"";""Endlos"";""22:00:00"";""DZ BANK"";""6","92 EUR"";""7","97 EUR""",
"DFP2TG;""EUR/JPY"";""Endlos Turbo Long"";""Endlos"";""21:59:59"";""DZ BANK"";""0","62 EUR"";""0","63 EUR""",
"DV05HK;""Infineon Technologies AG"";""Endlos Turbo Long"";""Endlos"";""21:33:00"";""DZ BANK"";""0","26 EUR"";""0","32 EUR""",
"DV05KM;""Telecom Italia S.p.A."";""Endlos Turbo Long"";""Endlos"";""20:43:15"";""DZ BANK"";""0","001 EUR"";""0","091 EUR""",
"DV05M9;""DAX (Performance)"";""Endlos Turbo Long"";""Endlos"";""21:59:54"";""DZ BANK"";""0","94 EUR"";""1","25 EUR""",
"DV05KB;""SMA Solar Technology AG"";""Endlos Turbo Long"";""Endlos"";""21:58:06"";""DZ BANK"";""0","001 EUR"";""0","18 EUR""",
"DV05GQ;""flatexDEGIRO AG"";""Endlos Turbo Long"";""Endlos"";""21:59:50"";""DZ BANK"";""0","18 EUR"";""0","30 EUR""",
"DV05NG;""DAX (Performance)"";""Endlos Turbo Long"";""Endlos"";""21:55:02"";""DZ BANK"";""0","001 EUR"";""1","25 EUR""",
"DFP2R8;""EUR/CHF"";""Endlos Turbo Long"";""Endlos"";""21:59:59"";""DZ BANK"";""0","99 EUR"";""1","00 EUR""",
