"WKN;""Basiswert"";""Produkttyp"";""Letzter Bewertungstag"";""Zeit"";""Quotierung"";""Geld"";""Brief""",,,
"DV05FB;""Beiersdorf AG"";""Endlos Turbo Long"";""Endlos"";""21:45:05"";""DZ BANK"";""0","04 EUR"";""0","10 EUR""",
"DV05GK;""ECKERT & ZIEGLER"";""Endlos Turbo Long"";""Endlos"";""21:58:05"";""DZ BANK"";""0","001 EUR"";""0","45 EUR""",
"DV05F0;""Deutsche Lufthansa AG"";""Endlos Turbo Long"";""Endlos"";""21:59:19"";""DZ BANK"";""0","72 EUR"";""0","78 EUR""",
"DV05HC;""Henkel AG & Co. KGaA Vz."";""Endlos Turbo Long"";""Endlos"";""21:58:02"";""DZ BANK"";""0","34 EUR"";""0","38 EUR""",
"DV05G8;""HelloFresh SE"";""Endlos Turbo Long"";""Endlos"";""21:58:06"";""DZ BANK"";""0","16 EUR"";""0","37 EUR""",
"DV05FN;""COVESTRO AG"";""Endlos Turbo Long"";""Endlos"";""21:59:47"";""DZ BANK"";""0","28 EUR"";""0","30 EUR""",
"DFP2TC;""EUR/JPY"";""Endlos Turbo Long"";""Endlos"";""21:59:59"";""DZ BANK"";""0","93 EUR"";""0","94 EUR""",
"DV05EZ;""Aumann Br"";""Endlos Turbo Long"";""Endlos"";""21:58:06"";""DZ BANK"";""0","001 EUR"";""0","21 EUR""",
"DFP2SZ;""EUR/GBP"";""Endlos Turbo Long"";""Endlos"";""21:59:58"";""DZ BANK"";""1","51 EUR"";""1","52 EUR""",
"DFP2SW;""EUR/GBP"";""Endlos Turbo Long"";""Endlos"";""21:59:58"";""DZ BANK"";""1","85 EUR"";""1","86 EUR""",
"DFP2SX;""EUR/GBP"";""Endlos Turbo Long"";""Endlos"";""21:59:58"";""DZ BANK"";""1","74 EUR"";""1","75 EUR""",
"DV05G2;""HeidelbergCement AG"";""Endlos Turbo Long"";""Endlos"";""21:59:01"";""DZ BANK"";""0","18 EUR"";""0","21 EUR""",
"DV05FC;""Bertrandt AG"";""Endlos Turbo Long"";""Endlos"";""21:58:04"";""DZ BANK"";""0","15 EUR"";""0","27 EUR""",
"DV05FU;""Daimler AG"";""Endlos Turbo Long"";""Endlos"";""21:58:02"";""DZ BANK"";""0","001 EUR"";""0","041 EUR""",
"DV05J3;""Siemens AG"";""Endlos Turbo Long"";""Endlos"";""21:42:47"";""DZ BANK"";""0","001 EUR"";""0","10 EUR""",
"DV05ER;""Twitter Inc."";""Endlos Turbo Long"";""Endlos"";""21:59:50"";""DZ BANK"";""0","26 EUR"";""0","27 EUR""",
"DV05EQ;""Twitter Inc."";""Endlos Turbo Long"";""Endlos"";""21:59:45"";""DZ BANK"";""0","57 EUR"";""0","58 EUR""",
"DV05J7;""Singulus Technologies AG"";""Endlos Turbo Long"";""Endlos"";""21:58:16"";""DZ BANK"";""0","22 EUR"";""0","82 EUR""",
"DV05JK;""PVA TEPLA AG ORD NPV"";""Endlos Turbo Long"";""Endlos"";""21:34:13"";""DZ BANK"";""0","01 EUR"";""0","12 EUR""",
"DV05KG;""Südzucker AG"";""Endlos Turbo Long"";""Endlos"";""21:59:28"";""DZ BANK"";""0","57 EUR"";""0","78 EUR""",
"DV05HF;""HORNBACH HOLD.ST O.N."";""Endlos Turbo Long"";""Endlos"";""21:59:23"";""DZ BANK"";""0","40 EUR"";""0","52 EUR""",
"DV05HL;""Infineon Technologies AG"";""Endlos Turbo Long"";""Endlos"";""21:33:00"";""DZ BANK"";""0","13 EUR"";""0","19 EUR""",
"DFP2S1;""EUR/GBP"";""Endlos Turbo Long"";""Endlos"";""22:00:04"";""DZ BANK"";""1","29 EUR"";""1","30 EUR""",
"DFP2ST;""EUR/GBP"";""Endlos Turbo Long"";""Endlos"";""22:00:05"";""DZ BANK"";""2","21 EUR"";""2","22 EUR""",
"DV05HH;""Inditex S.A."";""Endlos Turbo Long"";""Endlos"";""19:08:54"";""DZ BANK"";""0","06 EUR"";""0","14 EUR""",
"DV0429;""Palladium"";""Endlos Turbo Long"";""Endlos"";""21:59:59"";""DZ BANK"";""4","34 EUR"";""5","54 EUR""",
"DV05M7;""DAX (Performance)"";""Endlos Turbo Long"";""Endlos"";""21:59:55"";""DZ BANK"";""1","13 EUR"";""1","25 EUR""",
"DV05NF;""DAX (Performance)"";""Endlos Turbo Long"";""Endlos"";""21:58:53"";""DZ BANK"";""0","001 EUR"";""1","25 EUR""",
"DFP2SY;""EUR/GBP"";""Endlos Turbo Long"";""Endlos"";""21:59:58"";""DZ BANK"";""1","62 EUR"";""1","63 EUR""",
"DV05D5;""Tesla Inc"";""Endlos Turbo Long"";""Endlos"";""21:59:31"";""DZ BANK"";""0","52 EUR"";""0","53 EUR""",
"DV05E4;""BASF SE"";""Endlos Turbo Long"";""Endlos"";""21:59:51"";""DZ BANK"";""0","035 EUR"";"" -- EUR""",,
"DV05FJ;""Carl Zeiss Meditec AG"";""Endlos Turbo Long"";""Endlos"";""21:59:50"";""DZ BANK"";""0","03 EUR"";""0","36 EUR""",
"DFP2TB;""EUR/JPY"";""Endlos Turbo Long"";""Endlos"";""21:59:59"";""DZ BANK"";""1","01 EUR"";""1","02 EUR""",
"DFP2SH;""EUR/CHF"";""Endlos Turbo Long"";""Endlos"";""21:59:06"";""DZ BANK"";""0","18 EUR"";""0","25 EUR""",
"DV05M4;""DAX (Performance)"";""Endlos Turbo Long"";""Endlos"";""21:59:54"";""DZ BANK"";""1","41 EUR"";""1","44 EUR""",
"DV05GR;""Fraport AG"";""Endlos Turbo Long"";""Endlos"";""21:59:50"";""DZ BANK"";""0","19 EUR"";""0","40 EUR""",
"DV0425;""Palladium"";""Endlos Turbo Long"";""Endlos"";""22:00:00"";""DZ BANK"";""7","99 EUR"";""8","78 EUR""",
"DV05J5;""Siemens Energy AG"";""Endlos Turbo Long"";""Endlos"";""21:58:45"";""DZ BANK"";""0","07 EUR"";""0","13 EUR""",
"DV05M8;""DAX (Performance)"";""Endlos Turbo Long"";""Endlos"";""21:59:55"";""DZ BANK"";""1","03 EUR"";""1","25 EUR""",
"DV05KC;""SNP SCHNEID.-NEUREIT.O.N."";""Endlos Turbo Long"";""Endlos"";""21:59:50"";""DZ BANK"";""0","11 EUR"";""0","26 EUR""",
"DV05HW;""Jenoptik AG"";""Endlos Turbo Long"";""Endlos"";""21:59:28"";""DZ BANK"";""0","033 EUR"";""0","093 EUR""",
"DV05CU;""Apple Inc."";""Endlos Turbo Long"";""Endlos"";""21:59:50"";""DZ BANK"";""2","46 EUR"";""2","47 EUR""",
"DV05G6;""Heidelberger Druckmaschinen AG"";""Endlos Turbo Long"";""Endlos"";""21:58:03"";""DZ BANK"";""0","04 EUR"";""0","19 EUR""",
"DV05HP;""Infineon Technologies AG"";""Endlos Turbo Long"";""Endlos"";""21:33:00"";""DZ BANK"";""0","001 EUR"";""0","12 EUR""",
"DFP2SD;""EUR/CHF"";""Endlos Turbo Long"";""Endlos"";""21:59:59"";""DZ BANK"";""0","54 EUR"";""0","55 EUR""",
"DV05HY;""Lanxess AG"";""Endlos Turbo Long"";""Endlos"";""21:58:52"";""DZ BANK"";""0","05 EUR"";""0","13 EUR""",
"DV05JB;""Nordex AG"";""Endlos Turbo Long"";""Endlos"";""21:59:50"";""DZ BANK"";""0","10 EUR"";""0","61 EUR""",
"DV05JW;""SAP SE"";""Endlos Turbo Long"";""Endlos"";""21:58:02"";""DZ BANK"";""0","001 EUR"";""0","091 EUR""",
"DV05GM;""Encavis AG"";""Endlos Turbo Long"";""Endlos"";""21:59:35"";""DZ BANK"";""0","56 EUR"";""1","04 EUR""",
"DV05J9;""SLM Solutions Group AG"";""Endlos Turbo Long"";""Endlos"";""21:59:37"";""DZ BANK"";""0","88 EUR"";""1","36 EUR""",
"DV05DQ;""Netflix Inc."";""Endlos Turbo Long"";""Endlos"";""21:59:18"";""DZ BANK"";""0","15 EUR"";""0","16 EUR""",
"DV05JP;""RWE AG"";""Endlos Turbo Long"";""Endlos"";""21:59:52"";""DZ BANK"";""0","11 EUR"";""0","12 EUR""",
"DV05DL;""Intel Corporation"";""Endlos Turbo Long"";""Endlos"";""21:59:29"";""DZ BANK"";""0","12 EUR"";""0","15 EUR""",
"DV05CV;""Apple Inc."";""Endlos Turbo Long"";""Endlos"";""21:59:50"";""DZ BANK"";""0","13 EUR"";""0","35 EUR""",
"DFP2TD;""EUR/JPY"";""Endlos Turbo Long"";""Endlos"";""22:00:00"";""DZ BANK"";""0","85 EUR"";""0","86 EUR""",
"DV05HG;""Hypoport AG"";""Endlos Turbo Long"";""Endlos"";""21:58:51"";""DZ BANK"";""3","27 EUR"";""4","47 EUR""",
"DFP2R6;""EUR/CHF"";""Endlos Turbo Long"";""Endlos"";""21:58:12"";""DZ BANK"";""1","18 EUR"";""1","19 EUR""",
"DV05JV;""SAP SE"";""Endlos Turbo Long"";""Endlos"";""21:59:28"";""DZ BANK"";""0","02 EUR"";""0","11 EUR""",
"DV05DM;""MasterCard Inc."";""Endlos Turbo Long"";""Endlos"";""21:59:51"";""DZ BANK"";""1","25 EUR"";""1","26 EUR""",
"DV05NA;""DAX (Performance)"";""Endlos Turbo Long"";""Endlos"";""21:59:55"";""DZ BANK"";""0","84 EUR"";""1","25 EUR""",
"DV05JR;""S+T AG (Z.REG.MK.Z.)O.N."";""Endlos Turbo Long"";""Endlos"";""21:59:06"";""DZ BANK"";""0","21 EUR"";""0","24 EUR""",
"DFP2S9;""EUR/JPY"";""Endlos Turbo Long"";""Endlos"";""22:00:00"";""DZ BANK"";""1","16 EUR"";""1","17 EUR""",
"DFP2SV;""EUR/GBP"";""Endlos Turbo Long"";""Endlos"";""21:59:58"";""DZ BANK"";""1","97 EUR"";""1","98 EUR""",
"DV05GD;""Draegerwerk AG & CO. KGAA Vz."";""Endlos Turbo Long"";""Endlos"";""21:58:03"";""DZ BANK"";""0","01 EUR"";""0","19 EUR""",
"DV05KX;""Vonovia SE"";""Endlos Turbo Long"";""Endlos"";""21:59:47"";""DZ BANK"";""0","031 EUR"";""0","091 EUR""",
"DV05H4;""LPKF Laser & Electronics AG"";""Endlos Turbo Long"";""Endlos"";""21:58:04"";""DZ BANK"";""0","029 EUR"";""0","089 EUR""",
"DV05M3;""DAX (Performance)"";""Endlos Turbo Long"";""Endlos"";""21:59:54"";""DZ BANK"";""1","51 EUR"";""1","54 EUR""",
"DV05JU;""SAP SE"";""Endlos Turbo Long"";""Endlos"";""21:59:28"";""DZ BANK"";""0","07 EUR"";"" -- EUR""",,
"DV05GE;""E.ON SE"";""Endlos Turbo Long"";""Endlos"";""21:58:02"";""DZ BANK"";""0","24 EUR"";""0","28 EUR""",
"DFP2TA;""EUR/JPY"";""Endlos Turbo Long"";""Endlos"";""21:59:59"";""DZ BANK"";""1","08 EUR"";""1","09 EUR""",
"DV05FS;""Daimler AG"";""Endlos Turbo Long"";""Endlos"";""21:58:02"";""DZ BANK"";""0","059 EUR"";""0","099 EUR""",
"DFP2SF;""EUR/CHF"";""Endlos Turbo Long"";""Endlos"";""21:59:06"";""DZ BANK"";""0","36 EUR"";""0","37 EUR""",
"DV0428;""Palladium"";""Endlos Turbo Long"";""Endlos"";""21:59:59"";""DZ BANK"";""5","31 EUR"";""6","36 EUR""",
"DV05NB;""DAX (Performance)"";""Endlos Turbo Long"";""Endlos"";""21:59:54"";""DZ BANK"";""0","75 EUR"";""1","25 EUR""",
"DV05ND;""DAX (Performance)"";""Endlos Turbo Long"";""Endlos"";""21:59:55"";""DZ BANK"";""0","22 EUR"";""1","25 EUR""",
"DV05JQ;""RWE AG"";""Endlos Turbo Long"";""Endlos"";""21:22:26"";""DZ BANK"";""0","001 EUR"";""0","021 EUR""",
"DV05CW;""Apple Inc."";""Endlos Turbo Long"";""Endlos"";""21:59:37"";""DZ BANK"";""0","08 EUR"";""0","35 EUR""",
"DFP2SU;""EUR/GBP"";""Endlos Turbo Long"";""Endlos"";""21:59:58"";""DZ BANK"";""2","08 EUR"";""2","09 EUR""",
"DV05FG;""BMW AG"";""Endlos Turbo Long"";""Endlos"";""21:59:27"";""DZ BANK"";""0","21 EUR"";""0","23 EUR""",
"DV05EX;""Allianz SE"";""Endlos Turbo Long"";""Endlos"";""21:59:49"";""DZ BANK"";""0","42 EUR"";""0","46 EUR""",
"DV05J2;""Siemens AG"";""Endlos Turbo Long"";""Endlos"";""21:59:23"";""DZ BANK"";""0","12 EUR"";""0","17 EUR""",
"DV05G5;""HeidelbergCement AG"";""Endlos Turbo Long"";""Endlos"";""21:59:51"";""DZ BANK"";""0","032 EUR"";""0","092 EUR""",
"DV05J1;""Siemens AG"";""Endlos Turbo Long"";""Endlos"";""21:59:40"";""DZ BANK"";""0","18 EUR"";""0","23 EUR""",
"DV05F3;""Deutsche Lufthansa AG"";""Endlos Turbo Long"";""Endlos"";""21:58:47"";""DZ BANK"";""0","32 EUR"";""0","38 EUR""",
"DV05D7;""Tesla Inc"";""Endlos Turbo Long"";""Endlos"";""21:59:31"";""DZ BANK"";""0","40 EUR"";""0","45 EUR""",
"DFP2S2;""EUR/GBP"";""Endlos Turbo Long"";""Endlos"";""22:00:05"";""DZ BANK"";""1","17 EUR"";""1","18 EUR""",
"DV05EA;""Tesla Inc"";""Endlos Turbo Long"";""Endlos"";""21:59:51"";""DZ BANK"";""0","22 EUR"";""0","45 EUR""",
"DV05H6;""Merck KGaA"";""Endlos Turbo Long"";""Endlos"";""21:58:55"";""DZ BANK"";""1","99 EUR"";""2","05 EUR""",
"DV05KD;""Software AG"";""Endlos Turbo Long"";""Endlos"";""21:59:27"";""DZ BANK"";""0","14 EUR"";""0","23 EUR""",
"DV05HN;""Infineon Technologies AG"";""Endlos Turbo Long"";""Endlos"";""21:33:00"";""DZ BANK"";""0","001 EUR"";""0","12 EUR""",
"DV05G3;""HeidelbergCement AG"";""Endlos Turbo Long"";""Endlos"";""21:59:39"";""DZ BANK"";""0","11 EUR"";""0","14 EUR""",
"DV05CN;""Alphabet Inc. Class-C-Namensaktie"";""Endlos Turbo Long"";""Endlos"";""21:59:50"";""DZ BANK"";""0","21 EUR"";""0","30 EUR""",
"DV05H0;""Lanxess AG"";""Endlos Turbo Long"";""Endlos"";""21:58:02"";""DZ BANK"";""0","001 EUR"";""0","081 EUR""",
"DV05KH;""Süss Microtec AG"";""Endlos Turbo Long"";""Endlos"";""21:58:53"";""DZ BANK"";""0","92 EUR"";""1","55 EUR""",
"DFP2S0;""EUR/GBP"";""Endlos Turbo Long"";""Endlos"";""21:59:58"";""DZ BANK"";""1","39 EUR"";""1","40 EUR""",
"DV05D8;""Tesla Inc"";""Endlos Turbo Long"";""Endlos"";""21:59:51"";""DZ BANK"";""0","34 EUR"";""0","45 EUR""",
"DFP2SE;""EUR/CHF"";""Endlos Turbo Long"";""Endlos"";""21:59:06"";""DZ BANK"";""0","45 EUR"";""0","46 EUR""",
"DV05G4;""HeidelbergCement AG"";""Endlos Turbo Long"";""Endlos"";""21:59:27"";""DZ BANK"";""0","07 EUR"";""0","13 EUR""",
"DV05G1;""Hapag-Lloyd AG"";""Endlos Turbo Long"";""Endlos"";""21:58:06"";""DZ BANK"";""0","96 EUR"";""1","26 EUR""",
"DV05GY;""GFT TECHNOLOGIES"";""Endlos Turbo Long"";""Endlos"";""21:58:05"";""DZ BANK"";""0","62 EUR"";""1","23 EUR""",
"DV05KK;""Tag Immobilien AG"";""Endlos Turbo Long"";""Endlos"";""21:58:06"";""DZ BANK"";""0","01 EUR"";""0","13 EUR""",
"DV05D6;""Tesla Inc"";""Endlos Turbo Long"";""Endlos"";""21:59:31"";""DZ BANK"";""0","46 EUR"";""0","47 EUR""",
"DFP2SC;""EUR/CHF"";""Endlos Turbo Long"";""Endlos"";""21:59:59"";""DZ BANK"";""0","63 EUR"";""0","64 EUR""",
"DV05FY;""Deutsche Boerse AG"";""Endlos Turbo Long"";""Endlos"";""21:59:24"";""DZ BANK"";""0","42 EUR"";""0","48 EUR""",
"DV05GN;""Evotec AG"";""Endlos Turbo Long"";""Endlos"";""21:56:12"";""DZ BANK"";""0","15 EUR"";""0","21 EUR""",
"DV05D9;""Tesla Inc"";""Endlos Turbo Long"";""Endlos"";""21:59:51"";""DZ BANK"";""0","28 EUR"";""0","45 EUR""",
"DV05NC;""DAX (Performance)"";""Endlos Turbo Long"";""Endlos"";""21:59:54"";""DZ BANK"";""0","49 EUR"";""1","25 EUR""",
"DV05JT;""SAP SE"";""Endlos Turbo Long"";""Endlos"";""21:59:02"";""DZ BANK"";""0","63 EUR"";""0","69 EUR""",
"DV05EU;""ADVA Optical Networking SE"";""Endlos Turbo Long"";""Endlos"";""21:59:34"";""DZ BANK"";""0","22 EUR"";""0","40 EUR""",
"DFP2SG;""EUR/CHF"";""Endlos Turbo Long"";""Endlos"";""21:59:06"";""DZ BANK"";""0","27 EUR"";""0","28 EUR""",
"DV05FT;""Daimler AG"";""Endlos Turbo Long"";""Endlos"";""21:58:02"";""DZ BANK"";""0","021 EUR"";""0","061 EUR""",
"DV05F2;""Deutsche Lufthansa AG"";""Endlos Turbo Long"";""Endlos"";""21:58:50"";""DZ BANK"";""0","49 EUR"";""0","55 EUR""",
"DV05HB;""Henkel AG & Co. KGaA Vz."";""Endlos Turbo Long"";""Endlos"";""21:59:34"";""DZ BANK"";""1","11 EUR"";""1","15 EUR""",
"DV05M6;""DAX (Performance)"";""Endlos Turbo Long"";""Endlos"";""21:59:54"";""DZ BANK"";""1","22 EUR"";""1","25 EUR""",
"DV05FA;""Beiersdorf AG"";""Endlos Turbo Long"";""Endlos"";""21:43:20"";""DZ BANK"";""0","17 EUR"";""0","20 EUR""",
"DFP2TF;""EUR/JPY"";""Endlos Turbo Long"";""Endlos"";""22:00:00"";""DZ BANK"";""0","70 EUR"";""0","71 EUR""",
"DV05DJ;""Goldman Sachs Group Inc."";""Endlos Turbo Long"";""Endlos"";""21:59:41"";""DZ BANK"";""1","54 EUR"";""1","55 EUR""",
"DV05F1;""Deutsche Lufthansa AG"";""Endlos Turbo Long"";""Endlos"";""21:58:47"";""DZ BANK"";""0","61 EUR"";""0","67 EUR""",
"DV0427;""Palladium"";""Endlos Turbo Long"";""Endlos"";""22:00:00"";""DZ BANK"";""6","12 EUR"";""7","17 EUR""",
"DV05KW;""Vonovia SE"";""Endlos Turbo Long"";""Endlos"";""21:59:47"";""DZ BANK"";""0","67 EUR"";""0","70 EUR""",
"DV05NE;""DAX (Performance)"";""Endlos Turbo Long"";""Endlos"";""21:59:49"";""DZ BANK"";""0","01 EUR"";""1","25 EUR""",
"DV05M5;""DAX (Performance)"";""Endlos Turbo Long"";""Endlos"";""21:59:55"";""DZ BANK"";""1","32 EUR"";""1","35 EUR""",
"DV05G9;""HelloFresh SE"";""Endlos Turbo Long"";""Endlos"";""21:58:06"";""DZ BANK"";""0","001 EUR"";""0","21 EUR""",
"DV05GF;""E.ON SE"";""Endlos Turbo Long"";""Endlos"";""21:59:39"";""DZ BANK"";""0","05 EUR"";""0","13 EUR""",
"DV05HZ;""Lanxess AG"";""Endlos Turbo Long"";""Endlos"";""21:59:48"";""DZ BANK"";""0","012 EUR"";""0","092 EUR""",
"DFP2R9;""EUR/CHF"";""Endlos Turbo Long"";""Endlos"";""21:59:59"";""DZ BANK"";""0","90 EUR"";""0","91 EUR""",
"DV05JE;""Northern Data AG"";""Endlos Turbo Long"";""Endlos"";""17:29:56"";""DZ BANK"";""0","40 EUR"";""0","60 EUR""",
"DV05KN;""ThyssenKrupp AG"";""Endlos Turbo Long"";""Endlos"";""21:16:56"";""DZ BANK"";""0","07 EUR"";""0","19 EUR""",
"DV05FL;""Commerzbank AG"";""Endlos Turbo Long"";""Endlos"";""21:59:24"";""DZ BANK"";""0","37 EUR"";""0","40 EUR""",
"DV05FR;""CROPENERGIES"";""Endlos Turbo Long"";""Endlos"";""21:59:50"";""DZ BANK"";""0","45 EUR"";""0","75 EUR""",
"DV05KU;""VERBIO"";""Endlos Turbo Long"";""Endlos"";""21:56:11"";""DZ BANK"";""0","10 EUR"";""0","16 EUR""",
"DV05HV;""Jenoptik AG"";""Endlos Turbo Long"";""Endlos"";""21:58:52"";""DZ BANK"";""0","10 EUR"";""0","16 EUR""",
"DFP2SB;""EUR/CHF"";""Endlos Turbo Long"";""Endlos"";""21:59:59"";""DZ BANK"";""0","72 EUR"";""0","73 EUR""",
"DV05D2;""Pfizer Inc."";""Endlos Turbo Long"";""Endlos"";""21:59:20"";""DZ BANK"";""0","08 EUR"";""0","17 EUR""",
"DV05J0;""Siemens AG"";""Endlos Turbo Long"";""Endlos"";""21:59:00"";""DZ BANK"";""0","25 EUR"";""0","30 EUR""",
"DFP2SA;""EUR/CHF"";""Endlos Turbo Long"";""Endlos"";""21:59:59"";""DZ BANK"";""0","81 EUR"";""0","82 EUR""",
"DV05HJ;""Infineon Technologies AG"";""Endlos Turbo Long"";""Endlos"";""21:33:00"";""DZ BANK"";""0","39 EUR"";""0","45 EUR""",
"DV04FV;""DAX (Performance)"";""Endlos Turbo Long"";""Endlos"";""21:55:02"";""DZ BANK"";""0","001 EUR"";""1","25 EUR""",
"DV04EL;""Euro Bund Future"";""Endlos Turbo Long"";""Endlos"";""21:59:10"";""DZ BANK"";""8","51 EUR"";""8","52 EUR""",
"DV04TS;""Deutsche EuroShop AG"";""Endlos Turbo Long"";""Endlos"";""21:59:27"";""DZ BANK"";""0","15 EUR"";""0","18 EUR""",
"DV04TH;""Deutsche Bank AG"";""Endlos Turbo Long"";""Endlos"";""21:59:48"";""DZ BANK"";""0","72 EUR"";""0","74 EUR""",
"DV04UW;""Hochtief AG"";""Endlos Turbo Long"";""Endlos"";""21:59:50"";""DZ BANK"";""0","26 EUR"";""0","53 EUR""",
"DV04R2;""Aurubis AG"";""Endlos Turbo Long"";""Endlos"";""21:58:06"";""DZ BANK"";""0","001 EUR"";""0","18 EUR""",
"DFP2L4;""EUR/JPY"";""Endlos Turbo Long"";""Endlos"";""22:00:00"";""DZ BANK"";""1","18 EUR"";""1","19 EUR""",
"DV04RT;""Airbus Group SE"";""Endlos Turbo Long"";""Endlos"";""21:59:52"";""DZ BANK"";""0","22 EUR"";""0","26 EUR""",
"DV04TT;""Deutsche Lufthansa AG"";""Endlos Turbo Long"";""Endlos"";""21:58:47"";""DZ BANK"";""0","77 EUR"";""0","83 EUR""",
"DV04WK;""SFC ENERGY AG"";""Endlos Turbo Long"";""Endlos"";""21:58:06"";""DZ BANK"";""0","001 EUR"";""0","45 EUR""",
"DV04CH;""Platin"";""Endlos Turbo Long"";""Endlos"";""21:59:58"";""DZ BANK"";""1","49 EUR"";""1","64 EUR""",
"DV04WB;""RWE AG"";""Endlos Turbo Long"";""Endlos"";""21:59:52"";""DZ BANK"";""0","09 EUR"";""0","11 EUR""",
"DV04CG;""Platin"";""Endlos Turbo Long"";""Endlos"";""21:59:58"";""DZ BANK"";""2","31 EUR"";""2","46 EUR""",
"DV04TV;""Deutsche Lufthansa AG"";""Endlos Turbo Long"";""Endlos"";""21:58:47"";""DZ BANK"";""0","53 EUR"";""0","59 EUR""",
"DV04W5;""va-Q-tec AG"";""Endlos Turbo Long"";""Endlos"";""21:58:03"";""DZ BANK"";""0","15 EUR"";""0","24 EUR""",
"DV04SU;""Continental AG"";""Endlos Turbo Long"";""Endlos"";""21:59:35"";""DZ BANK"";""0","37 EUR"";""0","41 EUR""",
"DV04SZ;""COVESTRO AG"";""Endlos Turbo Long"";""Endlos"";""21:58:52"";""DZ BANK"";""0","23 EUR"";""0","25 EUR""",
"DV04CC;""Platin"";""Endlos Turbo Long"";""Endlos"";""21:59:39"";""DZ BANK"";""5","54 EUR"";""5","69 EUR""",
"DV04U3;""ING Groep N.V."";""Endlos Turbo Long"";""Endlos"";""21:58:03"";""DZ BANK"";""0","32 EUR"";""0","41 EUR""",
"DV04VM;""Muenchener Rueckversicherungs AG"";""Endlos Turbo Long"";""Endlos"";""21:59:51"";""DZ BANK"";""0","71 EUR"";""1","07 EUR""",
"DV04R5;""BASF SE"";""Endlos Turbo Long"";""Endlos"";""21:58:02"";""DZ BANK"";""0","001 EUR"";"" -- EUR""",,
"DV04QY;""Apple Inc."";""Endlos Turbo Long"";""Endlos"";""21:59:37"";""DZ BANK"";""1","02 EUR"";""1","03 EUR""",
"DV04FU;""DAX (Performance)"";""Endlos Turbo Long"";""Endlos"";""21:55:02"";""DZ BANK"";""0","001 EUR"";""1","25 EUR""",
"DV04UG;""Eni S.p.A."";""Endlos Turbo Long"";""Endlos"";""21:58:52"";""DZ BANK"";""0","28 EUR"";""0","44 EUR""",
"DV04SL;""BNP Paribas S.A."";""Endlos Turbo Long"";""Endlos"";""21:59:50"";""DZ BANK"";""0","15 EUR"";""0","19 EUR""",
"DV04WQ;""Sixt AG"";""Endlos Turbo Long"";""Endlos"";""21:59:49"";""DZ BANK"";""0","66 EUR"";""0","75 EUR""",
"DV04W2;""TUI AG"";""Endlos Turbo Long"";""Endlos"";""21:58:42"";""DZ BANK"";""0","19 EUR"";""0","31 EUR""",
"DV04WC;""RWE AG"";""Endlos Turbo Long"";""Endlos"";""21:59:52"";""DZ BANK"";""0","045 EUR"";""0","065 EUR""",
