"WKN;""Basiswert"";""Produkttyp"";""Letzter Bewertungstag"";""Zeit"";""Quotierung"";""Geld"";""Brief""",,
"DV08LR;""SAP SE"";""Aktienanleihe Classic"";""13.06.2022"";""14:20:24"";""DZ BANK"";""97","830002 %"";""97","93 %"""
"DV08KM;""BMW AG"";""Aktienanleihe Classic"";""14.03.2022"";""14:25:32"";""DZ BANK"";""98","18 %"";""98","279999 %"""
"DV08LQ;""SAP SE"";""Aktienanleihe Classic"";""14.03.2022"";""14:26:19"";""DZ BANK"";""98","599998 %"";""98","699997 %"""
"DV08LX;""Siemens AG"";""Aktienanleihe Classic"";""13.06.2022"";""14:30:01"";""DZ BANK"";""98","459999 %"";""98","660004 %"""
"DV08KP;""BMW AG"";""Aktienanleihe Classic"";""14.03.2022"";""14:29:04"";""DZ BANK"";""98","230003 %"";""98","330002 %"""
"DV08LM;""RWE AG"";""Aktienanleihe Classic"";""13.06.2022"";""14:25:46"";""DZ BANK"";""96","550003 %"";""96","650002 %"""
"DV08LK;""RWE AG"";""Aktienanleihe Classic"";""13.06.2022"";""14:25:48"";""DZ BANK"";""96","919998 %"";""97","019997 %"""
"DV08LC;""K+S AG"";""Aktienanleihe Classic"";""14.03.2022"";""14:18:42"";""DZ BANK"";""101","220001 %"";""101","32 %"""
"DV08LG;""RWE AG"";""Aktienanleihe Classic"";""14.03.2022"";""14:27:03"";""DZ BANK"";""97","269997 %"";""97","370003 %"""
"DV08LT;""SAP SE"";""Aktienanleihe Classic"";""13.06.2022"";""14:27:58"";""DZ BANK"";""97","900002 %"";""98","00 %"""
"DV08LE;""K+S AG"";""Aktienanleihe Classic"";""13.06.2022"";""14:36:15"";""DZ BANK"";""100","940002 %"";""101","040001 %"""
"DV08K5;""Infineon Technologies AG"";""Aktienanleihe Classic"";""14.03.2022"";""14:18:28"";""DZ BANK"";""99","529999 %"";""99","730003 %"""
"DV08KY;""Fresenius SE & Co. KGaA"";""Aktienanleihe Classic"";""14.03.2022"";""14:22:49"";""DZ BANK"";""98","169998 %"";""98","269997 %"""
"DV08LJ;""RWE AG"";""Aktienanleihe Classic"";""14.03.2022"";""14:27:03"";""DZ BANK"";""96","940002 %"";""97","040001 %"""
"DV08K1;""Fresenius SE & Co. KGaA"";""Aktienanleihe Classic"";""13.06.2022"";""14:28:29"";""DZ BANK"";""97","489998 %"";""97","589996 %"""
"DV08K7;""Infineon Technologies AG"";""Aktienanleihe Classic"";""13.06.2022"";""14:23:10"";""DZ BANK"";""99","57 %"";""99","769997 %"""
"DV08KZ;""Fresenius SE & Co. KGaA"";""Aktienanleihe Classic"";""14.03.2022"";""14:28:29"";""DZ BANK"";""98","110001 %"";""98","209999 %"""
"DV08K6;""Infineon Technologies AG"";""Aktienanleihe Classic"";""14.03.2022"";""14:25:07"";""DZ BANK"";""99","379997 %"";""99","580002 %"""
"DV08K3;""Fresenius SE & Co. KGaA"";""Aktienanleihe Classic"";""13.06.2022"";""14:28:29"";""DZ BANK"";""97","360001 %"";""97","459999 %"""
"DV08LP;""SAP SE"";""Aktienanleihe Classic"";""14.03.2022"";""14:31:24"";""DZ BANK"";""98","589996 %"";""98","690002 %"""
"DV08LL;""RWE AG"";""Aktienanleihe Classic"";""13.06.2022"";""14:27:03"";""DZ BANK"";""96","75 %"";""96","849998 %"""
"DV08K9;""Infineon Technologies AG"";""Aktienanleihe Classic"";""13.06.2022"";""14:25:07"";""DZ BANK"";""99","559998 %"";""99","760002 %"""
"DV08LV;""Siemens AG"";""Aktienanleihe Classic"";""14.03.2022"";""14:20:08"";""DZ BANK"";""98","599998 %"";""98","800003 %"""
"DV08LY;""Siemens AG"";""Aktienanleihe Classic"";""13.06.2022"";""14:31:40"";""DZ BANK"";""98","470001 %"";""98","669998 %"""
"DV08LS;""SAP SE"";""Aktienanleihe Classic"";""13.06.2022"";""14:27:58"";""DZ BANK"";""97","910004 %"";""98","010002 %"""
"DV08K4;""Infineon Technologies AG"";""Aktienanleihe Classic"";""14.03.2022"";""14:25:08"";""DZ BANK"";""99","459999 %"";""99","660004 %"""
"DV08KX;""Deutsche Post AG"";""Aktienanleihe Classic"";""13.06.2022"";""14:29:17"";""DZ BANK"";""96","120003 %"";""96","32 %"""
"DV08KN;""BMW AG"";""Aktienanleihe Classic"";""14.03.2022"";""14:27:58"";""DZ BANK"";""98","199997 %"";""98","300003 %"""
"DV08KQ;""BMW AG"";""Aktienanleihe Classic"";""13.06.2022"";""14:26:06"";""DZ BANK"";""98","099998 %"";""98","199997 %"""
"DV08LH;""RWE AG"";""Aktienanleihe Classic"";""14.03.2022"";""14:25:48"";""DZ BANK"";""97","120003 %"";""97","220001 %"""
"DV08KU;""Deutsche Post AG"";""Aktienanleihe Classic"";""14.03.2022"";""14:27:30"";""DZ BANK"";""97","510002 %"";""97","709999 %"""
"DV08LA;""K+S AG"";""Aktienanleihe Classic"";""14.03.2022"";""14:36:16"";""DZ BANK"";""101","239998 %"";""101","339996 %"""
"DFP2R0;""Rational AG"";""Aktienanleihe Classic"";""10.09.2021"";""14:31:54"";""DZ BANK"";""100","389999 %"";""100","690002 %"""
"DV05WG;""ZOOPLUS AG"";""Aktienanleihe Classic"";""18.03.2022"";""14:35:13"";""DZ BANK"";""104","510002 %"";""104","910004 %"""
"DV05TC;""Jenoptik AG"";""Aktienanleihe Classic"";""18.03.2022"";""14:36:27"";""DZ BANK"";""103","459999 %"";""103","559998 %"""
"DV05QZ;""Bauer AG"";""Aktienanleihe Classic"";""18.03.2022"";""14:20:56"";""DZ BANK"";""106","18 %"";""106","480003 %"""
"DV05QW;""Banco Bilbao Vizcaya Argentaria"";""Aktienanleihe Classic"";""18.03.2022"";""14:35:00"";""DZ BANK"";""101","889999 %"";""102","089996 %"""
"DV05R8;""EssilorLuxottica"";""Aktienanleihe Classic"";""18.03.2022"";""14:37:55"";""DZ BANK"";""100","900002 %"";""101","00 %"""
"DV05P7;""Adyen"";""Aktienanleihe Classic"";""18.03.2022"";""14:23:19"";""DZ BANK"";""102","440002 %"";""102","540001 %"""
"DV05R9;""Fielmann AG"";""Aktienanleihe Classic"";""18.03.2022"";""14:29:36"";""DZ BANK"";""101","220001 %"";""101","419998 %"""
"DV05U8;""Stellantis N.V."";""Aktienanleihe Classic"";""17.12.2021"";""14:18:06"";""DZ BANK"";""106","970001 %"";""107","07 %"""
"DV05UF;""q.beyond AG"";""Aktienanleihe Classic"";""18.03.2022"";""14:29:29"";""DZ BANK"";""107","269997 %"";""107","57 %"""
"DV05VS;""TeamViewer AG"";""Aktienanleihe Classic"";""18.03.2022"";""14:38:56"";""DZ BANK"";""104","529999 %"";""104","629997 %"""
"DV05Q6;""BNP Paribas S.A."";""Aktienanleihe Classic"";""18.03.2022"";""14:21:25"";""DZ BANK"";""98","93 %"";""99","129997 %"""
"DV05SQ;""Hannover Rück SE"";""Aktienanleihe Classic"";""18.03.2022"";""14:37:36"";""DZ BANK"";""101","480003 %"";""101","580002 %"""
"DV05VC;""Stratec SE"";""Aktienanleihe Classic"";""18.03.2022"";""14:34:22"";""DZ BANK"";""103","139999 %"";""103","339996 %"""
"DV05Q5;""BNP Paribas S.A."";""Aktienanleihe Classic"";""17.12.2021"";""14:21:25"";""DZ BANK"";""99","669998 %"";""99","870003 %"""
"DV05R4;""Eni S.p.A."";""Aktienanleihe Classic"";""17.03.2022"";""14:34:19"";""DZ BANK"";""97","580002 %"";""97","68 %"""
"DV05VJ;""Symrise AG"";""Aktienanleihe Classic"";""17.12.2021"";""14:38:09"";""DZ BANK"";""101","50 %"";""101","599998 %"""
"DV05TV;""LPKF Laser & Electronics AG"";""Aktienanleihe Classic"";""17.12.2021"";""14:38:24"";""DZ BANK"";""103","650002 %"";""103","949997 %"""
"DV05SE;""Gerresheimer AG"";""Aktienanleihe Classic"";""17.12.2021"";""14:38:04"";""DZ BANK"";""101","419998 %"";""101","519997 %"""
"DV05QB;""Adyen"";""Aktienanleihe Classic"";""18.03.2022"";""14:36:41"";""DZ BANK"";""101","720001 %"";""101","82 %"""
"DV05T1;""Norma Group AG"";""Aktienanleihe Classic"";""18.03.2022"";""14:17:30"";""DZ BANK"";""103","029999 %"";""103","129997 %"""
"DV05TS;""L'Oreal S.A."";""Aktienanleihe Classic"";""18.03.2022"";""14:36:43"";""DZ BANK"";""100","129997 %"";""100","230003 %"""
"DV05V1;""Uniper SE"";""Aktienanleihe Classic"";""18.03.2022"";""14:33:07"";""DZ BANK"";""100","620003 %"";""100","720001 %"""
"DV05V8;""Vivendi S.A."";""Aktienanleihe Classic"";""18.03.2022"";""14:32:16"";""DZ BANK"";""101","970001 %"";""102","07 %"""
"DV05SP;""Hamburger Hafen und Logistik AG"";""Aktienanleihe Classic"";""18.03.2022"";""14:10:47"";""DZ BANK"";""104","050003 %"";""104","25 %"""
"DV05R0;""Enel S.p.A."";""Aktienanleihe Classic"";""17.03.2022"";""14:32:27"";""DZ BANK"";""98","339996 %"";""98","440002 %"""
"DV05TQ;""Krones AG"";""Aktienanleihe Classic"";""18.03.2022"";""14:21:44"";""DZ BANK"";""98","050003 %"";""98","25 %"""
"DV05VQ;""TeamViewer AG"";""Aktienanleihe Classic"";""17.12.2021"";""14:38:56"";""DZ BANK"";""104","400002 %"";""104","50 %"""
"DV05QH;""Air Liquide S.A."";""Aktienanleihe Classic"";""18.03.2022"";""14:14:55"";""DZ BANK"";""97","160004 %"";""97","360001 %"""
"DV05SR;""Hella GmbH & Co KGaA"";""Aktienanleihe Classic"";""17.12.2021"";""14:38:20"";""DZ BANK"";""102","620003 %"";""102","82 %"""
"DV05TT;""LEG Immobilien AG"";""Aktienanleihe Classic"";""18.03.2022"";""14:34:25"";""DZ BANK"";""98","790001 %"";""98","889999 %"""
"DV05UM;""Rational AG"";""Aktienanleihe Classic"";""18.03.2022"";""14:19:24"";""DZ BANK"";""103","059998 %"";""103","440002 %"""
"DV05V2;""Varta AG"";""Aktienanleihe Classic"";""18.03.2022"";""14:24:29"";""DZ BANK"";""102","459999 %"";""102","559998 %"""
"DV05V2;""Varta AG"";""Aktienanleihe Classic"";""18.03.2022"";""14:24:29"";""DZ BANK"";""102","459999 %"";""102","559998 %"""
"DV05QA;""Adyen"";""Aktienanleihe Classic"";""18.03.2022"";""14:23:19"";""DZ BANK"";""102","169998 %"";""102","269997 %"""
"DV05QT;""AUTO1 Group SE"";""Aktienanleihe Classic"";""18.03.2022"";""14:36:08"";""DZ BANK"";""108","050003 %"";""108","150002 %"""
"DV05QF;""Ahold Delhaize NV"";""Aktienanleihe Classic"";""18.03.2022"";""14:38:15"";""DZ BANK"";""98","699997 %"";""98","800003 %"""
"DV05RL;""Deutsche EuroShop AG"";""Aktienanleihe Classic"";""18.03.2022"";""14:17:35"";""DZ BANK"";""106","620003 %"";""106","720001 %"""
"DV05R1;""Engie S.A."";""Aktienanleihe Classic"";""18.03.2022"";""14:34:59"";""DZ BANK"";""95","25 %"";""95","349998 %"""
"DV05T6;""Koninklijke Philips N.V."";""Aktienanleihe Classic"";""18.03.2022"";""14:31:17"";""DZ BANK"";""99","089996 %"";""99","190002 %"""
"DV05QE;""Ahold Delhaize NV"";""Aktienanleihe Classic"";""17.12.2021"";""14:29:00"";""DZ BANK"";""98","970001 %"";""99","07 %"""
"DV05VZ;""Unicredito Italiano S.p.A."";""Aktienanleihe Classic"";""17.03.2022"";""14:29:51"";""DZ BANK"";""100","230003 %"";""100","330002 %"""
"DV05P6;""Adyen"";""Aktienanleihe Classic"";""18.03.2022"";""14:33:51"";""DZ BANK"";""102","360001 %"";""102","459999 %"""
"DV05UK;""Qiagen N.V."";""Aktienanleihe Classic"";""18.03.2022"";""14:22:41"";""DZ BANK"";""101","339996 %"";""101","540001 %"""
"DV05V6;""Vinci S.A."";""Aktienanleihe Classic"";""18.03.2022"";""14:32:57"";""DZ BANK"";""99","379997 %"";""99","480003 %"""
"DV05RC;""Capgemini S.A."";""Aktienanleihe Classic"";""18.03.2022"";""14:12:22"";""DZ BANK"";""101","389999 %"";""101","489998 %"""
"DV05QG;""Air Liquide S.A."";""Aktienanleihe Classic"";""18.03.2022"";""14:14:56"";""DZ BANK"";""98","309998 %"";""98","510002 %"""
"DV05WD;""Vossloh AG"";""Aktienanleihe Classic"";""18.03.2022"";""14:32:01"";""DZ BANK"";""99","589996 %"";""99","699997 %"""
"DV05VE;""STROEER OUT-OF-HOME AG INHABER-AKTIEN O.N."";""Aktienanleihe Classic"";""17.12.2021"";""14:30:59"";""DZ BANK"";""100","449997 %"";""100","550003 %"""
"DV05VH;""Süss Microtec AG"";""Aktienanleihe Classic"";""18.03.2022"";""14:28:22"";""DZ BANK"";""107","029999 %"";""107","129997 %"""
"DV05UV;""S+T AG (Z.REG.MK.Z.)O.N."";""Aktienanleihe Classic"";""18.03.2022"";""14:27:59"";""DZ BANK"";""106","25 %"";""106","349998 %"""
"DV05VV;""Telefónica S.A."";""Aktienanleihe Classic"";""18.03.2022"";""14:24:17"";""DZ BANK"";""98","059998 %"";""98","260002 %"""
"DV05SM;""GRAND CITY PROPERTIES S.A."";""Aktienanleihe Classic"";""18.03.2022"";""14:28:37"";""DZ BANK"";""103","330002 %"";""103","43 %"""
"DV05RN;""Deutz AG"";""Aktienanleihe Classic"";""18.03.2022"";""14:23:02"";""DZ BANK"";""105","529999 %"";""105","629997 %"""
"DV05Q2;""Bertrandt AG"";""Aktienanleihe Classic"";""18.03.2022"";""13:17:21"";""DZ BANK"";""103","58 %"";""103","78 %"""
"DV05RM;""Deutz AG"";""Aktienanleihe Classic"";""17.12.2021"";""14:29:14"";""DZ BANK"";""104","459999 %"";""104","559998 %"""
"DV05UE;""q.beyond AG"";""Aktienanleihe Classic"";""17.12.2021"";""14:29:29"";""DZ BANK"";""106","190002 %"";""106","489998 %"""
"DV05RU;""Électricité de France S.A. (EdF)"";""Aktienanleihe Classic"";""18.03.2022"";""14:20:53"";""DZ BANK"";""98","139999 %"";""98","239998 %"""
"DV05VT;""TeamViewer AG"";""Aktienanleihe Classic"";""18.03.2022"";""14:38:56"";""DZ BANK"";""104","720001 %"";""104","82 %"""
"DV05RZ;""Enel S.p.A."";""Aktienanleihe Classic"";""17.03.2022"";""14:25:52"";""DZ BANK"";""99","029999 %"";""99","129997 %"""
"DV05VA;""Stellantis N.V."";""Aktienanleihe Classic"";""18.03.2022"";""14:24:04"";""DZ BANK"";""106","839996 %"";""106","940002 %"""
"DV05SL;""GFT TECHNOLOGIES"";""Aktienanleihe Classic"";""18.03.2022"";""14:28:37"";""DZ BANK"";""105","900002 %"";""106","00 %"""
"DV05RE;""Carrefour S.A."";""Aktienanleihe Classic"";""18.03.2022"";""14:28:00"";""DZ BANK"";""98","080002 %"";""98","099998 %"""
"DV05T5;""Pfeiffer Vacuum Technology AG"";""Aktienanleihe Classic"";""18.03.2022"";""14:23:01"";""DZ BANK"";""105","019997 %"";""105","349998 %"""
"DV05U3;""SGL Carbon SE"";""Aktienanleihe Classic"";""18.03.2022"";""14:36:55"";""DZ BANK"";""102","919998 %"";""103","019997 %"""
"DV05U7;""Software AG"";""Aktienanleihe Classic"";""18.03.2022"";""14:29:23"";""DZ BANK"";""99","650002 %"";""99","75 %"""
"DV05R3;""Eni S.p.A."";""Aktienanleihe Classic"";""16.12.2021"";""14:19:55"";""DZ BANK"";""98","110001 %"";""98","209999 %"""
"DV05T4;""Pfeiffer Vacuum Technology AG"";""Aktienanleihe Classic"";""18.03.2022"";""14:23:00"";""DZ BANK"";""105","269997 %"";""105","510002 %"""
"DV05SD;""Gerresheimer AG"";""Aktienanleihe Classic"";""17.12.2021"";""14:38:04"";""DZ BANK"";""101","440002 %"";""101","540001 %"""
"DV05V7;""Vivendi S.A."";""Aktienanleihe Classic"";""17.12.2021"";""14:18:56"";""DZ BANK"";""101","57 %"";""101","669998 %"""
"DV05UL;""Rational AG"";""Aktienanleihe Classic"";""18.03.2022"";""14:19:26"";""DZ BANK"";""102","970001 %"";""103","279999 %"""
"DV05UW;""SAF Holland SE"";""Aktienanleihe Classic"";""17.12.2021"";""14:33:06"";""DZ BANK"";""106","629997 %"";""106","730003 %"""
"DV05WC;""Vossloh AG"";""Aktienanleihe Classic"";""18.03.2022"";""14:32:01"";""DZ BANK"";""100","330002 %"";""100","43 %"""
"DV05U1;""Schneider Electric S.A."";""Aktienanleihe Classic"";""17.12.2021"";""14:33:55"";""DZ BANK"";""100","419998 %"";""100","620003 %"""
"DV05P3;""Adyen"";""Aktienanleihe Classic"";""17.12.2021"";""14:36:10"";""DZ BANK"";""101","059998 %"";""101","160004 %"""
"DV05RA;""Capgemini S.A."";""Aktienanleihe Classic"";""17.12.2021"";""14:12:22"";""DZ BANK"";""101","110001 %"";""101","209999 %"""
"DV05S9;""JDE Peet´s B.V."";""Aktienanleihe Classic"";""18.03.2022"";""14:31:24"";""DZ BANK"";""103","43 %"";""103","529999 %"""
"DV05S1;""Inditex S.A."";""Aktienanleihe Classic"";""18.03.2022"";""14:28:24"";""DZ BANK"";""103","709999 %"";""103","809998 %"""
"DV05TU;""Leoni AG"";""Aktienanleihe Classic"";""18.03.2022"";""14:35:46"";""DZ BANK"";""100","550003 %"";""100","650002 %"""
"DV05RP;""DWS Group GmbH & Co. KGaA"";""Aktienanleihe Classic"";""17.12.2021"";""14:34:04"";""DZ BANK"";""100","449997 %"";""100","550003 %"""
"DV05SF;""Gerresheimer AG"";""Aktienanleihe Classic"";""18.03.2022"";""14:38:04"";""DZ BANK"";""102","339996 %"";""102","440002 %"""
"DV05SA;""Fielmann AG"";""Aktienanleihe Classic"";""18.03.2022"";""14:29:37"";""DZ BANK"";""100","82 %"";""101","019997 %"""
"DV05VU;""Telefónica Deutschland Holding AG"";""Aktienanleihe Classic"";""18.03.2022"";""14:30:05"";""DZ BANK"";""94","150002 %"";""94","550003 %"""
"DV05Q0;""BayWa AG"";""Aktienanleihe Classic"";""18.03.2022"";""14:04:02"";""DZ BANK"";""104","209999 %"";""104","410004 %"""
"DV05UG;""Qiagen N.V."";""Aktienanleihe Classic"";""17.12.2021"";""14:22:41"";""DZ BANK"";""101","300003 %"";""101","50 %"""
"DV05VW;""Telefónica S.A."";""Aktienanleihe Classic"";""18.03.2022"";""14:34:19"";""DZ BANK"";""97","75 %"";""97","949997 %"""
"DV05VL;""Symrise AG"";""Aktienanleihe Classic"";""18.03.2022"";""14:37:43"";""DZ BANK"";""101","769997 %"";""101","870003 %"""
"DV05QR;""AUTO1 Group SE"";""Aktienanleihe Classic"";""17.12.2021"";""14:36:07"";""DZ BANK"";""106","739998 %"";""106","839996 %"""
"DV05SG;""Gerresheimer AG"";""Aktienanleihe Classic"";""18.03.2022"";""14:38:04"";""DZ BANK"";""102","18 %"";""102","279999 %"""
"DV05Q1;""Bertrandt AG"";""Aktienanleihe Classic"";""17.12.2021"";""13:17:21"";""DZ BANK"";""103","26 %"";""103","46 %"""
"DV05QS;""AUTO1 Group SE"";""Aktienanleihe Classic"";""17.12.2021"";""14:36:07"";""DZ BANK"";""105","980003 %"";""106","080002 %"""
"DV05U0;""Sartorius AG VZ."";""Aktienanleihe Classic"";""18.03.2022"";""14:21:32"";""DZ BANK"";""101","489998 %"";""101","779999 %"""
"DV05TR;""L'Oreal S.A."";""Aktienanleihe Classic"";""18.03.2022"";""14:29:36"";""DZ BANK"";""100","339996 %"";""100","440002 %"""
"DV05TJ;""Klöckner & Co. AG"";""Aktienanleihe Classic"";""18.03.2022"";""14:36:36"";""DZ BANK"";""103","599998 %"";""103","800003 %"""
"DV05SV;""HORNBACH HOLD.ST O.N."";""Aktienanleihe Classic"";""18.03.2022"";""14:23:09"";""DZ BANK"";""105","290001 %"";""105","389999 %"""
"DV05RW;""ELMOS SEMICONDUCTOR AG"";""Aktienanleihe Classic"";""18.03.2022"";""14:07:45"";""DZ BANK"";""101","669998 %"";""101","769997 %"""
"DV05RR;""ECKERT & ZIEGLER"";""Aktienanleihe Classic"";""17.12.2021"";""14:33:24"";""DZ BANK"";""105","410004 %"";""105","510002 %"""
"DV05TK;""Knorr-Bremse AG"";""Aktienanleihe Classic"";""18.03.2022"";""14:23:40"";""DZ BANK"";""102","389999 %"";""102","489998 %"""
"DV05QD;""Adyen"";""Aktienanleihe Classic"";""18.03.2022"";""14:36:10"";""DZ BANK"";""101","470001 %"";""101","57 %"""
"DV05RG;""Crédit Agricole S.A."";""Aktienanleihe Classic"";""18.03.2022"";""14:24:02"";""DZ BANK"";""96","209999 %"";""96","410004 %"""
"DV05Q8;""CANCOM SE"";""Aktienanleihe Classic"";""18.03.2022"";""14:18:41"";""DZ BANK"";""102","830002 %"";""102","93 %"""
"DV05ST;""Hella GmbH & Co KGaA"";""Aktienanleihe Classic"";""18.03.2022"";""14:38:20"";""DZ BANK"";""103","349998 %"";""103","550003 %"""
"DV05QV;""Banco Bilbao Vizcaya Argentaria"";""Aktienanleihe Classic"";""17.12.2021"";""14:34:55"";""DZ BANK"";""101","690002 %"";""101","889999 %"""
"DV05T8;""Prosus N.V."";""Aktienanleihe Classic"";""17.12.2021"";""14:23:36"";""DZ BANK"";""101","690002 %"";""101","790001 %"""
"DV05SY;""Iberdrola S.A."";""Aktienanleihe Classic"";""18.03.2022"";""14:37:18"";""DZ BANK"";""99","309998 %"";""99","410004 %"""
"DV05UD;""Puma SE"";""Aktienanleihe Classic"";""18.03.2022"";""14:16:22"";""DZ BANK"";""103","830002 %"";""104","029999 %"""
"DV05WE;""WASHTEC AG O.N."";""Aktienanleihe Classic"";""18.03.2022"";""14:14:07"";""DZ BANK"";""104","739998 %"";""104","940002 %"""
"DV05US;""RTL Group S.A."";""Aktienanleihe Classic"";""18.03.2022"";""14:13:29"";""DZ BANK"";""98","459999 %"";""98","559998 %"""
"DV05S4;""Intesa Sanpaolo S.p.A."";""Aktienanleihe Classic"";""17.03.2022"";""14:34:24"";""DZ BANK"";""98","169998 %"";""98","269997 %"""
"DV05T7;""Koninklijke Philips N.V."";""Aktienanleihe Classic"";""18.03.2022"";""14:31:06"";""DZ BANK"";""98","790001 %"";""98","889999 %"""
"DV05S2;""Inditex S.A."";""Aktienanleihe Classic"";""18.03.2022"";""14:34:19"";""DZ BANK"";""104","50 %"";""104","599998 %"""
"DV05UR;""RTL Group S.A."";""Aktienanleihe Classic"";""17.12.2021"";""14:13:29"";""DZ BANK"";""98","330002 %"";""98","43 %"""
"DV05SJ;""GFT TECHNOLOGIES"";""Aktienanleihe Classic"";""17.12.2021"";""14:28:45"";""DZ BANK"";""104","800003 %"";""104","900002 %"""
"DV05VP;""Talanx AG"";""Aktienanleihe Classic"";""18.03.2022"";""14:38:12"";""DZ BANK"";""100","889999 %"";""100","989998 %"""
"DV05U5;""Software AG"";""Aktienanleihe Classic"";""17.12.2021"";""14:29:23"";""DZ BANK"";""99","480003 %"";""99","580002 %"""
"DV05R6;""EssilorLuxottica"";""Aktienanleihe Classic"";""17.12.2021"";""14:37:55"";""DZ BANK"";""100","900002 %"";""101","00 %"""
"DV05TD;""Kering S.A."";""Aktienanleihe Classic"";""18.03.2022"";""14:34:43"";""DZ BANK"";""102","120003 %"";""102","220001 %"""
"DV05VM;""Tag Immobilien AG"";""Aktienanleihe Classic"";""18.03.2022"";""14:29:06"";""DZ BANK"";""100","580002 %"";""100","68 %"""
"DV05UT;""RTL Group S.A."";""Aktienanleihe Classic"";""18.03.2022"";""14:13:29"";""DZ BANK"";""98","07 %"";""98","169998 %"""
"DV05TY;""NEMETSCHEK"";""Aktienanleihe Classic"";""17.12.2021"";""14:30:49"";""DZ BANK"";""102","760002 %"";""102","860001 %"""
"DV05TW;""LPKF Laser & Electronics AG"";""Aktienanleihe Classic"";""18.03.2022"";""14:38:25"";""DZ BANK"";""104","82 %"";""105","120003 %"""
"DV05S6;""IVU TRAFFIC TECHNOLOGIES"";""Aktienanleihe Classic"";""18.03.2022"";""13:57:39"";""DZ BANK"";""104","97 %"";""105","07 %"""
"DV05RJ;""Dermapharm"";""Aktienanleihe Classic"";""18.03.2022"";""14:20:10"";""DZ BANK"";""99","809998 %"";""100","010002 %"""
"DV05QL;""ASML Holding N.V."";""Aktienanleihe Classic"";""17.12.2021"";""14:29:03"";""DZ BANK"";""101","760002 %"";""101","860001 %"""
"DV05RQ;""DWS Group GmbH & Co. KGaA"";""Aktienanleihe Classic"";""18.03.2022"";""14:34:04"";""DZ BANK"";""100","029999 %"";""100","129997 %"""
"DV05T9;""Prosus N.V."";""Aktienanleihe Classic"";""17.12.2021"";""14:37:55"";""DZ BANK"";""101","720001 %"";""101","82 %"""
"DV05S3;""Intesa Sanpaolo S.p.A."";""Aktienanleihe Classic"";""16.12.2021"";""14:34:24"";""DZ BANK"";""99","110001 %"";""99","209999 %"""
"DV05TP;""Krones AG"";""Aktienanleihe Classic"";""18.03.2022"";""14:21:43"";""DZ BANK"";""99","400002 %"";""99","599998 %"""
"DV05SW;""HORNBACH HOLD.ST O.N."";""Aktienanleihe Classic"";""18.03.2022"";""14:23:08"";""DZ BANK"";""105","459999 %"";""105","559998 %"""
"DV05QK;""ArcelorMittal S.A."";""Aktienanleihe Classic"";""18.03.2022"";""14:33:08"";""DZ BANK"";""101","900002 %"";""102","099998 %"""
"DV05UZ;""Sartorius AG VZ."";""Aktienanleihe Classic"";""18.03.2022"";""14:21:32"";""DZ BANK"";""101","739998 %"";""101","949997 %"""
