"WKN;""Basiswert"";""Produkttyp"";""Letzter Bewertungstag"";""Zeit"";""Quotierung"";""Geld"";""Brief""",,
"DV08LW;""Siemens AG"";""Aktienanleihe Classic"";""14.03.2022"";""14:25:12"";""DZ BANK"";""98","660004 %"";""98","860001 %"""
"DV08KV;""Deutsche Post AG"";""Aktienanleihe Classic"";""14.03.2022"";""14:25:40"";""DZ BANK"";""97","480003 %"";""97","68 %"""
"DV08KW;""Deutsche Post AG"";""Aktienanleihe Classic"";""13.06.2022"";""14:25:40"";""DZ BANK"";""96","269997 %"";""96","470001 %"""
"DV08LU;""Siemens AG"";""Aktienanleihe Classic"";""14.03.2022"";""14:25:12"";""DZ BANK"";""98","650002 %"";""98","849998 %"""
"DV08K8;""Infineon Technologies AG"";""Aktienanleihe Classic"";""13.06.2022"";""14:35:18"";""DZ BANK"";""99","580002 %"";""99","779999 %"""
"DV08LD;""K+S AG"";""Aktienanleihe Classic"";""13.06.2022"";""14:36:15"";""DZ BANK"";""100","970001 %"";""101","07 %"""
"DV08LF;""K+S AG"";""Aktienanleihe Classic"";""13.06.2022"";""14:27:27"";""DZ BANK"";""100","870003 %"";""100","970001 %"""
"DV08K2;""Fresenius SE & Co. KGaA"";""Aktienanleihe Classic"";""13.06.2022"";""14:28:28"";""DZ BANK"";""97","459999 %"";""97","559998 %"""
"DV08KR;""BMW AG"";""Aktienanleihe Classic"";""13.06.2022"";""14:28:47"";""DZ BANK"";""97","989998 %"";""98","089996 %"""
"DV08KT;""Deutsche Post AG"";""Aktienanleihe Classic"";""14.03.2022"";""14:29:17"";""DZ BANK"";""97","459999 %"";""97","660004 %"""
"DV08LN;""SAP SE"";""Aktienanleihe Classic"";""14.03.2022"";""14:28:33"";""DZ BANK"";""98","529999 %"";""98","629997 %"""
"DV08LZ;""Siemens AG"";""Aktienanleihe Classic"";""13.06.2022"";""14:25:12"";""DZ BANK"";""98","370003 %"";""98","57 %"""
"DV08K0;""Fresenius SE & Co. KGaA"";""Aktienanleihe Classic"";""14.03.2022"";""14:22:48"";""DZ BANK"";""98","07 %"";""98","169998 %"""
"DV08KS;""BMW AG"";""Aktienanleihe Classic"";""13.06.2022"";""14:28:47"";""DZ BANK"";""98","080002 %"";""98","18 %"""
"DV08LB;""K+S AG"";""Aktienanleihe Classic"";""14.03.2022"";""14:36:16"";""DZ BANK"";""101","25 %"";""101","349998 %"""
