"WKN;""Basiswert"";""Produkttyp"";""Letzter Bewertungstag"";""Zeit"";""Quotierung"";""Geld"";""Brief""",,
"DFP2R0;""Rational AG"";""Aktienanleihe Classic"";""10.09.2021"";""21:59:08"";""DZ BANK"";""99","44 %"";""100","96 %"""
"DV05WG;""ZOOPLUS AG"";""Aktienanleihe Classic"";""18.03.2022"";""20:15:04"";""DZ BANK"";""103","61 %"";""105","38 %"""
"DV05TC;""Jenoptik AG"";""Aktienanleihe Classic"";""18.03.2022"";""21:59:00"";""DZ BANK"";""102","62 %"";""102","87 %"""
"DV05QZ;""Bauer AG"";""Aktienanleihe Classic"";""18.03.2022"";""21:58:05"";""DZ BANK"";""102","51 %"";""103","26 %"""
"DV05QW;""Banco Bilbao Vizcaya Argentaria"";""Aktienanleihe Classic"";""18.03.2022"";""21:59:07"";""DZ BANK"";""100","74 %"";""101","54 %"""
"DV05R8;""EssilorLuxottica"";""Aktienanleihe Classic"";""18.03.2022"";""20:31:16"";""DZ BANK"";""99","86 %"";""100","26 %"""
"DV05P7;""Adyen"";""Aktienanleihe Classic"";""18.03.2022"";""21:56:07"";""DZ BANK"";""102","02 %"";""102","42 %"""
"DV05R9;""Fielmann AG"";""Aktienanleihe Classic"";""18.03.2022"";""21:56:53"";""DZ BANK"";""100","72 %"";""101","22 %"""
"DV05U8;""Stellantis N.V."";""Aktienanleihe Classic"";""17.12.2021"";""21:59:09"";""DZ BANK"";""105","47 %"";""105","87 %"""
"DV05UF;""q.beyond AG"";""Aktienanleihe Classic"";""18.03.2022"";""21:58:13"";""DZ BANK"";""106","12 %"";""106","87 %"""
"DV05VS;""TeamViewer AG"";""Aktienanleihe Classic"";""18.03.2022"";""21:59:07"";""DZ BANK"";""102","41 %"";""102","69 %"""
"DV05Q6;""BNP Paribas S.A."";""Aktienanleihe Classic"";""18.03.2022"";""21:59:09"";""DZ BANK"";""96","91 %"";""97","71 %"""
"DV05SQ;""Hannover Rück SE"";""Aktienanleihe Classic"";""18.03.2022"";""21:59:09"";""DZ BANK"";""99","61 %"";""100","01 %"""
"DV05R4;""Eni S.p.A."";""Aktienanleihe Classic"";""17.03.2022"";""21:59:02"";""DZ BANK"";""97","37 %"";""97","77 %"""
"DV05VC;""Stratec SE"";""Aktienanleihe Classic"";""18.03.2022"";""21:58:14"";""DZ BANK"";""101","84 %"";""102","62 %"""
"DV05Q5;""BNP Paribas S.A."";""Aktienanleihe Classic"";""17.12.2021"";""21:59:09"";""DZ BANK"";""97","35 %"";""98","15 %"""
"DV05VJ;""Symrise AG"";""Aktienanleihe Classic"";""17.12.2021"";""21:59:07"";""DZ BANK"";""100","13 %"";""100","55 %"""
"DV05SE;""Gerresheimer AG"";""Aktienanleihe Classic"";""17.12.2021"";""21:58:10"";""DZ BANK"";""100","13 %"";""100","56 %"""
"DV05TV;""LPKF Laser & Electronics AG"";""Aktienanleihe Classic"";""17.12.2021"";""21:53:07"";""DZ BANK"";""103","95 %"";""104","70 %"""
"DV05T1;""Norma Group AG"";""Aktienanleihe Classic"";""18.03.2022"";""21:58:54"";""DZ BANK"";""102","04 %"";""102","29 %"""
"DV05QB;""Adyen"";""Aktienanleihe Classic"";""18.03.2022"";""21:56:07"";""DZ BANK"";""101","69 %"";""102","09 %"""
"DV05V1;""Uniper SE"";""Aktienanleihe Classic"";""18.03.2022"";""21:26:33"";""DZ BANK"";""99","15 %"";""99","45 %"""
"DV05TS;""L'Oreal S.A."";""Aktienanleihe Classic"";""18.03.2022"";""21:59:07"";""DZ BANK"";""99","08 %"";""99","48 %"""
"DV05V8;""Vivendi S.A."";""Aktienanleihe Classic"";""18.03.2022"";""21:59:06"";""DZ BANK"";""100","87 %"";""101","27 %"""
"DV05SP;""Hamburger Hafen und Logistik AG"";""Aktienanleihe Classic"";""18.03.2022"";""21:52:54"";""DZ BANK"";""103","60 %"";""104","10 %"""
"DV05R0;""Enel S.p.A."";""Aktienanleihe Classic"";""17.03.2022"";""21:59:05"";""DZ BANK"";""97","71 %"";""98","11 %"""
"DV05TQ;""Krones AG"";""Aktienanleihe Classic"";""18.03.2022"";""21:58:57"";""DZ BANK"";""97","86 %"";""98","53 %"""
"DV05VQ;""TeamViewer AG"";""Aktienanleihe Classic"";""17.12.2021"";""21:59:07"";""DZ BANK"";""101","62 %"";""101","99 %"""
"DV05QH;""Air Liquide S.A."";""Aktienanleihe Classic"";""18.03.2022"";""21:59:06"";""DZ BANK"";""95","86 %"";""96","66 %"""
"DV05TT;""LEG Immobilien AG"";""Aktienanleihe Classic"";""18.03.2022"";""21:59:09"";""DZ BANK"";""98","46 %"";""99","49 %"""
"DV05SR;""Hella GmbH & Co KGaA"";""Aktienanleihe Classic"";""17.12.2021"";""21:56:54"";""DZ BANK"";""101","68 %"";""102","18 %"""
"DV05UM;""Rational AG"";""Aktienanleihe Classic"";""18.03.2022"";""21:59:08"";""DZ BANK"";""98","67 %"";""105","40 %"""
"DV05VB;""Stellantis N.V."";""Aktienanleihe Classic"";""18.03.2022"";""21:59:09"";""DZ BANK"";""105","24 %"";""105","64 %"""
"DV05V2;""Varta AG"";""Aktienanleihe Classic"";""18.03.2022"";""21:58:25"";""DZ BANK"";""101","56 %"";""101","81 %"""
"DV05QA;""Adyen"";""Aktienanleihe Classic"";""18.03.2022"";""21:56:07"";""DZ BANK"";""101","79 %"";""102","19 %"""
"DV05QT;""AUTO1 Group SE"";""Aktienanleihe Classic"";""18.03.2022"";""21:08:25"";""DZ BANK"";""107","51 %"";""107","89 %"""
"DV05QF;""Ahold Delhaize NV"";""Aktienanleihe Classic"";""18.03.2022"";""21:59:06"";""DZ BANK"";""98","09 %"";""98","49 %"""
"DV05RL;""Deutsche EuroShop AG"";""Aktienanleihe Classic"";""18.03.2022"";""21:58:04"";""DZ BANK"";""105","85 %"";""106","10 %"""
"DV05R1;""Engie S.A."";""Aktienanleihe Classic"";""18.03.2022"";""21:59:07"";""DZ BANK"";""95","68 %"";""96","08 %"""
"DV05T6;""Koninklijke Philips N.V."";""Aktienanleihe Classic"";""18.03.2022"";""21:59:02"";""DZ BANK"";""98","35 %"";""98","75 %"""
"DV05QE;""Ahold Delhaize NV"";""Aktienanleihe Classic"";""17.12.2021"";""21:59:06"";""DZ BANK"";""98","36 %"";""98","76 %"""
"DV05VZ;""Unicredito Italiano S.p.A."";""Aktienanleihe Classic"";""17.03.2022"";""21:59:07"";""DZ BANK"";""98","32 %"";""98","72 %"""
"DV05P6;""Adyen"";""Aktienanleihe Classic"";""18.03.2022"";""21:56:09"";""DZ BANK"";""102","14 %"";""102","54 %"""
"DV05UK;""Qiagen N.V."";""Aktienanleihe Classic"";""18.03.2022"";""21:59:03"";""DZ BANK"";""101","04 %"";""101","84 %"""
"DV05V6;""Vinci S.A."";""Aktienanleihe Classic"";""18.03.2022"";""21:59:09"";""DZ BANK"";""97","49 %"";""97","89 %"""
"DV05RC;""Capgemini S.A."";""Aktienanleihe Classic"";""18.03.2022"";""21:59:09"";""DZ BANK"";""99","75 %"";""100","30 %"""
"DV05QG;""Air Liquide S.A."";""Aktienanleihe Classic"";""18.03.2022"";""21:59:06"";""DZ BANK"";""97","14 %"";""97","94 %"""
