"WKN;""Basiswert"";""Produkttyp"";""Letzter Bewertungstag"";""Zeit"";""Quotierung"";""Geld"";""Brief""",,
"DV05U7;""Software AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:07:19"";""DZ BANK"";""99","809998 %"";""99","910004 %"""
"DV05R3;""Eni S.p.A."";""Aktienanleihe Classic"";""16.12.2021"";""15:09:01"";""DZ BANK"";""98","059998 %"";""98","160004 %"""
"DV05T4;""Pfeiffer Vacuum Technology AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:09:23"";""DZ BANK"";""104","040001 %"";""104","239998 %"""
"DV05SD;""Gerresheimer AG"";""Aktienanleihe Classic"";""17.12.2021"";""15:20:42"";""DZ BANK"";""100","879997 %"";""100","980003 %"""
"DV05V7;""Vivendi S.A."";""Aktienanleihe Classic"";""17.12.2021"";""15:18:14"";""DZ BANK"";""99","959999 %"";""100","059998 %"""
"DV05UL;""Rational AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:15:14"";""DZ BANK"";""102","400002 %"";""102","699997 %"""
"DV05UW;""SAF Holland SE"";""Aktienanleihe Classic"";""17.12.2021"";""15:22:38"";""DZ BANK"";""103","839996 %"";""103","940002 %"""
"DV05WC;""Vossloh AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:17:02"";""DZ BANK"";""99","889999 %"";""99","989998 %"""
"DV05U1;""Schneider Electric S.A."";""Aktienanleihe Classic"";""17.12.2021"";""15:09:42"";""DZ BANK"";""99","440002 %"";""99","639999 %"""
"DV05P3;""Adyen"";""Aktienanleihe Classic"";""17.12.2021"";""15:08:57"";""DZ BANK"";""99","849998 %"";""99","949997 %"""
"DV05RA;""Capgemini S.A."";""Aktienanleihe Classic"";""17.12.2021"";""15:08:26"";""DZ BANK"";""99","599998 %"";""99","699997 %"""
"DV05S9;""JDE Peet´s B.V."";""Aktienanleihe Classic"";""18.03.2022"";""15:07:17"";""DZ BANK"";""103","00 %"";""103","099998 %"""
"DV05S1;""Inditex S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:14:23"";""DZ BANK"";""102","699997 %"";""102","800003 %"""
"DV05TU;""Leoni AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:20:35"";""DZ BANK"";""101","199997 %"";""101","300003 %"""
"DV05RP;""DWS Group GmbH & Co. KGaA"";""Aktienanleihe Classic"";""17.12.2021"";""15:13:01"";""DZ BANK"";""99","059998 %"";""99","160004 %"""
"DV05TU;""Leoni AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:20:35"";""DZ BANK"";""101","199997 %"";""101","300003 %"""
"DV05VU;""Telefónica Deutschland Holding AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:09:47"";""DZ BANK"";""93","300003 %"";""93","699997 %"""
"DV05SA;""Fielmann AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:10:51"";""DZ BANK"";""99","940002 %"";""100","139999 %"""
"DV05UG;""Qiagen N.V."";""Aktienanleihe Classic"";""17.12.2021"";""15:15:21"";""DZ BANK"";""100","110001 %"";""100","309998 %"""
"DV05Q0;""BayWa AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:03:29"";""DZ BANK"";""103","150002 %"";""103","349998 %"""
"DV05VW;""Telefónica S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:09:39"";""DZ BANK"";""95","540001 %"";""95","739998 %"""
"DV05VL;""Symrise AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:18:15"";""DZ BANK"";""100","300003 %"";""100","400002 %"""
"DV05QR;""AUTO1 Group SE"";""Aktienanleihe Classic"";""17.12.2021"";""14:57:27"";""DZ BANK"";""106","410004 %"";""106","510002 %"""
"DV05Q1;""Bertrandt AG"";""Aktienanleihe Classic"";""17.12.2021"";""15:05:50"";""DZ BANK"";""102","18 %"";""102","379997 %"""
"DV05SG;""Gerresheimer AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:20:42"";""DZ BANK"";""101","449997 %"";""101","550003 %"""
"DV05QS;""AUTO1 Group SE"";""Aktienanleihe Classic"";""17.12.2021"";""14:53:06"";""DZ BANK"";""105","540001 %"";""105","639999 %"""
"DV05U0;""Sartorius AG VZ."";""Aktienanleihe Classic"";""18.03.2022"";""15:21:26"";""DZ BANK"";""101","43 %"";""101","529999 %"""
"DV05TR;""L'Oreal S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:14:23"";""DZ BANK"";""99","660004 %"";""99","760002 %"""
"DV05TJ;""Klöckner & Co. AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:14:30"";""DZ BANK"";""103","139999 %"";""103","339996 %"""
"DV05SV;""HORNBACH HOLD.ST O.N."";""Aktienanleihe Classic"";""18.03.2022"";""15:08:11"";""DZ BANK"";""103","589996 %"";""103","690002 %"""
"DV05RW;""ELMOS SEMICONDUCTOR AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:17:28"";""DZ BANK"";""100","559998 %"";""100","660004 %"""
"DV05RR;""ECKERT & ZIEGLER"";""Aktienanleihe Classic"";""17.12.2021"";""15:22:23"";""DZ BANK"";""104","82 %"";""104","919998 %"""
"DV05TK;""Knorr-Bremse AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:07:59"";""DZ BANK"";""102","029999 %"";""102","129997 %"""
"DV05QD;""Adyen"";""Aktienanleihe Classic"";""18.03.2022"";""15:08:57"";""DZ BANK"";""100","290001 %"";""100","389999 %"""
"DV05RG;""Crédit Agricole S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:09:30"";""DZ BANK"";""94","849998 %"";""95","050003 %"""
"DV05Q8;""CANCOM SE"";""Aktienanleihe Classic"";""18.03.2022"";""15:24:01"";""DZ BANK"";""102","190002 %"";""102","290001 %"""
"DV05ST;""Hella GmbH & Co KGaA"";""Aktienanleihe Classic"";""18.03.2022"";""15:23:41"";""DZ BANK"";""102","370003 %"";""102","57 %"""
"DV05QV;""Banco Bilbao Vizcaya Argentaria"";""Aktienanleihe Classic"";""17.12.2021"";""15:09:40"";""DZ BANK"";""100","900002 %"";""101","099998 %"""
"DV05T8;""Prosus N.V."";""Aktienanleihe Classic"";""17.12.2021"";""15:11:24"";""DZ BANK"";""100","269997 %"";""100","370003 %"""
"DV05SY;""Iberdrola S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:18:35"";""DZ BANK"";""99","099998 %"";""99","199997 %"""
"DV05UD;""Puma SE"";""Aktienanleihe Classic"";""18.03.2022"";""15:12:33"";""DZ BANK"";""104","93 %"";""105","129997 %"""
"DV05WE;""WASHTEC AG O.N."";""Aktienanleihe Classic"";""18.03.2022"";""15:19:29"";""DZ BANK"";""104","650002 %"";""104","849998 %"""
"DV05US;""RTL Group S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:07:24"";""DZ BANK"";""97","489998 %"";""97","589996 %"""
"DV05S4;""Intesa Sanpaolo S.p.A."";""Aktienanleihe Classic"";""17.03.2022"";""15:11:35"";""DZ BANK"";""97","050003 %"";""97","150002 %"""
"DV05T7;""Koninklijke Philips N.V."";""Aktienanleihe Classic"";""18.03.2022"";""15:09:06"";""DZ BANK"";""98","379997 %"";""98","480003 %"""
"DV05S2;""Inditex S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:14:24"";""DZ BANK"";""102","82 %"";""102","919998 %"""
"DV05UR;""RTL Group S.A."";""Aktienanleihe Classic"";""17.12.2021"";""15:07:24"";""DZ BANK"";""97","139999 %"";""97","239998 %"""
"DV05SJ;""GFT TECHNOLOGIES"";""Aktienanleihe Classic"";""17.12.2021"";""15:18:53"";""DZ BANK"";""103","07 %"";""103","169998 %"""
"DV05VP;""Talanx AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:11:53"";""DZ BANK"";""99","43 %"";""99","529999 %"""
"DV05U5;""Software AG"";""Aktienanleihe Classic"";""17.12.2021"";""15:07:19"";""DZ BANK"";""99","599998 %"";""99","699997 %"""
"DV05R6;""EssilorLuxottica"";""Aktienanleihe Classic"";""17.12.2021"";""15:13:27"";""DZ BANK"";""99","980003 %"";""100","080002 %"""
"DV05TD;""Kering S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:09:09"";""DZ BANK"";""100","099998 %"";""100","199997 %"""
"DV05VM;""Tag Immobilien AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:19:42"";""DZ BANK"";""99","739998 %"";""99","839996 %"""
"DV05UT;""RTL Group S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:07:24"";""DZ BANK"";""96","919998 %"";""97","019997 %"""
"DV05TY;""NEMETSCHEK"";""Aktienanleihe Classic"";""17.12.2021"";""15:22:52"";""DZ BANK"";""101","830002 %"";""101","93 %"""
"DV05TW;""LPKF Laser & Electronics AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:17:40"";""DZ BANK"";""104","849998 %"";""105","150002 %"""
"DV05S6;""IVU TRAFFIC TECHNOLOGIES"";""Aktienanleihe Classic"";""18.03.2022"";""15:10:55"";""DZ BANK"";""103","489998 %"";""103","599998 %"""
"DV05RJ;""Dermapharm"";""Aktienanleihe Classic"";""18.03.2022"";""15:04:48"";""DZ BANK"";""99","279999 %"";""99","480003 %"""
"DV05QL;""ASML Holding N.V."";""Aktienanleihe Classic"";""17.12.2021"";""15:07:03"";""DZ BANK"";""100","68 %"";""100","779999 %"""
"DV05RQ;""DWS Group GmbH & Co. KGaA"";""Aktienanleihe Classic"";""18.03.2022"";""15:17:36"";""DZ BANK"";""98","660004 %"";""98","760002 %"""
"DV05S3;""Intesa Sanpaolo S.p.A."";""Aktienanleihe Classic"";""16.12.2021"";""15:11:34"";""DZ BANK"";""97","949997 %"";""98","050003 %"""
"DV05T9;""Prosus N.V."";""Aktienanleihe Classic"";""17.12.2021"";""15:11:25"";""DZ BANK"";""99","959999 %"";""100","059998 %"""
"DV05TP;""Krones AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:09:33"";""DZ BANK"";""99","160004 %"";""99","360001 %"""
"DV05SW;""HORNBACH HOLD.ST O.N."";""Aktienanleihe Classic"";""18.03.2022"";""15:08:11"";""DZ BANK"";""103","18 %"";""103","279999 %"""
"DV05QK;""ArcelorMittal S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:14:27"";""DZ BANK"";""100","610001 %"";""100","809998 %"""
"DV05UZ;""Sartorius AG VZ."";""Aktienanleihe Classic"";""18.03.2022"";""15:21:25"";""DZ BANK"";""101","620003 %"";""101","720001 %"""
"DV05T0;""Norma Group AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:08:48"";""DZ BANK"";""102","309998 %"";""102","410004 %"""
"DV05TL;""Koenig & Bauer AG"";""Aktienanleihe Classic"";""17.12.2021"";""15:06:15"";""DZ BANK"";""104","029999 %"";""104","230003 %"""
"DV05UC;""Puma SE"";""Aktienanleihe Classic"";""18.03.2022"";""15:20:01"";""DZ BANK"";""104","540001 %"";""104","739998 %"""
"DV05TH;""Klöckner & Co. AG"";""Aktienanleihe Classic"";""17.12.2021"";""15:14:30"";""DZ BANK"";""102","160004 %"";""102","360001 %"""
"DV05UQ;""Repsol S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:12:01"";""DZ BANK"";""99","379997 %"";""99","480003 %"""
"DV05TG;""Kion Group AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:18:33"";""DZ BANK"";""102","800003 %"";""103","00 %"""
"DV05RY;""Enel S.p.A."";""Aktienanleihe Classic"";""16.12.2021"";""15:08:24"";""DZ BANK"";""99","00 %"";""99","099998 %"""
"DV05P4;""Adyen"";""Aktienanleihe Classic"";""17.12.2021"";""15:08:57"";""DZ BANK"";""99","739998 %"";""99","839996 %"""
"DV05U2;""Schneider Electric S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:09:42"";""DZ BANK"";""99","309998 %"";""99","510002 %"""
"DV05V9;""Volkswagen AG"";""Aktienanleihe Classic"";""17.12.2021"";""15:15:19"";""DZ BANK"";""99","830002 %"";""99","980003 %"""
"DV05VD;""STROEER OUT-OF-HOME AG INHABER-AKTIEN O.N."";""Aktienanleihe Classic"";""17.12.2021"";""15:18:43"";""DZ BANK"";""100","440002 %"";""100","540001 %"""
"DV05TZ;""NEMETSCHEK"";""Aktienanleihe Classic"";""18.03.2022"";""15:22:52"";""DZ BANK"";""102","150002 %"";""102","25 %"""
"DV05WB;""Volkswagen AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:18:15"";""DZ BANK"";""99","839996 %"";""99","940002 %"""
"DV05RT;""Électricité de France S.A. (EdF)"";""Aktienanleihe Classic"";""17.12.2021"";""15:12:33"";""DZ BANK"";""97","730003 %"";""97","830002 %"""
"DV05QX;""Banco Santander S.A."";""Aktienanleihe Classic"";""17.12.2021"";""15:09:06"";""DZ BANK"";""99","940002 %"";""100","139999 %"""
"DV05SS;""Hella GmbH & Co KGaA"";""Aktienanleihe Classic"";""17.12.2021"";""15:16:52"";""DZ BANK"";""101","220001 %"";""101","419998 %"""
"DV05RK;""Deutsche EuroShop AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:18:42"";""DZ BANK"";""105","339996 %"";""105","440002 %"""
"DV05RS;""ECKERT & ZIEGLER"";""Aktienanleihe Classic"";""18.03.2022"";""15:22:24"";""DZ BANK"";""105","800003 %"";""105","900002 %"""
"DV05V5;""Vinci S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:08:17"";""DZ BANK"";""98","559998 %"";""98","660004 %"""
"DV05V4;""VERBIO"";""Aktienanleihe Classic"";""18.03.2022"";""15:08:56"";""DZ BANK"";""105","43 %"";""105","529999 %"""
"DV05VK;""Symrise AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:20:34"";""DZ BANK"";""100","639999 %"";""100","739998 %"""
"DV05UA;""Prosus N.V."";""Aktienanleihe Classic"";""18.03.2022"";""15:11:25"";""DZ BANK"";""100","879997 %"";""100","980003 %"""
"DV05S7;""JDE Peet´s B.V."";""Aktienanleihe Classic"";""17.12.2021"";""15:07:18"";""DZ BANK"";""102","419998 %"";""102","519997 %"""
"DV05QC;""Adyen"";""Aktienanleihe Classic"";""18.03.2022"";""15:08:57"";""DZ BANK"";""100","330002 %"";""100","43 %"""
"DV05QP;""Aumann Br"";""Aktienanleihe Classic"";""18.03.2022"";""15:09:04"";""DZ BANK"";""100","599998 %"";""100","800003 %"""
"DV05TE;""Kering S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:09:09"";""DZ BANK"";""99","989998 %"";""100","089996 %"""
"DV05QJ;""ArcelorMittal S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:14:27"";""DZ BANK"";""100","660004 %"";""100","860001 %"""
"DV05P5;""Adyen"";""Aktienanleihe Classic"";""18.03.2022"";""15:08:58"";""DZ BANK"";""101","32 %"";""101","419998 %"""
"DV05T2;""Patrizia AG"";""Aktienanleihe Classic"";""17.12.2021"";""15:20:15"";""DZ BANK"";""100","650002 %"";""100","75 %"""
"DV05R2;""Engie S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:12:48"";""DZ BANK"";""95","00 %"";""95","099998 %"""
"DV05RV;""ELMOS SEMICONDUCTOR AG"";""Aktienanleihe Classic"";""17.12.2021"";""15:17:28"";""DZ BANK"";""100","209999 %"";""100","309998 %"""
"DV05V0;""Uniper SE"";""Aktienanleihe Classic"";""17.12.2021"";""15:15:37"";""DZ BANK"";""99","690002 %"";""99","790001 %"""
"DV05WA;""Volkswagen AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:18:15"";""DZ BANK"";""99","959999 %"";""100","059998 %"""
"DV05TN;""Krones AG"";""Aktienanleihe Classic"";""17.12.2021"";""15:09:33"";""DZ BANK"";""97","419998 %"";""97","620003 %"""
"DV05UN;""Rational AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:15:13"";""DZ BANK"";""102","209999 %"";""102","510002 %"""
"DV05U6;""Software AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:07:19"";""DZ BANK"";""100","339996 %"";""100","440002 %"""
"DV05UX;""SAF Holland SE"";""Aktienanleihe Classic"";""18.03.2022"";""15:22:39"";""DZ BANK"";""104","339996 %"";""104","440002 %"""
"DV05R5;""EssilorLuxottica"";""Aktienanleihe Classic"";""17.12.2021"";""15:13:27"";""DZ BANK"";""100","199997 %"";""100","300003 %"""
"DV05SK;""GFT TECHNOLOGIES"";""Aktienanleihe Classic"";""18.03.2022"";""15:18:53"";""DZ BANK"";""104","290001 %"";""104","389999 %"""
"DV05VX;""Traton SE"";""Aktienanleihe Classic"";""18.03.2022"";""15:25:21"";""DZ BANK"";""101","199997 %"";""101","300003 %"""
"DV05P2;""ADVA Optical Networking SE"";""Aktienanleihe Classic"";""18.03.2022"";""15:20:59"";""DZ BANK"";""105","220001 %"";""105","32 %"""
"DV05SN;""Hamburger Hafen und Logistik AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:17:22"";""DZ BANK"";""103","510002 %"";""103","709999 %"""
"DV05Q7;""BNP Paribas S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:07:58"";""DZ BANK"";""98","059998 %"";""98","260002 %"""
"DV05QQ;""Aumann Br"";""Aktienanleihe Classic"";""18.03.2022"";""15:09:04"";""DZ BANK"";""100","349998 %"";""100","550003 %"""
"DV05RF;""Crédit Agricole S.A."";""Aktienanleihe Classic"";""17.12.2021"";""15:09:30"";""DZ BANK"";""95","290001 %"";""95","489998 %"""
