"WKN;""Basiswert"";""Produkttyp"";""Letzter Bewertungstag"";""Zeit"";""Quotierung"";""Geld"";""Brief""",,,
"DV07G8;""Gold-Future"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV065K;""home24 Br"";""Endlos Turbo Long"";""Endlos"";""15:43:33"";""DZ BANK"";""0","99 EUR"";""1","01 EUR""",
"DV060E;""Pfizer Inc."";""Endlos Turbo Long"";""Endlos"";""15:39:00"";""DZ BANK"";""1","13 EUR"";""1","14 EUR""",
"DV062B;""BMW AG"";""Endlos Turbo Long"";""Endlos"";""15:38:44"";""DZ BANK"";""0","19 EUR"";""0","20 EUR""",
"DV0652;""Lanxess AG"";""Endlos Turbo Long"";""Endlos"";""15:42:30"";""DZ BANK"";""0","55 EUR"";""0","56 EUR""",
"DV0643;""Hamburger Hafen und Logistik AG"";""Endlos Turbo Long"";""Endlos"";""14:38:53"";""DZ BANK"";""0","20 EUR"";""0","21 EUR""",
"DFP21Q;""EUR/AUD"";""Endlos Turbo Long"";""Endlos"";""15:40:44"";""DZ BANK"";""1","73 EUR"";""1","75 EUR""",
"DV062T;""Commerzbank AG"";""Endlos Turbo Long"";""Endlos"";""15:48:39"";""DZ BANK"";""0","078 EUR"";""0","098 EUR""",
"DV0607;""AIXTRON AG"";""Endlos Turbo Long"";""Endlos"";""15:39:42"";""DZ BANK"";""0","30 EUR"";""0","33 EUR""",
"DV06MQ;""Kupfer"";""Endlos Turbo Long"";""Endlos"";""15:51:00"";""DZ BANK"";""3","73 EUR"";""3","79 EUR""",
"DV06MV;""Kupfer"";""Endlos Turbo Long"";""Endlos"";""15:51:00"";""DZ BANK"";""2","94 EUR"";""3","00 EUR""",
"DFP21Y;""EUR/AUD"";""Endlos Turbo Long"";""Endlos"";""15:39:52"";""DZ BANK"";""0","42 EUR"";""0","44 EUR""",
"DV0665;""Northern Data AG"";""Endlos Turbo Long"";""Endlos"";""15:44:40"";""DZ BANK"";""1","77 EUR"";""1","92 EUR""",
"DV06M7;""Kupfer"";""Endlos Turbo Long"";""Endlos"";""15:52:43"";""DZ BANK"";""1","06 EUR"";""1","12 EUR""",
