"WKN;""Basiswert"";""Produkttyp"";""Letzter Bewertungstag"";""Zeit"";""Quotierung"";""Geld"";""Brief""",,
"DV05V6;""Vinci S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:44:39"";""DZ BANK"";""99","139999 %"";""99","239998 %"""
"DV05RC;""Capgemini S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:54:48"";""DZ BANK"";""100","690002 %"";""100","790001 %"""
"DV05QG;""Air Liquide S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:37:34"";""DZ BANK"";""98","220001 %"";""98","419998 %"""
"DV05WD;""Vossloh AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:24:32"";""DZ BANK"";""99","769997 %"";""99","879997 %"""
"DV05VE;""STROEER OUT-OF-HOME AG INHABER-AKTIEN O.N."";""Aktienanleihe Classic"";""17.12.2021"";""15:54:26"";""DZ BANK"";""98","980003 %"";""99","080002 %"""
"DV05VH;""Süss Microtec AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:41:46"";""DZ BANK"";""105","940002 %"";""106","040001 %"""
"DV05UV;""S+T AG (Z.REG.MK.Z.)O.N."";""Aktienanleihe Classic"";""18.03.2022"";""15:54:54"";""DZ BANK"";""106","540001 %"";""106","639999 %"""
"DV05VV;""Telefónica S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:54:28"";""DZ BANK"";""97","410004 %"";""97","610001 %"""
"DV05SM;""GRAND CITY PROPERTIES S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:53:12"";""DZ BANK"";""103","139999 %"";""103","239998 %"""
"DV05RN;""Deutz AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:39:47"";""DZ BANK"";""104","800003 %"";""104","900002 %"""
"DV05Q2;""Bertrandt AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:29:11"";""DZ BANK"";""102","989998 %"";""103","190002 %"""
"DV05RM;""Deutz AG"";""Aktienanleihe Classic"";""17.12.2021"";""15:39:47"";""DZ BANK"";""103","790001 %"";""103","889999 %"""
"DV05UE;""q.beyond AG"";""Aktienanleihe Classic"";""17.12.2021"";""15:53:53"";""DZ BANK"";""107","029999 %"";""107","330002 %"""
"DV05RU;""Électricité de France S.A. (EdF)"";""Aktienanleihe Classic"";""18.03.2022"";""15:47:15"";""DZ BANK"";""97","559998 %"";""97","660004 %"""
"DV05VT;""TeamViewer AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:53:52"";""DZ BANK"";""102","449997 %"";""102","550003 %"""
"DV05RZ;""Enel S.p.A."";""Aktienanleihe Classic"";""17.03.2022"";""15:50:37"";""DZ BANK"";""98","730003 %"";""98","830002 %"""
"DV05VA;""Stellantis N.V."";""Aktienanleihe Classic"";""18.03.2022"";""15:40:29"";""DZ BANK"";""106","279999 %"";""106","379997 %"""
"DV05SL;""GFT TECHNOLOGIES"";""Aktienanleihe Classic"";""18.03.2022"";""15:43:44"";""DZ BANK"";""105","599998 %"";""105","699997 %"""
"DV05RE;""Carrefour S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:41:36"";""DZ BANK"";""98","419998 %"";""98","440002 %"""
"DV05T5;""Pfeiffer Vacuum Technology AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:39:28"";""DZ BANK"";""103","870003 %"";""104","110001 %"""
"DV05U3;""SGL Carbon SE"";""Aktienanleihe Classic"";""18.03.2022"";""15:38:50"";""DZ BANK"";""102","940002 %"";""103","040001 %"""
"DV05R3;""Eni S.p.A."";""Aktienanleihe Classic"";""16.12.2021"";""15:38:43"";""DZ BANK"";""98","589996 %"";""98","690002 %"""
"DV05U7;""Software AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:51:21"";""DZ BANK"";""100","75 %"";""100","849998 %"""
"DV05T4;""Pfeiffer Vacuum Technology AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:39:28"";""DZ BANK"";""104","379997 %"";""104","580002 %"""
"DV05SD;""Gerresheimer AG"";""Aktienanleihe Classic"";""17.12.2021"";""15:48:20"";""DZ BANK"";""101","349998 %"";""101","449997 %"""
"DV05V7;""Vivendi S.A."";""Aktienanleihe Classic"";""17.12.2021"";""15:35:48"";""DZ BANK"";""100","190002 %"";""100","290001 %"""
"DV05UL;""Rational AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:49:52"";""DZ BANK"";""102","139999 %"";""102","480003 %"""
"DV05UW;""SAF Holland SE"";""Aktienanleihe Classic"";""17.12.2021"";""15:36:21"";""DZ BANK"";""106","379997 %"";""106","480003 %"""
"DV05WC;""Vossloh AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:24:30"";""DZ BANK"";""100","440002 %"";""100","540001 %"""
"DV05U1;""Schneider Electric S.A."";""Aktienanleihe Classic"";""17.12.2021"";""15:36:56"";""DZ BANK"";""99","559998 %"";""99","760002 %"""
"DV05P3;""Adyen"";""Aktienanleihe Classic"";""17.12.2021"";""15:53:38"";""DZ BANK"";""100","089996 %"";""100","190002 %"""
"DV05RA;""Capgemini S.A."";""Aktienanleihe Classic"";""17.12.2021"";""15:54:47"";""DZ BANK"";""100","400002 %"";""100","50 %"""
"DV05S9;""JDE Peet´s B.V."";""Aktienanleihe Classic"";""18.03.2022"";""15:34:15"";""DZ BANK"";""103","279999 %"";""103","379997 %"""
"DV05S1;""Inditex S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:38:04"";""DZ BANK"";""102","959999 %"";""103","059998 %"""
"DV05SF;""Gerresheimer AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:48:21"";""DZ BANK"";""102","239998 %"";""102","339996 %"""
"DV05RP;""DWS Group GmbH & Co. KGaA"";""Aktienanleihe Classic"";""17.12.2021"";""15:49:52"";""DZ BANK"";""99","809998 %"";""99","910004 %"""
"DV05SF;""Gerresheimer AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:48:21"";""DZ BANK"";""102","239998 %"";""102","339996 %"""
"DV05SA;""Fielmann AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:34:32"";""DZ BANK"";""100","529999 %"";""100","730003 %"""
"DV05VU;""Telefónica Deutschland Holding AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:45:19"";""DZ BANK"";""94","410004 %"";""94","809998 %"""
"DV05Q0;""BayWa AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:43:37"";""DZ BANK"";""103","68 %"";""103","879997 %"""
"DV05UG;""Qiagen N.V."";""Aktienanleihe Classic"";""17.12.2021"";""15:41:25"";""DZ BANK"";""100","709999 %"";""100","910004 %"""
"DV05VW;""Telefónica S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:54:28"";""DZ BANK"";""97","080002 %"";""97","279999 %"""
"DV05VL;""Symrise AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:38:09"";""DZ BANK"";""101","00 %"";""101","099998 %"""
"DV05QR;""AUTO1 Group SE"";""Aktienanleihe Classic"";""17.12.2021"";""15:35:55"";""DZ BANK"";""106","599998 %"";""106","699997 %"""
"DV05SG;""Gerresheimer AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:48:20"";""DZ BANK"";""102","040001 %"";""102","139999 %"""
"DV05Q1;""Bertrandt AG"";""Aktienanleihe Classic"";""17.12.2021"";""15:29:11"";""DZ BANK"";""102","50 %"";""102","699997 %"""
"DV05QS;""AUTO1 Group SE"";""Aktienanleihe Classic"";""17.12.2021"";""15:35:54"";""DZ BANK"";""105","769997 %"";""105","870003 %"""
"DV05U0;""Sartorius AG VZ."";""Aktienanleihe Classic"";""18.03.2022"";""15:43:33"";""DZ BANK"";""101","370003 %"";""101","660004 %"""
"DV05TR;""L'Oreal S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:37:35"";""DZ BANK"";""99","839996 %"";""99","940002 %"""
"DV05TJ;""Klöckner & Co. AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:53:29"";""DZ BANK"";""103","849998 %"";""104","050003 %"""
"DV05SV;""HORNBACH HOLD.ST O.N."";""Aktienanleihe Classic"";""18.03.2022"";""15:33:51"";""DZ BANK"";""104","860001 %"";""104","959999 %"""
"DV05RW;""ELMOS SEMICONDUCTOR AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:48:41"";""DZ BANK"";""101","459999 %"";""101","559998 %"""
"DV05RR;""ECKERT & ZIEGLER"";""Aktienanleihe Classic"";""17.12.2021"";""15:42:11"";""DZ BANK"";""105","150002 %"";""105","25 %"""
"DV05TK;""Knorr-Bremse AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:45:19"";""DZ BANK"";""102","269997 %"";""102","370003 %"""
"DV05QD;""Adyen"";""Aktienanleihe Classic"";""18.03.2022"";""15:53:38"";""DZ BANK"";""100","519997 %"";""100","620003 %"""
"DV05RG;""Crédit Agricole S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:38:18"";""DZ BANK"";""95","110001 %"";""95","309998 %"""
"DV05Q8;""CANCOM SE"";""Aktienanleihe Classic"";""18.03.2022"";""15:54:55"";""DZ BANK"";""102","809998 %"";""102","910004 %"""
"DV05ST;""Hella GmbH & Co KGaA"";""Aktienanleihe Classic"";""18.03.2022"";""15:44:09"";""DZ BANK"";""102","839996 %"";""103","040001 %"""
"DV05T8;""Prosus N.V."";""Aktienanleihe Classic"";""17.12.2021"";""15:43:20"";""DZ BANK"";""101","300003 %"";""101","400002 %"""
"DV05QV;""Banco Bilbao Vizcaya Argentaria"";""Aktienanleihe Classic"";""17.12.2021"";""15:40:38"";""DZ BANK"";""101","510002 %"";""101","709999 %"""
"DV05US;""RTL Group S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:42:40"";""DZ BANK"";""98","599998 %"";""98","699997 %"""
"DV05UD;""Puma SE"";""Aktienanleihe Classic"";""18.03.2022"";""15:43:53"";""DZ BANK"";""104","879997 %"";""105","080002 %"""
"DV05SY;""Iberdrola S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:40:33"";""DZ BANK"";""98","919998 %"";""99","019997 %"""
"DV05WE;""WASHTEC AG O.N."";""Aktienanleihe Classic"";""18.03.2022"";""15:44:48"";""DZ BANK"";""104","690002 %"";""104","889999 %"""
"DV05S4;""Intesa Sanpaolo S.p.A."";""Aktienanleihe Classic"";""17.03.2022"";""15:35:02"";""DZ BANK"";""97","959999 %"";""98","059998 %"""
"DV05T7;""Koninklijke Philips N.V."";""Aktienanleihe Classic"";""18.03.2022"";""15:47:44"";""DZ BANK"";""98","589996 %"";""98","690002 %"""
"DV05S2;""Inditex S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:38:04"";""DZ BANK"";""103","099998 %"";""103","199997 %"""
"DV05UR;""RTL Group S.A."";""Aktienanleihe Classic"";""17.12.2021"";""15:42:39"";""DZ BANK"";""98","57 %"";""98","669998 %"""
"DV05SJ;""GFT TECHNOLOGIES"";""Aktienanleihe Classic"";""17.12.2021"";""15:43:44"";""DZ BANK"";""104","489998 %"";""104","589996 %"""
"DV05VP;""Talanx AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:45:53"";""DZ BANK"";""100","43 %"";""100","529999 %"""
"DV05U5;""Software AG"";""Aktienanleihe Classic"";""17.12.2021"";""15:51:21"";""DZ BANK"";""100","519997 %"";""100","620003 %"""
"DV05R6;""EssilorLuxottica"";""Aktienanleihe Classic"";""17.12.2021"";""15:41:25"";""DZ BANK"";""100","629997 %"";""100","730003 %"""
"DV05TD;""Kering S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:40:52"";""DZ BANK"";""101","209999 %"";""101","309998 %"""
"DV05VM;""Tag Immobilien AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:47:48"";""DZ BANK"";""100","550003 %"";""100","650002 %"""
"DV05TY;""NEMETSCHEK"";""Aktienanleihe Classic"";""17.12.2021"";""15:54:57"";""DZ BANK"";""102","190002 %"";""102","290001 %"""
"DV05UT;""RTL Group S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:42:40"";""DZ BANK"";""98","300003 %"";""98","400002 %"""
"DV05TW;""LPKF Laser & Electronics AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:33:35"";""DZ BANK"";""105","230003 %"";""105","529999 %"""
"DV05S6;""IVU TRAFFIC TECHNOLOGIES"";""Aktienanleihe Classic"";""18.03.2022"";""14:46:08"";""DZ BANK"";""103","92 %"";""104","02 %"""
"DV05RJ;""Dermapharm"";""Aktienanleihe Classic"";""18.03.2022"";""15:52:47"";""DZ BANK"";""99","550003 %"";""99","75 %"""
"DV05QL;""ASML Holding N.V."";""Aktienanleihe Classic"";""17.12.2021"";""15:47:56"";""DZ BANK"";""101","269997 %"";""101","370003 %"""
"DV05RQ;""DWS Group GmbH & Co. KGaA"";""Aktienanleihe Classic"";""18.03.2022"";""15:49:52"";""DZ BANK"";""99","419998 %"";""99","519997 %"""
"DV05T9;""Prosus N.V."";""Aktienanleihe Classic"";""17.12.2021"";""15:38:58"";""DZ BANK"";""101","300003 %"";""101","400002 %"""
"DV05S3;""Intesa Sanpaolo S.p.A."";""Aktienanleihe Classic"";""16.12.2021"";""15:40:36"";""DZ BANK"";""99","019997 %"";""99","120003 %"""
"DV05TP;""Krones AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:43:28"";""DZ BANK"";""99","419998 %"";""99","620003 %"""
"DV05SW;""HORNBACH HOLD.ST O.N."";""Aktienanleihe Classic"";""18.03.2022"";""15:33:50"";""DZ BANK"";""104","849998 %"";""104","949997 %"""
"DV05QK;""ArcelorMittal S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:52:32"";""DZ BANK"";""101","440002 %"";""101","639999 %"""
"DV05UZ;""Sartorius AG VZ."";""Aktienanleihe Classic"";""18.03.2022"";""15:43:32"";""DZ BANK"";""101","599998 %"";""101","809998 %"""
"DV05T0;""Norma Group AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:55:00"";""DZ BANK"";""102","629997 %"";""102","730003 %"""
"DV05TL;""Koenig & Bauer AG"";""Aktienanleihe Classic"";""17.12.2021"";""15:36:28"";""DZ BANK"";""103","059998 %"";""103","260002 %"""
"DV05UC;""Puma SE"";""Aktienanleihe Classic"";""18.03.2022"";""15:43:53"";""DZ BANK"";""104","519997 %"";""104","720001 %"""
"DV05TG;""Kion Group AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:41:35"";""DZ BANK"";""103","269997 %"";""103","470001 %"""
"DV05TH;""Klöckner & Co. AG"";""Aktienanleihe Classic"";""17.12.2021"";""15:53:29"";""DZ BANK"";""102","849998 %"";""103","050003 %"""
"DV05UQ;""Repsol S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:39:27"";""DZ BANK"";""100","919998 %"";""101","019997 %"""
"DV05RY;""Enel S.p.A."";""Aktienanleihe Classic"";""16.12.2021"";""15:46:09"";""DZ BANK"";""99","230003 %"";""99","330002 %"""
"DV05P4;""Adyen"";""Aktienanleihe Classic"";""17.12.2021"";""15:53:38"";""DZ BANK"";""99","970001 %"";""100","07 %"""
"DV05U2;""Schneider Electric S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:36:56"";""DZ BANK"";""99","449997 %"";""99","650002 %"""
"DV05V9;""Volkswagen AG"";""Aktienanleihe Classic"";""17.12.2021"";""15:51:42"";""DZ BANK"";""100","110001 %"";""100","209999 %"""
"DV05VD;""STROEER OUT-OF-HOME AG INHABER-AKTIEN O.N."";""Aktienanleihe Classic"";""17.12.2021"";""15:54:26"";""DZ BANK"";""99","739998 %"";""99","839996 %"""
"DV05TZ;""NEMETSCHEK"";""Aktienanleihe Classic"";""18.03.2022"";""15:54:58"";""DZ BANK"";""102","489998 %"";""102","589996 %"""
"DV05QX;""Banco Santander S.A."";""Aktienanleihe Classic"";""17.12.2021"";""15:34:59"";""DZ BANK"";""100","040001 %"";""100","239998 %"""
"DV05RT;""Électricité de France S.A. (EdF)"";""Aktienanleihe Classic"";""17.12.2021"";""15:47:15"";""DZ BANK"";""97","599998 %"";""97","699997 %"""
"DV05WB;""Volkswagen AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:51:42"";""DZ BANK"";""100","07 %"";""100","169998 %"""
"DV05SS;""Hella GmbH & Co KGaA"";""Aktienanleihe Classic"";""17.12.2021"";""15:44:09"";""DZ BANK"";""101","940002 %"";""102","139999 %"""
"DV05RK;""Deutsche EuroShop AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:47:49"";""DZ BANK"";""106","589996 %"";""106","690002 %"""
"DV05RS;""ECKERT & ZIEGLER"";""Aktienanleihe Classic"";""18.03.2022"";""15:42:12"";""DZ BANK"";""106","150002 %"";""106","25 %"""
"DV05V5;""Vinci S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:44:39"";""DZ BANK"";""99","169998 %"";""99","269997 %"""
"DV05V4;""VERBIO"";""Aktienanleihe Classic"";""18.03.2022"";""15:35:52"";""DZ BANK"";""105","519997 %"";""105","620003 %"""
"DV05VK;""Symrise AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:44:20"";""DZ BANK"";""101","269997 %"";""101","370003 %"""
"DV05UA;""Prosus N.V."";""Aktienanleihe Classic"";""18.03.2022"";""15:43:20"";""DZ BANK"";""101","959999 %"";""102","059998 %"""
"DV05QP;""Aumann Br"";""Aktienanleihe Classic"";""18.03.2022"";""15:03:46"";""DZ BANK"";""101","65 %"";""101","85 %"""
"DV05S7;""JDE Peet´s B.V."";""Aktienanleihe Classic"";""17.12.2021"";""15:47:16"";""DZ BANK"";""102","709999 %"";""102","809998 %"""
"DV05QC;""Adyen"";""Aktienanleihe Classic"";""18.03.2022"";""15:53:38"";""DZ BANK"";""100","580002 %"";""100","68 %"""
"DV05TE;""Kering S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:35:18"";""DZ BANK"";""101","290001 %"";""101","389999 %"""
"DV05QJ;""ArcelorMittal S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:43:53"";""DZ BANK"";""101","419998 %"";""101","620003 %"""
"DV05P5;""Adyen"";""Aktienanleihe Classic"";""18.03.2022"";""15:46:08"";""DZ BANK"";""101","75 %"";""101","849998 %"""
"DV05T2;""Patrizia AG"";""Aktienanleihe Classic"";""17.12.2021"";""15:45:10"";""DZ BANK"";""101","620003 %"";""101","720001 %"""
"DV05R2;""Engie S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:35:24"";""DZ BANK"";""94","239998 %"";""94","339996 %"""
"DV05R5;""EssilorLuxottica"";""Aktienanleihe Classic"";""17.12.2021"";""15:41:25"";""DZ BANK"";""100","769997 %"";""100","870003 %"""
"DV05V0;""Uniper SE"";""Aktienanleihe Classic"";""17.12.2021"";""15:49:00"";""DZ BANK"";""99","529999 %"";""99","629997 %"""
"DV05TN;""Krones AG"";""Aktienanleihe Classic"";""17.12.2021"";""15:43:28"";""DZ BANK"";""97","660004 %"";""97","860001 %"""
"DV05U6;""Software AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:51:21"";""DZ BANK"";""101","139999 %"";""101","239998 %"""
"DV05UX;""SAF Holland SE"";""Aktienanleihe Classic"";""18.03.2022"";""15:36:40"";""DZ BANK"";""106","860001 %"";""106","959999 %"""
"DV05WA;""Volkswagen AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:51:42"";""DZ BANK"";""100","25 %"";""100","349998 %"""
"DV05UN;""Rational AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:49:52"";""DZ BANK"";""101","75 %"";""102","239998 %"""
"DV05RV;""ELMOS SEMICONDUCTOR AG"";""Aktienanleihe Classic"";""17.12.2021"";""15:48:47"";""DZ BANK"";""101","150002 %"";""101","25 %"""
"DV05SK;""GFT TECHNOLOGIES"";""Aktienanleihe Classic"";""18.03.2022"";""15:43:45"";""DZ BANK"";""105","370003 %"";""105","470001 %"""
"DV05VX;""Traton SE"";""Aktienanleihe Classic"";""18.03.2022"";""15:47:54"";""DZ BANK"";""101","910004 %"";""102","010002 %"""
"DV05P2;""ADVA Optical Networking SE"";""Aktienanleihe Classic"";""18.03.2022"";""15:42:23"";""DZ BANK"";""105","93 %"";""106","029999 %"""
"DV05SN;""Hamburger Hafen und Logistik AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:07:58"";""DZ BANK"";""103","879997 %"";""104","080002 %"""
"DV05Q7;""BNP Paribas S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:44:14"";""DZ BANK"";""97","779999 %"";""97","980003 %"""
"DV05QQ;""Aumann Br"";""Aktienanleihe Classic"";""18.03.2022"";""15:03:46"";""DZ BANK"";""101","57 %"";""101","77 %"""
"DV05RF;""Crédit Agricole S.A."";""Aktienanleihe Classic"";""17.12.2021"";""15:43:15"";""DZ BANK"";""95","620003 %"";""95","82 %"""
"DV05Q4;""BNP Paribas S.A."";""Aktienanleihe Classic"";""17.12.2021"";""15:44:30"";""DZ BANK"";""98","470001 %"";""98","669998 %"""
