"WKN;""Basiswert"";""Produkttyp"";""Letzter Bewertungstag"";""Zeit"";""Quotierung"";""Geld"";""Brief""",,
"DFP2R0;""Rational AG"";""Aktienanleihe Classic"";""10.09.2021"";""15:52:58"";""DZ BANK"";""100","150002 %"";""100","449997 %"""
"DV05WG;""ZOOPLUS AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:47:46"";""DZ BANK"";""104","730003 %"";""104","93 %"""
"DV05TC;""Jenoptik AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:35:21"";""DZ BANK"";""102","32 %"";""102","419998 %"""
"DV05QZ;""Bauer AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:47:04"";""DZ BANK"";""103","339996 %"";""103","639999 %"""
"DV05QW;""Banco Bilbao Vizcaya Argentaria"";""Aktienanleihe Classic"";""18.03.2022"";""15:40:37"";""DZ BANK"";""101","760002 %"";""101","959999 %"""
"DV05R8;""EssilorLuxottica"";""Aktienanleihe Classic"";""18.03.2022"";""15:52:53"";""DZ BANK"";""100","589996 %"";""100","690002 %"""
"DV05P7;""Adyen"";""Aktienanleihe Classic"";""18.03.2022"";""15:53:38"";""DZ BANK"";""101","360001 %"";""101","459999 %"""
"DV05R9;""Fielmann AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:34:32"";""DZ BANK"";""101","059998 %"";""101","260002 %"""
"DV05U8;""Stellantis N.V."";""Aktienanleihe Classic"";""17.12.2021"";""15:37:22"";""DZ BANK"";""106","440002 %"";""106","540001 %"""
"DV05UF;""q.beyond AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:53:53"";""DZ BANK"";""108","110001 %"";""108","410004 %"""
"DV05VS;""TeamViewer AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:45:51"";""DZ BANK"";""102","589996 %"";""102","690002 %"""
"DV05Q6;""BNP Paribas S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:52:53"";""DZ BANK"";""97","769997 %"";""97","970001 %"""
"DV05SQ;""Hannover Rück SE"";""Aktienanleihe Classic"";""18.03.2022"";""15:38:31"";""DZ BANK"";""100","599998 %"";""100","699997 %"""
"DV05R4;""Eni S.p.A."";""Aktienanleihe Classic"";""17.03.2022"";""15:53:23"";""DZ BANK"";""98","169998 %"";""98","269997 %"""
"DV05VC;""Stratec SE"";""Aktienanleihe Classic"";""18.03.2022"";""15:35:37"";""DZ BANK"";""102","489998 %"";""102","75 %"""
"DV05Q5;""BNP Paribas S.A."";""Aktienanleihe Classic"";""17.12.2021"";""15:40:46"";""DZ BANK"";""98","32 %"";""98","519997 %"""
"DV05VJ;""Symrise AG"";""Aktienanleihe Classic"";""17.12.2021"";""15:44:53"";""DZ BANK"";""101","080002 %"";""101","18 %"""
"DV05SE;""Gerresheimer AG"";""Aktienanleihe Classic"";""17.12.2021"";""15:48:21"";""DZ BANK"";""101","269997 %"";""101","370003 %"""
"DV05TV;""LPKF Laser & Electronics AG"";""Aktienanleihe Classic"";""17.12.2021"";""15:33:34"";""DZ BANK"";""104","07 %"";""104","370003 %"""
"DV05T1;""Norma Group AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:55:01"";""DZ BANK"";""102","690002 %"";""102","790001 %"""
"DV05QB;""Adyen"";""Aktienanleihe Classic"";""18.03.2022"";""15:40:16"";""DZ BANK"";""100","849998 %"";""100","949997 %"""
"DV05V1;""Uniper SE"";""Aktienanleihe Classic"";""18.03.2022"";""15:48:58"";""DZ BANK"";""99","519997 %"";""99","620003 %"""
"DV05TS;""L'Oreal S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:37:35"";""DZ BANK"";""99","50 %"";""99","599998 %"""
"DV05V8;""Vivendi S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:35:48"";""DZ BANK"";""100","900002 %"";""101","00 %"""
"DV05SP;""Hamburger Hafen und Logistik AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:07:58"";""DZ BANK"";""104","410004 %"";""104","610001 %"""
"DV05R0;""Enel S.p.A."";""Aktienanleihe Classic"";""17.03.2022"";""15:46:47"";""DZ BANK"";""98","129997 %"";""98","230003 %"""
"DV05TQ;""Krones AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:43:27"";""DZ BANK"";""98","080002 %"";""98","279999 %"""
"DV05VQ;""TeamViewer AG"";""Aktienanleihe Classic"";""17.12.2021"";""15:53:53"";""DZ BANK"";""102","050003 %"";""102","150002 %"""
"DV05QH;""Air Liquide S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:35:12"";""DZ BANK"";""97","019997 %"";""97","220001 %"""
"DV05TT;""LEG Immobilien AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:35:12"";""DZ BANK"";""98","830002 %"";""98","93 %"""
"DV05SR;""Hella GmbH & Co KGaA"";""Aktienanleihe Classic"";""17.12.2021"";""15:44:09"";""DZ BANK"";""102","129997 %"";""102","330002 %"""
"DV05UM;""Rational AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:49:52"";""DZ BANK"";""102","080002 %"";""102","489998 %"""
"DV05VB;""Stellantis N.V."";""Aktienanleihe Classic"";""18.03.2022"";""15:41:15"";""DZ BANK"";""106","470001 %"";""106","57 %"""
"DV05V2;""Varta AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:46:29"";""DZ BANK"";""102","309998 %"";""102","410004 %"""
"DV05QA;""Adyen"";""Aktienanleihe Classic"";""18.03.2022"";""15:53:38"";""DZ BANK"";""100","949997 %"";""101","050003 %"""
"DV05QT;""AUTO1 Group SE"";""Aktienanleihe Classic"";""18.03.2022"";""15:35:55"";""DZ BANK"";""107","900002 %"";""108","00 %"""
"DV05QF;""Ahold Delhaize NV"";""Aktienanleihe Classic"";""18.03.2022"";""15:49:02"";""DZ BANK"";""98","57 %"";""98","669998 %"""
"DV05RL;""Deutsche EuroShop AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:47:50"";""DZ BANK"";""107","260002 %"";""107","360001 %"""
"DV05R1;""Engie S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:35:24"";""DZ BANK"";""95","589996 %"";""95","690002 %"""
"DV05T6;""Koninklijke Philips N.V."";""Aktienanleihe Classic"";""18.03.2022"";""15:49:23"";""DZ BANK"";""98","93 %"";""99","029999 %"""
"DV05QE;""Ahold Delhaize NV"";""Aktienanleihe Classic"";""17.12.2021"";""15:37:06"";""DZ BANK"";""98","849998 %"";""98","949997 %"""
"DV05VZ;""Unicredito Italiano S.p.A."";""Aktienanleihe Classic"";""17.03.2022"";""15:53:27"";""DZ BANK"";""100","040001 %"";""100","139999 %"""
"DV05P6;""Adyen"";""Aktienanleihe Classic"";""18.03.2022"";""15:40:16"";""DZ BANK"";""101","599998 %"";""101","699997 %"""
"DV05UK;""Qiagen N.V."";""Aktienanleihe Classic"";""18.03.2022"";""15:41:25"";""DZ BANK"";""100","800003 %"";""101","00 %"""
