Produkttyp;ISIN;Basiswert;Rückzahlungstermin;Geld;Brief;(Maßgebliche) Rendite p.a.;(Maßgeblicher) Sicherheitspuffer;(Mögliche) nächste Zahlung;Währung;ETF-Liefermöglichkeit;Besonderheit bei Rückzahlungsbeträgen;Nachhaltigkeit
Aktien-Anleihe;DE000LB2U6G7;Deutsche Börse;24.06.2022 00:00:00;100,23;100,33;1,85 %;21,88 %;2,10 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2U6H5;Deutsche Börse;24.06.2022 00:00:00;100,26;100,36;2,82 %;17,00 %;3,10 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UFT6;RWE;24.06.2022 00:00:00;97,59;97,69;6,12 %;9,07 %;4,25 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UFR0;Daimler;24.06.2022 00:00:00;99,82;99,92;3,82 %;21,79 %;3,75 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UFP4;Infineon;23.07.2021 00:00:00;100,21;100,31;5,18 %;15,41 %;5,75 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UFN9;Bechtle;23.07.2021 00:00:00;97,23;97,43;12,44 %;7,11 %;5,00 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UFS8;Deutsche Post;24.06.2022 00:00:00;98,04;98,14;4,69 %;11,15 %;3,20 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UFQ2;BASF;24.06.2022 00:00:00;99,52;99,62;4,11 %;16,02 %;3,80 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UFU4;SAP;24.06.2022 00:00:00;97,06;97,16;5,04 %;9,31 %;2,75 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UK67;Fraport;26.08.2022 00:00:00;101,56;101,76;2,36 %;35,05 %;3,55 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UJL5;Deutsche Lufthansa;26.08.2022 00:00:00;104,61;104,71;4,38 %;37,04 %;7,65 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UGZ1;Airbus;26.08.2022 00:00:00;102,12;102,22;7,18 %;11,18 %;8,70 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UJM3;Deutsche Lufthansa;26.08.2022 00:00:00;105,73;105,84;6,28 %;26,89 %;10,40 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UJ45;Danone;26.08.2022 00:00:00;100,30;100,50;2,43 %;17,82 %;2,75 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UJN1;Deutsche Post;26.08.2022 00:00:00;98,27;98,37;4,19 %;15,07 %;3,00 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UMJ3;Volkswagen;26.08.2022 00:00:00;102,05;102,15;5,18 %;19,40 %;6,65 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2ULK3;Porsche;26.08.2022 00:00:00;102,80;103,01;3,39 %;22,79 %;5,45 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UMA2;Total;26.08.2022 00:00:00;101,18;101,28;4,50 %;21,82 %;5,35 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UM32;Siemens Healthineers;26.08.2022 00:00:00;101,10;101,30;2,88 %;7,15 %;3,75 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UM16;Siemens;26.08.2022 00:00:00;98,87;98,97;5,75 %;6,53 %;4,95 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2ULU2;SAP;26.08.2022 00:00:00;98,47;98,57;3,48 %;16,63 %;2,45 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2ULT4;Sanofi;26.08.2022 00:00:00;95,81;95,91;7,15 %;1,09 %;4,10 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2ULR8;RWE;26.08.2022 00:00:00;92,31;92,41;9,23 %;-4,53 %;6,30 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2ULL1;ProSiebenSat.1 Media;26.08.2022 00:00:00;101,41;101,61;1,32 %;50,88 %;2,40 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2ULG1;Orange;26.08.2022 00:00:00;99,58;99,68;3,15 %;17,14 %;2,90 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2ULD8;MünchenerRück;26.08.2022 00:00:00;101,35;101,45;4,78 %;13,69 %;5,75 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UL90;Morphosys;26.08.2022 00:00:00;93,38;93,58;8,91 %;3,96 %;4,05 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UL33;Linde;26.08.2022 00:00:00;99,23;99,33;5,18 %;6,59 %;4,65 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UKX8;K+S;26.08.2022 00:00:00;96,65;96,80;6,43 %;28,20 %;4,05 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UKY6;K+S;26.08.2022 00:00:00;95,91;96,06;10,04 %;11,88 %;6,95 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UKV2;Infineon;26.08.2022 00:00:00;100,86;100,96;6,54 %;12,43 %;7,15 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UKP4;HOCHTIEF;26.08.2022 00:00:00;95,38;95,58;7,77 %;5,91 %;4,45 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UKL3;HeidelbergCement;26.08.2022 00:00:00;99,15;99,25;7,33 %;6,48 %;6,70 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UK91;Freenet;26.08.2022 00:00:00;98,84;98,94;6,08 %;13,95 %;5,25 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UK75;Fraport;26.08.2022 00:00:00;102,50;102,71;4,04 %;25,50 %;5,90 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UJU6;Deutsche Telekom;26.08.2022 00:00:00;99,83;99,93;5,21 %;6,67 %;5,10 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UJC4;Deutsche Bank;26.08.2022 00:00:00;101,53;101,68;2,52 %;41,60 %;3,65 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UHP0;BMW;26.08.2022 00:00:00;100,01;100,11;6,09 %;8,71 %;6,10 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UHM7;BMW;26.08.2022 00:00:00;100,01;100,11;2,29 %;26,26 %;2,35 %;EUR;;;ESG (nachhaltig)
