Produkttyp;ISIN;Basiswert;Rückzahlungstermin;Geld;Brief;(Maßgebliche) Rendite p.a.;(Maßgeblicher) Sicherheitspuffer;(Mögliche) nächste Zahlung;Währung;ETF-Liefermöglichkeit;Besonderheit bei Rückzahlungsbeträgen;Nachhaltigkeit
Aktien-Anleihe;DE000LB2UFT6;RWE;24.06.2022 00:00:00;97,68;97,78;6,02 %;8,06 %;4,25 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UFR0;Daimler;24.06.2022 00:00:00;99,64;99,74;3,94 %;21,57 %;3,75 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UFP4;Infineon;23.07.2021 00:00:00;99,76;99,86;6,26 %;14,90 %;5,75 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UFN9;Bechtle;23.07.2021 00:00:00;97,76;97,96;10,81 %;8,87 %;5,00 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UFS8;Deutsche Post;24.06.2022 00:00:00;98,76;98,86;4,09 %;12,99 %;3,20 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UFQ2;BASF;24.06.2022 00:00:00;100,30;100,40;3,47 %;17,49 %;3,80 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UFU4;SAP;24.06.2022 00:00:00;97,48;97,58;4,68 %;10,23 %;2,75 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UK67;Fraport;26.08.2022 00:00:00;102,22;102,42;1,89 %;36,45 %;3,55 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UJL5;Deutsche Lufthansa;26.08.2022 00:00:00;105,27;105,38;3,88 %;38,90 %;7,65 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UGZ1;Airbus;26.08.2022 00:00:00;104,14;104,24;5,68 %;15,05 %;8,70 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UJM3;Deutsche Lufthansa;26.08.2022 00:00:00;106,68;106,79;5,56 %;29,05 %;10,40 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UJ45;Danone;26.08.2022 00:00:00;100,78;100,98;2,08 %;18,82 %;2,75 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UJN1;Deutsche Post;26.08.2022 00:00:00;98,97;99,07;3,67 %;16,88 %;3,00 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UMJ3;Volkswagen;26.08.2022 00:00:00;102,38;102,48;4,91 %;19,90 %;6,65 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2ULK3;Porsche;26.08.2022 00:00:00;103,40;103,61;2,94 %;24,39 %;5,45 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UMA2;Total;26.08.2022 00:00:00;101,75;101,85;4,06 %;22,42 %;5,35 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UM32;Siemens Healthineers;26.08.2022 00:00:00;101,09;101,29;2,86 %;7,68 %;3,75 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UM16;Siemens;26.08.2022 00:00:00;99,83;99,93;5,02 %;7,81 %;4,95 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2ULU2;SAP;26.08.2022 00:00:00;98,87;98,97;3,18 %;17,59 %;2,45 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2ULT4;Sanofi;26.08.2022 00:00:00;96,21;96,31;6,83 %;2,09 %;4,10 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2ULR8;RWE;26.08.2022 00:00:00;92,35;92,45;8,92 %;-4,90 %;6,30 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2ULL1;ProSiebenSat.1 Media;26.08.2022 00:00:00;101,72;101,92;1,09 %;52,85 %;2,40 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2ULG1;Orange;26.08.2022 00:00:00;99,78;99,88;2,99 %;17,31 %;2,90 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2ULD8;MünchenerRück;26.08.2022 00:00:00;101,95;102,05;4,32 %;14,56 %;5,75 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UL90;Morphosys;26.08.2022 00:00:00;93,93;94,13;8,46 %;5,90 %;4,05 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UL33;Linde;26.08.2022 00:00:00;100,02;100,12;4,59 %;7,95 %;4,65 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UKX8;K+S;26.08.2022 00:00:00;97,70;97,85;5,62 %;31,18 %;4,05 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UKY6;K+S;26.08.2022 00:00:00;97,33;97,48;8,89 %;15,54 %;6,95 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UKV2;Infineon;26.08.2022 00:00:00;100,12;100,22;7,03 %;11,07 %;7,15 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UKP4;HOCHTIEF;26.08.2022 00:00:00;96,35;96,55;7,01 %;7,04 %;4,45 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UKL3;HeidelbergCement;26.08.2022 00:00:00;99,44;99,54;7,08 %;7,74 %;6,70 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UK91;Freenet;26.08.2022 00:00:00;101,09;101,19;4,43 %;17,82 %;5,25 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UK75;Fraport;26.08.2022 00:00:00;103,34;103,55;3,43 %;27,10 %;5,90 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UJU6;Deutsche Telekom;26.08.2022 00:00:00;100,03;100,13;5,03 %;6,73 %;5,10 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UJC4;Deutsche Bank;26.08.2022 00:00:00;102,15;102,30;2,07 %;42,55 %;3,65 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UHP0;BMW;26.08.2022 00:00:00;100,52;100,62;5,68 %;9,60 %;6,10 %;EUR;;;ESG (nachhaltig)
