Produkttyp;ISIN;Basiswert;Rückzahlungstermin;Geld;Brief;(Maßgebliche) Rendite p.a.;(Maßgeblicher) Sicherheitspuffer;(Mögliche) nächste Zahlung;Währung;ETF-Liefermöglichkeit;Besonderheit bei Rückzahlungsbeträgen;Nachhaltigkeit
Aktien-Anleihe;DE000LB2UHM7;BMW;26.08.2022 00:00:00;100,37;100,47;2,03 %;26,98 %;2,35 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UHF1;Bayer;26.08.2022 00:00:00;99,11;99,21;9,00 %;4,25 %;8,35 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UH88;BASF;26.08.2022 00:00:00;100,70;100,80;1,75 %;27,61 %;2,30 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UH62;AXA;26.08.2022 00:00:00;102,66;102,76;3,13 %;25,08 %;5,05 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UH05;Allianz;26.08.2022 00:00:00;100,93;101,03;1,55 %;28,11 %;2,25 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UGW8;Air Liquide;26.08.2022 00:00:00;97,95;98,05;3,63 %;9,02 %;2,25 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2ULW8;SAP;26.08.2022 00:00:00;98,41;98,51;5,60 %;7,89 %;4,50 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UJH3;Deutsche Börse;26.08.2022 00:00:00;99,94;100,04;4,44 %;11,50 %;4,45 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UMV8;Royal Dutch Shell;23.09.2022 00:00:00;101,90;102,00;2,44 %;30,22 %;3,75 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UMR6;ING;23.09.2022 00:00:00;103,96;104,06;1,89 %;39,49 %;4,55 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UMQ8;Zalando;26.08.2022 00:00:00;92,63;92,83;11,11 %;5,55 %;5,55 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UMH7;Volkswagen;26.08.2022 00:00:00;102,07;102,17;3,59 %;25,62 %;5,10 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2ULZ1;Siemens;26.08.2022 00:00:00;99,74;99,84;2,52 %;19,33 %;2,40 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2ULY4;Siemens;26.08.2022 00:00:00;99,77;99,87;1,84 %;23,17 %;1,75 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2ULS6;Sanofi;26.08.2022 00:00:00;97,03;97,13;4,71 %;8,62 %;2,65 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2ULQ0;RWE;26.08.2022 00:00:00;93,40;93,50;10,03 %;1,46 %;5,05 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2ULH9;Philips;26.08.2022 00:00:00;99,71;99,81;3,30 %;14,37 %;3,15 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2ULE6;MünchenerRück;26.08.2022 00:00:00;102,16;102,26;5,85 %;8,46 %;7,45 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2ULB2;MünchenerRück;26.08.2022 00:00:00;101,26;101,36;1,32 %;30,84 %;2,25 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UL74;LVMH;26.08.2022 00:00:00;100,58;100,68;3,59 %;15,40 %;4,05 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UL09;LANXESS;26.08.2022 00:00:00;98,16;98,36;5,61 %;11,76 %;4,40 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UKT6;Infineon;26.08.2022 00:00:00;100,19;100,29;3,16 %;28,01 %;3,35 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UKK5;HeidelbergCement;26.08.2022 00:00:00;99,50;99,60;5,21 %;15,24 %;4,90 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UKJ7;HeidelbergCement;26.08.2022 00:00:00;99,59;99,69;3,13 %;24,99 %;2,90 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UKA6;Fresenius;26.08.2022 00:00:00;99,02;99,12;2,92 %;19,53 %;2,30 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UK00;E.ON;26.08.2022 00:00:00;97,82;97,92;6,96 %;5,55 %;5,40 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UJX0;Deutsche Wohnen;26.08.2022 00:00:00;96,45;96,65;6,21 %;4,13 %;3,75 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UJG5;Deutsche Börse;26.08.2022 00:00:00;99,95;100,05;3,28 %;17,04 %;3,30 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UJ11;Daimler;26.08.2022 00:00:00;101,94;102,04;2,59 %;32,02 %;4,00 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UJ03;Daimler;26.08.2022 00:00:00;101,42;101,52;1,56 %;39,58 %;2,60 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UHR6;Carl Zeiss Meditec;26.08.2022 00:00:00;94,76;94,96;7,07 %;4,84 %;3,35 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UHQ8;Carl Zeiss Meditec;26.08.2022 00:00:00;95,45;95,65;4,98 %;12,77 %;1,85 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UHK1;Beiersdorf;26.08.2022 00:00:00;96,24;96,34;5,87 %;0,36 %;3,20 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UHD6;Bayer;26.08.2022 00:00:00;99,63;99,73;5,02 %;18,61 %;4,80 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UHG9;Bechtle;26.08.2022 00:00:00;95,34;95,54;6,73 %;11,62 %;3,45 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UH70;AXA;26.08.2022 00:00:00;103,32;103,42;4,54 %;18,05 %;6,95 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UH13;Allianz;26.08.2022 00:00:00;101,26;101,36;3,26 %;18,20 %;4,20 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UJ29;Daimler;26.08.2022 00:00:00;102,68;102,78;3,81 %;24,47 %;5,75 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UMN5;Wacker Chemie;26.08.2022 00:00:00;94,35;94,55;9,61 %;10,95 %;5,45 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UMB0;Total;26.08.2022 00:00:00;102,07;102,17;5,82 %;14,66 %;7,35 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UJV4;Deutsche Telekom;26.08.2022 00:00:00;99,74;99,84;7,26 %;0,07 %;7,10 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UH47;Anheuser-Busch InBev;26.08.2022 00:00:00;96,30;96,50;6,32 %;8,10 %;3,75 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UMT2;Nokia;23.09.2022 00:00:00;98,57;98,77;3,84 %;25,52 %;3,00 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UMK1;Vonovia;26.08.2022 00:00:00;99,12;99,32;2,28 %;20,35 %;1,80 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UM99;Total;26.08.2022 00:00:00;101,52;101,62;2,58 %;30,18 %;3,70 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UM24;Siemens Healthineers;26.08.2022 00:00:00;100,80;101,00;1,42 %;14,20 %;2,10 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UL41;Linde;26.08.2022 00:00:00;99,92;100,02;5,87 %;3,10 %;5,85 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UKW0;Infineon;26.08.2022 00:00:00;100,01;100,11;9,29 %;2,60 %;9,30 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UKN9;Henkel;26.08.2022 00:00:00;96,18;96,28;6,02 %;0,68 %;3,30 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UKD0;Fresenius;26.08.2022 00:00:00;97,19;97,29;7,76 %;-1,28 %;6,55 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UJW2;Deutsche Wohnen;26.08.2022 00:00:00;96,69;96,89;4,53 %;10,25 %;2,30 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UJ94;Delivery Hero;26.08.2022 00:00:00;92,14;92,34;8,86 %;25,06 %;3,10 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UHV8;Continental;26.08.2022 00:00:00;99,22;99,42;5,09 %;18,98 %;4,65 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UHL9;Bilfinger;26.08.2022 00:00:00;100,76;100,96;4,79 %;23,13 %;5,45 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UHB0;BASF;26.08.2022 00:00:00;101,12;101,22;6,80 %;5,89 %;7,65 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UH39;Allianz;26.08.2022 00:00:00;101,59;101,69;6,31 %;5,80 %;7,50 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UMM7;Wacker Chemie;26.08.2022 00:00:00;95,75;95,95;6,11 %;25,49 %;3,15 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UME4;Vinci;26.08.2022 00:00:00;101,96;102,16;2,46 %;26,04 %;3,95 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2ULM9;ProSiebenSat.1 Media;26.08.2022 00:00:00;102,28;102,48;2,69 %;42,12 %;4,40 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2ULF3;OMV;26.08.2022 00:00:00;103,21;103,42;2,10 %;27,81 %;4,45 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UKM1;Henkel;26.08.2022 00:00:00;96,56;96,66;4,95 %;4,31 %;2,55 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UKE8;Fresenius M.C.;26.08.2022 00:00:00;93,26;93,36;6,77 %;5,63 %;1,90 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UJQ4;Deutsche Post;26.08.2022 00:00:00;98,34;98,44;6,83 %;5,01 %;5,65 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UJA8;Delivery Hero;26.08.2022 00:00:00;88,78;88,98;14,89 %;1,64 %;6,00 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UHX4;Covestro;26.08.2022 00:00:00;101,57;101,77;1,69 %;34,55 %;2,90 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UHS4;Commerzbank;26.08.2022 00:00:00;98,70;98,85;5,61 %;25,56 %;4,75 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UHE4;Bayer;26.08.2022 00:00:00;99,46;99,56;6,25 %;13,83 %;5,90 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UGU2;adidas;26.08.2022 00:00:00;100,50;100,60;2,94 %;21,45 %;3,35 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UMS4;ING;23.09.2022 00:00:00;105,20;105,31;4,00 %;27,61 %;7,55 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UMF1;Vivendi;26.08.2022 00:00:00;104,55;104,65;-0,27 %;23,10 %;2,85 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UM73;thyssenkrupp;26.08.2022 00:00:00;101,19;101,29;5,80 %;38,97 %;6,70 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UM65;Telefonica;26.08.2022 00:00:00;99,89;100,09;7,08 %;15,02 %;7,10 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2ULX6;SAP;26.08.2022 00:00:00;98,23;98,33;7,01 %;3,04 %;5,75 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2ULJ5;Porsche;26.08.2022 00:00:00;102,54;102,75;1,57 %;31,40 %;3,45 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UL82;Merck;26.08.2022 00:00:00;98,15;98,25;3,64 %;12,02 %;2,40 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UL66;LVMH;26.08.2022 00:00:00;100,42;100,52;2,15 %;22,92 %;2,50 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UKZ3;LANXESS;26.08.2022 00:00:00;98,87;99,07;3,31 %;22,10 %;2,65 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UKR0;HUGO BOSS;26.08.2022 00:00:00;104,42;104,63;2,60 %;27,71 %;5,80 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UKS8;Iberdrola;26.08.2022 00:00:00;93,18;93,28;7,74 %;0,58 %;2,75 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UKQ2;HUGO BOSS;26.08.2022 00:00:00;103,24;103,45;1,05 %;36,75 %;3,40 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UKU4;Infineon;26.08.2022 00:00:00;100,18;100,28;4,97 %;19,54 %;5,15 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UKH1;Hannover Rück;26.08.2022 00:00:00;101,51;101,71;2,82 %;19,86 %;4,00 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UKG3;Fresenius M.C.;26.08.2022 00:00:00;90,07;90,17;5,14 %;-11,53 %;4,95 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UKC2;Fresenius;26.08.2022 00:00:00;97,72;97,82;6,88 %;4,27 %;5,25 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UKB4;Fresenius;26.08.2022 00:00:00;98,46;98,56;4,54 %;12,60 %;3,50 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UKF5;Fresenius M.C.;26.08.2022 00:00:00;91,62;91,72;7,53 %;-2,95 %;3,30 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UK83;Freenet;26.08.2022 00:00:00;101,18;101,28;2,12 %;27,01 %;3,00 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UK26;Eni;26.08.2022 00:00:00;103,12;103,22;2,77 %;25,82 %;5,00 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UJZ5;E.ON;26.08.2022 00:00:00;98,22;98,32;5,12 %;11,45 %;3,90 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UK18;Enel;26.08.2022 00:00:00;96,73;96,83;6,12 %;8,49 %;3,80 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UJY8;E.ON;26.08.2022 00:00:00;98,70;98,80;3,10 %;19,13 %;2,25 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UJT8;Deutsche Telekom;26.08.2022 00:00:00;100,22;100,32;3,14 %;13,39 %;3,35 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UJS0;Deutsche Telekom;26.08.2022 00:00:00;100,31;100,41;1,97 %;18,39 %;2,25 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UJR2;Deutsche Post;26.08.2022 00:00:00;98,08;98,18;8,04 %;-0,93 %;7,25 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UJK7;Deutsche Lufthansa;26.08.2022 00:00:00;103,23;103,33;1,96 %;52,70 %;4,25 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UJJ9;Deutsche Börse;26.08.2022 00:00:00;99,89;99,99;5,79 %;5,97 %;5,75 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UJE0;Deutsche Bank;26.08.2022 00:00:00;103,79;103,94;5,36 %;21,49 %;8,15 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UJD2;Deutsche Bank;26.08.2022 00:00:00;103,03;103,18;3,78 %;30,58 %;6,00 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UJF7;Deutsche Börse;26.08.2022 00:00:00;99,95;100,05;2,27 %;22,57 %;2,30 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UJB6;Delivery Hero;26.08.2022 00:00:00;87,15;87,35;10,56 %;-12,41 %;8,10 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UHW6;Continental;26.08.2022 00:00:00;99,12;99,32;6,99 %;10,45 %;6,45 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UHZ9;Covestro;26.08.2022 00:00:00;102,34;102,55;4,96 %;18,19 %;6,75 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UHY2;Covestro;26.08.2022 00:00:00;101,93;102,13;3,17 %;26,37 %;4,65 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UHU0;Continental;26.08.2022 00:00:00;99,36;99,56;2,72 %;31,77 %;2,40 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UHT2;Commerzbank;26.08.2022 00:00:00;98,08;98,23;9,14 %;10,13 %;7,75 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UHN5;BMW;26.08.2022 00:00:00;100,42;100,52;3,45 %;19,33 %;3,80 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UHJ3;Beiersdorf;26.08.2022 00:00:00;96,90;97,00;4,19 %;6,36 %;2,05 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UHH7;Bechtle;26.08.2022 00:00:00;93,92;94,12;9,42 %;-1,01 %;5,60 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UHC8;Bayer;26.08.2022 00:00:00;99,80;99,90;3,89 %;23,40 %;3,80 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UH96;BASF;26.08.2022 00:00:00;100,93;101,03;3,09 %;20,37 %;3,80 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UJ37;Daimler;26.08.2022 00:00:00;103,32;103,42;5,28 %;16,92 %;7,70 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UH54;AXA;26.08.2022 00:00:00;101,99;102,09;2,02 %;32,10 %;3,45 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UH21;Allianz;26.08.2022 00:00:00;101,45;101,55;4,97 %;10,76 %;6,05 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UGX6;Airbus;26.08.2022 00:00:00;102,75;102,85;1,84 %;35,04 %;3,80 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UGV0;adidas;26.08.2022 00:00:00;100,62;100,72;4,71 %;12,91 %;5,20 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UGT4;adidas;26.08.2022 00:00:00;100,39;100,49;1,77 %;28,28 %;2,10 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UMD6;United Internet;26.08.2022 00:00:00;98,60;98,80;4,78 %;14,50 %;3,90 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UMC8;United Internet;26.08.2022 00:00:00;98,91;99,11;3,08 %;22,64 %;2,45 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UM57;Telefonica;26.08.2022 00:00:00;100,16;100,36;3,96 %;27,36 %;4,20 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2ULP2;RWE;26.08.2022 00:00:00;94,75;94,85;7,42 %;9,41 %;3,60 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2ULC0;MünchenerRück;26.08.2022 00:00:00;101,60;101,70;2,63 %;22,70 %;3,80 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UJP6;Deutsche Post;26.08.2022 00:00:00;98,68;98,78;5,15 %;10,95 %;4,25 %;EUR;;;ESG (nachhaltig)
