Produkttyp;ISIN;Basiswert;Rückzahlungstermin;Geld;Brief;(Maßgebliche) Rendite p.a.;(Maßgeblicher) Sicherheitspuffer;(Mögliche) nächste Zahlung;Währung;ETF-Liefermöglichkeit;Besonderheit bei Rückzahlungsbeträgen;Nachhaltigkeit
Aktien-Anleihe;DE000LB2UQS5;Allianz;25.03.2022 00:00:00;100,78;100,88;5,21 %;9,91 %;6,10 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UQQ9;Allianz;25.03.2022 00:00:00;100,35;100,45;1,77 %;24,92 %;2,20 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UQM8;Airbus;25.03.2022 00:00:00;100,38;100,48;3,57 %;27,79 %;4,05 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UQJ4;adidas;25.03.2022 00:00:00;100,13;100,23;2,92 %;22,12 %;3,15 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2VAD9;Linde;28.04.2023 00:00:00;99,64;99,74;4,12 %;9,40 %;4,00 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2VAE7;Total;28.04.2023 00:00:00;100,41;100,51;3,64 %;29,70 %;3,90 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UWU9;adidas;24.03.2023 00:00:00;99,10;99,20;3,66 %;18,66 %;3,25 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UWT1;adidas;24.03.2023 00:00:00;99,22;99,32;2,64 %;25,58 %;2,30 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2VA84;Vonovia;24.03.2023 00:00:00;99,07;99,27;4,07 %;10,88 %;3,70 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2VA68;Volkswagen;24.03.2023 00:00:00;99,77;99,87;6,61 %;10,41 %;6,55 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2VA43;Volkswagen;24.03.2023 00:00:00;99,66;99,76;4,42 %;21,97 %;4,30 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2VA35;Volkswagen;24.03.2023 00:00:00;99,58;99,68;2,96 %;30,64 %;2,80 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2VA27;Unilever;24.03.2023 00:00:00;97,61;97,71;3,98 %;11,68 %;2,80 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UZZ1;Telefonica;24.03.2023 00:00:00;97,21;97,41;4,34 %;31,86 %;3,00 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UZW8;Siemens;24.03.2023 00:00:00;98,59;98,69;4,02 %;14,05 %;3,35 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UZV0;Siemens;24.03.2023 00:00:00;98,77;98,87;2,77 %;21,86 %;2,20 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UZQ0;RWE;24.03.2023 00:00:00;99,18;99,28;6,83 %;5,87 %;6,45 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UZP2;RWE;24.03.2023 00:00:00;99,32;99,42;5,55 %;12,25 %;5,25 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UZN7;RWE;24.03.2023 00:00:00;99,51;99,61;4,35 %;18,63 %;4,15 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UZM9;RWE;24.03.2023 00:00:00;99,58;99,68;3,01 %;26,61 %;2,85 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UZG1;Orange;24.03.2023 00:00:00;98,58;98,68;3,73 %;17,20 %;3,05 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UZH9;Philips;24.03.2023 00:00:00;98,27;98,37;3,99 %;10,91 %;3,15 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UZE6;Nokia;24.03.2023 00:00:00;99,21;99,41;4,60 %;24,46 %;4,30 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UZ86;MTU Aero Engines;24.03.2023 00:00:00;101,47;101,67;4,87 %;21,32 %;5,75 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UZ60;MTU Aero Engines;24.03.2023 00:00:00;100,83;101,03;2,18 %;41,62 %;2,70 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UZ78;MTU Aero Engines;24.03.2023 00:00:00;101,19;101,39;3,78 %;28,93 %;4,50 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UZ11;LANXESS;24.03.2023 00:00:00;99,18;99,38;3,42 %;21,72 %;3,10 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UZ03;K+S;24.03.2023 00:00:00;101,86;102,01;5,49 %;28,56 %;6,55 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UYY7;ING;24.03.2023 00:00:00;100,24;100,34;2,88 %;37,42 %;3,05 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UYM2;HeidelbergCement;24.03.2023 00:00:00;100,12;100,22;2,49 %;28,99 %;2,60 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UYR1;HUGO BOSS;24.03.2023 00:00:00;102,40;102,61;1,80 %;35,55 %;3,10 %;EUR;;;ESG (nachhaltig)
