Produkttyp;ISIN;Basiswert;Rückzahlungstermin;Geld;Brief;(Maßgebliche) Rendite p.a.;(Maßgeblicher) Sicherheitspuffer;(Mögliche) nächste Zahlung;Währung;ETF-Liefermöglichkeit;Besonderheit bei Rückzahlungsbeträgen;Nachhaltigkeit
Aktien-Anleihe;DE000LB2UZX6;Siemens;24.03.2023 00:00:00;98,51;98,61;4,72 %;10,14 %;4,00 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UZK3;Royal Dutch Shell;24.03.2023 00:00:00;101,20;101,30;3,33 %;27,90 %;4,00 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UZC0;MünchenerRück;24.03.2023 00:00:00;100,92;101,02;3,97 %;15,64 %;4,50 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UZ52;Morphosys;24.03.2023 00:00:00;98,09;98,29;4,94 %;16,07 %;4,05 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UZ37;LVMH;24.03.2023 00:00:00;98,77;98,87;4,38 %;10,46 %;3,80 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UYV3;Infineon;24.03.2023 00:00:00;100,08;100,18;4,10 %;23,61 %;4,20 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UYQ3;HOCHTIEF;24.03.2023 00:00:00;99,19;99,39;3,46 %;22,82 %;3,15 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UYG4;Fresenius;24.03.2023 00:00:00;99,16;99,26;4,58 %;10,84 %;4,20 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UY53;Deutsche Post;24.03.2023 00:00:00;98,00;98,10;6,36 %;3,07 %;5,35 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UXX1;Deutsche Bank;24.03.2023 00:00:00;101,55;101,70;4,66 %;26,57 %;5,55 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UXQ5;Covestro;24.03.2023 00:00:00;101,04;101,24;3,71 %;24,95 %;4,35 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UXH4;BMW;24.03.2023 00:00:00;99,46;99,56;5,23 %;9,09 %;5,00 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UX88;BASF;24.03.2023 00:00:00;99,64;99,74;4,48 %;13,63 %;4,35 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UWZ8;Allianz;24.03.2023 00:00:00;99,84;99,94;4,38 %;12,41 %;4,35 %;EUR;;;ESG (nachhaltig)
Bonitätsabhängige Schuldverschreibung;DE000LB2CWP7;Telefonica;12.01.2029 00:00:00;98,68;100,18;0,98 %;;1,00 %;EUR;;;ESG (nachhaltig)
Bonitätsabhängige Schuldverschreibung;DE000LB2CWQ5;Volkswagen;12.01.2029 00:00:00;98,29;99,79;1,03 %;;1,00 %;EUR;;;Basic (nicht nachhaltig)
Bonitätsabhängige Schuldverschreibung;DE000LB2CWR3;Peugeot;12.01.2028 00:00:00;98,82;100,32;1,20 %;;1,25 %;EUR;;;Basic (nicht nachhaltig)
Bonitätsabhängige Schuldverschreibung;DE000LB2CWY9;Anglo American;12.01.2029 00:00:00;96,37;97,87;1,29 %;;1,00 %;EUR;;;ESG (nachhaltig)
Bonitätsabhängige Schuldverschreibung;DE000LB2CWX1;Südzucker;12.01.2028 00:00:00;98,56;100,06;1,09 %;;1,10 %;EUR;;;ESG (nachhaltig)
Bonitätsabhängige Schuldverschreibung;DE000LB2CW08;Volkswagen;14.01.2030 00:00:00;98,08;99,58;1,15 %;;1,10 %;EUR;;;Basic (nicht nachhaltig)
Bonitätsabhängige Schuldverschreibung;DE000LB2CWZ6;Telefonica;14.01.2030 00:00:00;98,36;99,86;1,17 %;;1,15 %;EUR;;;ESG (nachhaltig)
Bonitätsabhängige Schuldverschreibung;DE000LB2CXG4;ArcelorMittal;12.01.2027 00:00:00;97,87;99,12;1,26 %;;1,10 %;EUR;;;Basic (nicht nachhaltig)
Bonitätsabhängige Schuldverschreibung;DE000LB2CXH2;Südzucker;12.01.2028 00:00:00;98,75;100,25;1,11 %;;1,15 %;EUR;;;ESG (nachhaltig)
Bonitätsabhängige Schuldverschreibung;DE000LB2CXK6;Bayer;13.01.2031 00:00:00;98,14;99,64;1,04 %;;1,00 %;EUR;;;Basic (nicht nachhaltig)
Bonus-Zertifikat;DE000LB2LNV5;Royal Dutch Shell;28.03.2025 00:00:00;16,79;16,88;0,60 %;49,76 %;;EUR;;;Basic (nicht nachhaltig)
Bonus-Zertifikat;DE000LB2LNT9;MünchenerRück;28.03.2025 00:00:00;239,80;241,01;3,28 %;40,33 %;;EUR;;;ESG (nachhaltig)
Bonus-Zertifikat;DE000LB2LNM4;Deutsche Telekom;28.03.2025 00:00:00;14,98;15,06;6,27 %;31,14 %;;EUR;;;Basic (nicht nachhaltig)
Bonus-Zertifikat;DE000LB2LNR3;HeidelbergCement;28.03.2025 00:00:00;65,26;65,59;2,31 %;29,75 %;;EUR;;;ESG (nachhaltig)
Bonus-Zertifikat;DE000LB2LNH4;Deutsche Post;28.03.2025 00:00:00;40,48;40,69;4,92 %;29,86 %;;EUR;;;ESG (nachhaltig)
Bonus-Zertifikat;DE000LB2LN16;AXA;28.03.2025 00:00:00;20,93;21,04;6,30 %;42,38 %;;EUR;;;ESG (nachhaltig)
Bonus-Zertifikat;DE000LB2LNF8;Daimler;28.03.2025 00:00:00;66,13;66,47;6,36 %;36,91 %;;EUR;;;Basic (nicht nachhaltig)
Bonus-Zertifikat;DE000LB2LNC5;Covestro;28.03.2025 00:00:00;60,73;61,22;5,95 %;32,45 %;;EUR;;;ESG (nachhaltig)
Bonus-Zertifikat;DE000LB2LN32;BASF;28.03.2025 00:00:00;66,59;66,93;3,82 %;40,94 %;;EUR;;;ESG (nachhaltig)
Bonus-Zertifikat;DE000LB2LMX3;Allianz;28.03.2025 00:00:00;197,83;198,83;3,74 %;42,44 %;;EUR;;;ESG (nachhaltig)
Bonus-Zertifikat;DE000LB2LMV7;EURO STOXX 50®;28.03.2025 00:00:00;36,01;36,20;2,48 %;34,00 %;;EUR;;;Basic (nicht nachhaltig)
Bonus-Zertifikat;DE000LB2LP97;Total;28.04.2025 00:00:00;38,04;38,24;9,68 %;36,99 %;;EUR;;;ESG (nachhaltig)
Bonus-Zertifikat;DE000LB2LNA9;Covestro;28.03.2025 00:00:00;60,55;61,04;0,38 %;46,63 %;;EUR;;;ESG (nachhaltig)
Bonus-Zertifikat;DE000LB2LN57;Bayer;28.03.2025 00:00:00;49,56;49,81;5,30 %;35,16 %;;EUR;;;Basic (nicht nachhaltig)
Bonus-Zertifikat;DE000LB2LP55;Volkswagen;28.03.2025 00:00:00;172,12;172,99;3,62 %;40,47 %;;EUR;;;Basic (nicht nachhaltig)
Bonus-Zertifikat;DE000LB2LNX1;Royal Dutch Shell;28.03.2025 00:00:00;16,97;17,06;6,43 %;35,58 %;;EUR;;;Basic (nicht nachhaltig)
Bonus-Zertifikat;DE000LB2LNB7;Covestro;28.03.2025 00:00:00;60,62;61,11;3,20 %;39,13 %;;EUR;;;ESG (nachhaltig)
Bonus-Zertifikat;DE000LB2LN24;BASF;28.03.2025 00:00:00;66,19;66,53;1,25 %;49,06 %;;EUR;;;ESG (nachhaltig)
Bonus-Zertifikat;DE000LB2LP71;Total;28.04.2025 00:00:00;37,18;37,37;3,66 %;53,65 %;;EUR;;;ESG (nachhaltig)
Bonus-Zertifikat;DE000LB2LNY9;Sanofi;28.03.2025 00:00:00;75,15;75,53;2,94 %;38,19 %;;EUR;;;Basic (nicht nachhaltig)
Bonus-Zertifikat;DE000LB2LNG6;Deutsche Post;28.03.2025 00:00:00;40,56;40,77;2,45 %;37,65 %;;EUR;;;ESG (nachhaltig)
Bonus-Zertifikat;DE000LB2LN40;Bayer;28.03.2025 00:00:00;49,58;49,83;2,90 %;41,14 %;;EUR;;;Basic (nicht nachhaltig)
Bonus-Zertifikat;DE000LB2LN08;AXA;28.03.2025 00:00:00;20,45;20,56;3,86 %;49,58 %;;EUR;;;ESG (nachhaltig)
Bonus-Zertifikat;DE000LB2LP22;Siemens;28.03.2025 00:00:00;130,61;131,27;4,97 %;29,68 %;;EUR;;;ESG (nachhaltig)
Bonus-Zertifikat;DE000LB2LNN2;Fresenius;28.03.2025 00:00:00;34,97;35,15;3,59 %;22,40 %;;EUR;;;Basic (nicht nachhaltig)
Bonus-Zertifikat;DE000LB2LNK8;Deutsche Telekom;28.03.2025 00:00:00;14,94;15,02;1,95 %;43,45 %;;EUR;;;Basic (nicht nachhaltig)
Bonus-Zertifikat;DE000LB2LN73;BMW;28.03.2025 00:00:00;70,39;70,75;2,42 %;39,16 %;;EUR;;;ESG (nachhaltig)
Bonus-Zertifikat;DE000LB2LN81;BMW;28.03.2025 00:00:00;70,36;70,72;4,15 %;33,57 %;;EUR;;;ESG (nachhaltig)
Bonus-Zertifikat;DE000LB2LMZ8;AXA;28.03.2025 00:00:00;20,09;20,20;2,11 %;55,82 %;;EUR;;;ESG (nachhaltig)
Bonus-Zertifikat;DE000LB2LP48;Volkswagen;28.03.2025 00:00:00;170,75;171,61;-0,23 %;49,14 %;;EUR;;;Basic (nicht nachhaltig)
Bonus-Zertifikat;DE000LB2LP30;Siemens;28.03.2025 00:00:00;130,64;131,30;6,84 %;24,99 %;;EUR;;;ESG (nachhaltig)
Bonus-Zertifikat;DE000LB2LNZ6;Sanofi;28.03.2025 00:00:00;74,75;75,13;4,81 %;31,61 %;;EUR;;;Basic (nicht nachhaltig)
Bonus-Zertifikat;DE000LB2LNW3;Royal Dutch Shell;28.03.2025 00:00:00;16,85;16,94;2,85 %;43,85 %;;EUR;;;Basic (nicht nachhaltig)
Bonus-Zertifikat;DE000LB2LNU7;MünchenerRück;28.03.2025 00:00:00;242,53;243,75;6,48 %;32,10 %;;EUR;;;ESG (nachhaltig)
Bonus-Zertifikat;DE000LB2LNP7;Fresenius;28.03.2025 00:00:00;34,93;35,11;5,21 %;18,17 %;;EUR;;;Basic (nicht nachhaltig)
Bonus-Zertifikat;DE000LB2LNQ5;HeidelbergCement;28.03.2025 00:00:00;65,17;65,50;0,74 %;34,33 %;;EUR;;;ESG (nachhaltig)
Bonus-Zertifikat;DE000LB2LNJ0;Deutsche Post;28.03.2025 00:00:00;40,38;40,59;6,36 %;25,72 %;;EUR;;;ESG (nachhaltig)
Bonus-Zertifikat;DE000LB2LNE1;Daimler;28.03.2025 00:00:00;65,44;65,77;3,44 %;43,85 %;;EUR;;;Basic (nicht nachhaltig)
Bonus-Zertifikat;DE000LB2LN65;Bayer;28.03.2025 00:00:00;49,55;49,80;7,93 %;29,17 %;;EUR;;;Basic (nicht nachhaltig)
Bonus-Zertifikat;DE000LB2LMW5;Allianz;28.03.2025 00:00:00;196,83;197,82;1,47 %;50,95 %;;EUR;;;ESG (nachhaltig)
Bonus-Zertifikat;DE000LB2LP89;Total;28.04.2025 00:00:00;37,57;37,76;6,56 %;44,80 %;;EUR;;;ESG (nachhaltig)
Bonus-Zertifikat;DE000LB2LP63;Volkswagen;28.03.2025 00:00:00;173,27;174,15;7,05 %;33,53 %;;EUR;;;Basic (nicht nachhaltig)
Bonus-Zertifikat;DE000LB2LP14;Siemens;28.03.2025 00:00:00;130,62;131,28;1,94 %;39,05 %;;EUR;;;ESG (nachhaltig)
Bonus-Zertifikat;DE000LB2LP06;Sanofi;28.03.2025 00:00:00;74,88;75,26;7,21 %;25,04 %;;EUR;;;Basic (nicht nachhaltig)
Bonus-Zertifikat;DE000LB2LNS1;MünchenerRück;28.03.2025 00:00:00;237,82;239,02;0,61 %;48,56 %;;EUR;;;ESG (nachhaltig)
Bonus-Zertifikat;DE000LB2LND3;Daimler;28.03.2025 00:00:00;64,88;65,21;0,30 %;52,45 %;;EUR;;;Basic (nicht nachhaltig)
Bonus-Zertifikat;DE000LB2LMY1;Allianz;28.03.2025 00:00:00;200,73;201,74;7,01 %;33,43 %;;EUR;;;ESG (nachhaltig)
Bonus-Zertifikat;DE000LB2LNL6;Deutsche Telekom;28.03.2025 00:00:00;14,96;15,04;4,14 %;36,79 %;;EUR;;;Basic (nicht nachhaltig)
Bonus-Zertifikat;DE000LB2LN99;BMW;28.03.2025 00:00:00;70,64;71,00;5,98 %;29,37 %;;EUR;;;ESG (nachhaltig)
Bonus-Zertifikat;DE000LB2LMS3;EURO STOXX 50®;22.01.2027 00:00:00;36,03;36,22;1,48 %;45,00 %;;EUR;;;Basic (nicht nachhaltig)
Bonus-Zertifikat;DE000LB2LMT1;EURO STOXX 50®;22.01.2027 00:00:00;36,13;36,32;2,49 %;39,50 %;;EUR;;;Basic (nicht nachhaltig)
Bonus-Zertifikat;DE000LB2LMU9;EURO STOXX 50®;22.01.2027 00:00:00;36,22;36,41;3,65 %;34,00 %;;EUR;;;Basic (nicht nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LAB4;Deutsche Bank;27.01.2023 00:00:00;9,45;9,50;8,72 %;43,70 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2L9P3;AXA;27.01.2023 00:00:00;19,99;20,10;5,08 %;47,18 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LBC0;Porsche;27.01.2023 00:00:00;59,37;59,67;2,45 %;50,89 %;;EUR;;;Basic (nicht nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LAP4;Fresenius;27.01.2023 00:00:00;35,49;35,67;14,85 %;18,17 %;;EUR;;;Basic (nicht nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LAF5;Deutsche Post;27.01.2023 00:00:00;40,59;40,80;3,53 %;46,42 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LAD0;Deutsche Börse;27.01.2023 00:00:00;135,38;136,07;8,83 %;26,39 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LAC2;Deutsche Börse;27.01.2023 00:00:00;137,06;137,75;4,55 %;41,11 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LA60;Covestro;27.01.2023 00:00:00;55,72;56,17;7,05 %;42,96 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2L9Z2;BMW;27.01.2023 00:00:00;70,85;71,21;3,10 %;50,35 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2L9R9;BASF;27.01.2023 00:00:00;66,42;66,76;4,40 %;43,89 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2L9M0;Allianz;27.01.2023 00:00:00;199,07;200,08;7,55 %;32,43 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2L9G2;adidas;27.01.2023 00:00:00;287,28;288,73;3,78 %;48,08 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2L9D9;DAX®;27.01.2023 00:00:00;137,25;137,94;4,84 %;26,74 %;;EUR;;;Basic (nicht nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LBY4;Total;24.02.2023 00:00:00;36,21;36,40;8,22 %;42,20 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LBT4;Wacker Chemie;27.01.2023 00:00:00;108,27;108,82;11,92 %;44,21 %;;EUR;;;Basic (nicht nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LBS6;Vonovia;27.01.2023 00:00:00;55,29;55,74;5,27 %;37,43 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LBR8;Volkswagen;27.01.2023 00:00:00;157,79;158,59;5,28 %;47,98 %;;EUR;;;Basic (nicht nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LBJ5;SAP;27.01.2023 00:00:00;101,44;101,95;4,54 %;40,23 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LBH9;Sanofi;27.01.2023 00:00:00;76,44;76,83;5,42 %;31,61 %;;EUR;;;Basic (nicht nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LBA4;Orange;27.01.2023 00:00:00;9,56;9,61;7,56 %;32,73 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LB69;MünchenerRück;27.01.2023 00:00:00;241,29;242,51;3,70 %;46,50 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LB10;Linde;27.01.2023 00:00:00;212,28;213,35;5,18 %;36,34 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LB02;LANXESS;27.01.2023 00:00:00;61,60;61,91;6,62 %;40,48 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LAV2;HUGO BOSS;27.01.2023 00:00:00;28,53;28,68;2,56 %;55,33 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LAT6;HeidelbergCement;27.01.2023 00:00:00;65,70;66,04;9,44 %;33,57 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LAQ2;Fresenius M.C.;27.01.2023 00:00:00;60,05;60,36;12,01 %;25,91 %;;EUR;;;Basic (nicht nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LAJ7;Deutsche Telekom;27.01.2023 00:00:00;15,01;15,09;8,04 %;25,48 %;;EUR;;;Basic (nicht nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LAE8;Deutsche Lufthansa;27.01.2023 00:00:00;11,33;11,39;7,15 %;57,67 %;;EUR;;;Basic (nicht nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LAA6;Deutsche Bank;27.01.2023 00:00:00;9,37;9,42;5,83 %;54,47 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LA86;Daimler;27.01.2023 00:00:00;59,94;60,25;5,29 %;47,77 %;;EUR;;;Basic (nicht nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2L9X7;Beiersdorf;27.01.2023 00:00:00;84,75;85,18;8,74 %;20,63 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2L9W9;Bayer;27.01.2023 00:00:00;50,06;50,32;15,76 %;27,17 %;;EUR;;;Basic (nicht nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2L9U3;Bayer;27.01.2023 00:00:00;51,37;51,63;5,88 %;47,73 %;;EUR;;;Basic (nicht nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2L9L2;Allianz;27.01.2023 00:00:00;201,01;202,03;4,55 %;42,44 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LBF3;RWE;27.01.2023 00:00:00;32,36;32,53;12,84 %;31,72 %;;EUR;;;Basic (nicht nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LAX8;Infineon;27.01.2023 00:00:00;33,72;33,89;6,89 %;43,89 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LAS8;HeidelbergCement;27.01.2023 00:00:00;66,18;66,52;4,60 %;48,08 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LAK5;E.ON;27.01.2023 00:00:00;8,87;8,92;6,15 %;37,28 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LAH1;Deutsche Telekom;27.01.2023 00:00:00;15,12;15,20;4,38 %;34,80 %;;EUR;;;Basic (nicht nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LB85;Nokia;27.01.2023 00:00:00;3,14;3,19;5,74 %;50,14 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LAG3;Deutsche Post;27.01.2023 00:00:00;40,42;40,63;7,90 %;32,29 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LA78;Daimler;27.01.2023 00:00:00;58,77;59,07;3,42 %;56,53 %;;EUR;;;Basic (nicht nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LA29;Commerzbank;27.01.2023 00:00:00;5,52;5,57;10,13 %;47,51 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LA11;Carl Zeiss Meditec;27.01.2023 00:00:00;110,62;111,18;4,07 %;47,71 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2L9S7;BASF;27.01.2023 00:00:00;66,28;66,62;7,49 %;34,30 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2L9N8;Allianz;27.01.2023 00:00:00;197,29;198,29;10,48 %;24,92 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2L9H0;adidas;27.01.2023 00:00:00;286,43;287,87;9,08 %;30,77 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2L9F4;EURO STOXX 50®;27.01.2023 00:00:00;35,72;35,90;5,81 %;25,75 %;;EUR;;;Basic (nicht nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2L9E7;EURO STOXX 50®;27.01.2023 00:00:00;35,74;35,92;3,69 %;36,75 %;;EUR;;;Basic (nicht nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LBQ0;Volkswagen;27.01.2023 00:00:00;153,31;154,09;2,65 %;56,65 %;;EUR;;;Basic (nicht nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LBP2;United Internet;27.01.2023 00:00:00;36,32;36,51;6,24 %;41,89 %;;EUR;;;Basic (nicht nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LAW0;Infineon;27.01.2023 00:00:00;32,85;33,02;3,09 %;56,11 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LAU4;Henkel;27.01.2023 00:00:00;82,95;83,37;7,64 %;21,55 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LAN9;Fresenius;27.01.2023 00:00:00;37,13;37,32;7,94 %;33,69 %;;EUR;;;Basic (nicht nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LA52;Covestro;27.01.2023 00:00:00;54,69;55,14;3,23 %;55,30 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LA45;Continental;27.01.2023 00:00:00;116,72;117,67;8,68 %;38,60 %;;EUR;;;Basic (nicht nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2L9Y5;Beiersdorf;27.01.2023 00:00:00;83,79;84,22;11,08 %;14,53 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2L9T5;BASF;27.01.2023 00:00:00;66,33;66,67;10,34 %;27,65 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2L9Q1;AXA;27.01.2023 00:00:00;20,01;20,12;9,88 %;32,77 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2L9K4;Airbus;27.01.2023 00:00:00;91,71;92,18;8,10 %;43,26 %;;EUR;;;Basic (nicht nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2L9C1;DAX®;27.01.2023 00:00:00;137,54;138,24;3,26 %;36,89 %;;EUR;;;Basic (nicht nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LBX6;Total;24.02.2023 00:00:00;36,38;36,57;5,26 %;51,83 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LBU2;Siemens;24.02.2023 00:00:00;125,09;125,72;3,64 %;43,74 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LBN7;Telefonica;27.01.2023 00:00:00;3,29;3,34;6,97 %;51,73 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LBL1;Siemens Healthineers;27.01.2023 00:00:00;44,90;45,27;2,54 %;34,54 %;;EUR;;;Basic (nicht nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LBM9;Südzucker;27.01.2023 00:00:00;12,43;12,50;2,89 %;48,96 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LBK3;SAP;27.01.2023 00:00:00;101,61;102,13;8,78 %;28,47 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LBE6;Royal Dutch Shell;27.01.2023 00:00:00;16,67;16,76;9,67 %;37,35 %;;EUR;;;Basic (nicht nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2L9V1;Bayer;27.01.2023 00:00:00;50,72;50,98;10,39 %;37,15 %;;EUR;;;Basic (nicht nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LBD8;Royal Dutch Shell;27.01.2023 00:00:00;16,45;16,54;6,02 %;46,81 %;;EUR;;;Basic (nicht nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LB93;Nokia;27.01.2023 00:00:00;3,13;3,18;12,73 %;36,55 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LB77;MünchenerRück;27.01.2023 00:00:00;239,61;240,82;8,19 %;32,10 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LB51;Morphosys;27.01.2023 00:00:00;86,55;86,99;11,42 %;34,05 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LB28;Linde;27.01.2023 00:00:00;205,61;206,65;9,30 %;24,09 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LB36;LVMH;27.01.2023 00:00:00;504,18;506,72;5,36 %;35,23 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LAZ3;K+S;27.01.2023 00:00:00;9,49;9,54;11,49 %;49,12 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LAY6;ING;27.01.2023 00:00:00;8,54;8,59;5,40 %;54,59 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LAR0;Fresenius M.C.;27.01.2023 00:00:00;57,59;57,88;18,41 %;12,83 %;;EUR;;;Basic (nicht nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LAM1;Fraport;27.01.2023 00:00:00;46,56;46,80;4,59 %;50,67 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LAL3;E.ON;27.01.2023 00:00:00;8,41;8,46;12,50 %;23,08 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LA94;Daimler;27.01.2023 00:00:00;61,34;61,65;7,65 %;39,02 %;;EUR;;;Basic (nicht nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LA03;BMW;27.01.2023 00:00:00;70,56;70,92;6,49 %;37,76 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2L9J6;Airbus;27.01.2023 00:00:00;91,21;91,67;4,65 %;53,58 %;;EUR;;;Basic (nicht nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LBV0;Siemens;24.02.2023 00:00:00;125,90;126,54;7,08 %;32,02 %;;EUR;;;ESG (nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LBG1;RWE;27.01.2023 00:00:00;30,95;31,11;21,26 %;17,68 %;;EUR;;;Basic (nicht nachhaltig)
Capped-Bonus-Zertifikat;DE000LB2LBB2;Philips;27.01.2023 00:00:00;44,03;44,26;5,23 %;34,08 %;;EUR;;;Basic (nicht nachhaltig)
