Produkttyp;ISIN;Basiswert;Rückzahlungstermin;Geld;Brief;(Maßgebliche) Rendite p.a.;(Maßgeblicher) Sicherheitspuffer;(Mögliche) nächste Zahlung;Währung;ETF-Liefermöglichkeit;Besonderheit bei Rückzahlungsbeträgen;Nachhaltigkeit,,,,,,
DuoRendite Aktien-Anleihe;DE000LB2UGM9;Deutsche Post;25.08.2023 00:00:00;99,87;99,97;2,02 %;15,67 %;2,00 %;EUR;;;ESG (nachhaltig),
DuoRendite Aktien-Anleihe;DE000LB2UGN7;SAP;25.08.2023 00:00:00;99,36;99,46;2,43 %;8,42 %;2,20 %;EUR;;;ESG (nachhaltig),
DuoRendite Aktien-Anleihe;DE000LB2UGL1;Daimler;25.08.2023 00:00:00;100,05;100,15;2,69 %;21,63 %;2,75 %;EUR;;;Basic (nicht nachhaltig),
DuoRendite Aktien-Anleihe;DE000LB2UGH9;Allianz;25.08.2023 00:00:00;100,86;100,96;2,00 %;19,36 %;2,40 %;EUR;;;ESG (nachhaltig),
DuoRendite Aktien-Anleihe;DE000LB2UGK3;Bayer;25.08.2023 00:00:00;99,64;99,74;2,52 %;18,56 %;2,40 %;EUR;;;Basic (nicht nachhaltig),
DuoRendite Aktien-Anleihe;DE000LB2UGJ5;BASF;25.08.2023 00:00:00;100,79;100,89;1,83 %;18,01 %;2,20 %;EUR;;;ESG (nachhaltig),
Express-Aktien-Anleihe;DE000LB2UFD0;SAP;28.03.2025 00:00:00;97,07;98,27;3,69 %;17,80 %;2,00 %;EUR;;;ESG (nachhaltig),
Express-Aktien-Anleihe;DE000LB2UFB4;Deutsche Post;28.03.2025 00:00:00;98,83;100,03;2,27 %;21,18 %;2,30 %;EUR;;;ESG (nachhaltig),
Express-Aktien-Anleihe;DE000LB2UF98;Bayer;28.03.2025 00:00:00;97,88;99,08;3,90 %;22,22 %;3,00 %;EUR;;;Basic (nicht nachhaltig),
Express-Aktien-Anleihe;DE000LB2UFC2;Infineon;28.03.2025 00:00:00;99,82;101,03;2,11 %;28,78 %;3,10 %;EUR;;;ESG (nachhaltig),
Express-Aktien-Anleihe;DE000LB2UFA6;Daimler;28.03.2025 00:00:00;99,60;100,81;2,32 %;28,51 %;3,10 %;EUR;;;Basic (nicht nachhaltig),
Express-Anleihe;DE000LB2U8X8;Volkswagen;28.02.2025 00:00:00;100,60;101,82;2,12 %;44,44 %;4,00 %;EUR;;;Basic (nicht nachhaltig),
Express-Anleihe;DE000LB2U8S8;EURO STOXX 50®;26.02.2027 00:00:00;99,31;100,31;1,18 %;46,15 %;1,50 %;EUR;;;Basic (nicht nachhaltig),
Express-Anleihe;DE000LB2U8W0;Deutsche Post;28.02.2025 00:00:00;99,34;100,55;2,43 %;37,02 %;3,00 %;EUR;;;ESG (nachhaltig),
Express-Anleihe;DE000LB2U8V2;Daimler;28.02.2025 00:00:00;99,40;100,61;3,56 %;37,27 %;4,20 %;EUR;;;Basic (nicht nachhaltig),
Express-Anleihe;DE000LB2U8U4;Covestro;28.02.2025 00:00:00;99,38;101,41;1,84 %;42,88 %;3,30 %;EUR;;;ESG (nachhaltig),
Express-Anleihe;DE000LB2U8T6;Bayer;28.02.2025 00:00:00;97,35;98,55;5,76 %;32,40 %;4,20 %;EUR;;;Basic (nicht nachhaltig),
Express-Anleihe;DE000LB2UP62;Daimler;28.04.2025 00:00:00;100,21;101,43;2,71 %;46,95 %;4,00 %;EUR;;;Basic (nicht nachhaltig),
Express-Anleihe;DE000LB2UNW4;EURO STOXX 50®;30.03.2027 00:00:00;99,58;100,59;0,94 %;55,40 %;1,50 %;EUR;;;Basic (nicht nachhaltig),
Express-Anleihe;DE000LB2UP88;Royal Dutch Shell;28.04.2025 00:00:00;98,31;99,51;4,58 %;43,47 %;4,15 %;EUR;;;Basic (nicht nachhaltig),
Express-Anleihe;DE000LB2UP70;Deutsche Post;28.04.2025 00:00:00;99,94;101,15;1,97 %;36,79 %;3,00 %;EUR;;;ESG (nachhaltig),
Express-Anleihe;DE000LB2UNY0;EURO STOXX 50®;30.03.2027 00:00:00;99,75;100,76;1,27 %;40,53 %;2,00 %;EUR;;;Basic (nicht nachhaltig),
Express-Anleihe;DE000LB2UP96;Volkswagen;28.04.2025 00:00:00;100,69;101,91;2,29 %;46,99 %;4,00 %;EUR;;;Basic (nicht nachhaltig),
Express-Anleihe;DE000LB2UP54;Bayer;28.04.2025 00:00:00;98,83;100,03;3,96 %;35,66 %;4,00 %;EUR;;;Basic (nicht nachhaltig),
Express-Anleihe;DE000LB2UP47;Allianz;28.04.2025 00:00:00;100,13;101,35;2,29 %;36,17 %;3,50 %;EUR;;;ESG (nachhaltig),
Express-Anleihe;DE000LB2UNZ7;MSCI EMU SRI Select 30 Decrement 3,5% Index;30.03.2027 00:00:00;99,02;100,53;1,59 %;44,89 %;2,10 %;EUR;;;ESG (nachhaltig)
Express-Anleihe;DE000LB2UNX2;EURO STOXX 50®;30.03.2027 00:00:00;99,77;100,78;1,11 %;45,49 %;1,85 %;EUR;;;Basic (nicht nachhaltig),
Festzins-Safe-Anleihe mit Cap;DE000LB2UNK9;EURO STOXX® Select Dividend 30;30.03.2027 00:00:00;101,23;101,84;0,20 %;;0,20 %;EUR;;;Basic (nicht nachhaltig),,
Index-Anleihe;DE000LB2UK42;EURO STOXX 50®;26.08.2022 00:00:00;100,92;101,02;2,90 %;12,59 %;3,60 %;EUR;;;Basic (nicht nachhaltig),
Index-Anleihe;DE000LB2UK34;EURO STOXX 50®;26.08.2022 00:00:00;100,69;100,79;1,86 %;19,31 %;2,40 %;EUR;;;Basic (nicht nachhaltig),
Index-Anleihe;DE000LB2UJ86;DAX®;26.08.2022 00:00:00;100,50;100,60;3,89 %;4,08 %;4,30 %;EUR;;;Basic (nicht nachhaltig),
Index-Anleihe;DE000LB2UK59;EURO STOXX 50®;26.08.2022 00:00:00;101,04;101,14;3,66 %;8,55 %;4,45 %;EUR;;;Basic (nicht nachhaltig),
Index-Anleihe;DE000LB2UJ60;DAX®;26.08.2022 00:00:00;100,42;100,52;2,10 %;14,74 %;2,45 %;EUR;;;Basic (nicht nachhaltig),
Index-Anleihe;DE000LB2UJ52;DAX®;26.08.2022 00:00:00;100,34;100,44;1,20 %;21,84 %;1,50 %;EUR;;;Basic (nicht nachhaltig),
Index-Anleihe;DE000LB2UJ78;DAX®;26.08.2022 00:00:00;100,46;100,56;2,92 %;9,41 %;3,30 %;EUR;;;Basic (nicht nachhaltig),
Index-Anleihe;DE000LB2UVE5;EURO STOXX 50®;25.03.2022 00:00:00;100,41;100,51;4,49 %;5,87 %;5,00 %;EUR;;;Basic (nicht nachhaltig),
Index-Anleihe;DE000LB2UV98;DAX®;25.03.2022 00:00:00;100,10;100,20;2,91 %;11,18 %;3,10 %;EUR;;;Basic (nicht nachhaltig),
Index-Anleihe;DE000LB2UV72;DAX®;25.03.2022 00:00:00;100,04;100,14;1,67 %;18,29 %;1,80 %;EUR;;;Basic (nicht nachhaltig),
Index-Anleihe;DE000LB2UVA3;DAX®;25.03.2022 00:00:00;100,13;100,23;3,67 %;7,63 %;3,90 %;EUR;;;Basic (nicht nachhaltig),
Index-Anleihe;DE000LB2UVC9;EURO STOXX 50®;25.03.2022 00:00:00;100,26;100,36;1,66 %;19,31 %;2,00 %;EUR;;;Basic (nicht nachhaltig),
Index-Anleihe;DE000LB2UVB1;DAX®;25.03.2022 00:00:00;99,81;99,91;4,59 %;4,08 %;4,50 %;EUR;;;Basic (nicht nachhaltig),
Index-Anleihe;DE000LB2UVD7;EURO STOXX 50®;25.03.2022 00:00:00;100,36;100,46;2,85 %;12,59 %;3,30 %;EUR;;;Basic (nicht nachhaltig),
Index-Anleihe;DE000LB2UV80;DAX®;25.03.2022 00:00:00;100,07;100,17;2,24 %;14,74 %;2,40 %;EUR;;;Basic (nicht nachhaltig),
Memory-Express-Zertifikat plus;DE000LB2LD59;Volkswagen;23.04.2027 00:00:00;1.009,21;1.021,47;1,58 %;36,14 %;4,00 %;EUR;;;Basic (nicht nachhaltig),
Memory-Express-Zertifikat plus;DE000LB2LD18;AXA;23.04.2027 00:00:00;1.014,08;1.026,40;1,41 %;31,80 %;4,30 %;EUR;;;ESG (nachhaltig),
Memory-Express-Zertifikat plus;DE000LB2LD34;Bayer;23.04.2027 00:00:00;978,43;990,31;4,79 %;21,20 %;4,50 %;EUR;;;Basic (nicht nachhaltig),
Memory-Express-Zertifikat plus;DE000LB2LL26;SAP;23.04.2027 00:00:00;988,03;1.000,03;2,43 %;20,91 %;2,80 %;EUR;;;ESG (nachhaltig),
Memory-Express-Zertifikat plus;DE000LB2LL18;MSCI EMU SRI Select 30 Decrement 3,5% Index;23.04.2027 00:00:00;986,23;1.001,25;2,06 %;30,24 %;2,50 %;EUR;;;ESG (nachhaltig)
Memory-Express-Zertifikat plus;DE000LB2LKU3;EURO STOXX 50®;23.04.2027 00:00:00;990,03;1.000,03;1,30 %;40,23 %;1,50 %;EUR;;;Basic (nicht nachhaltig),
Memory-Express-Zertifikat plus;DE000LB2LKQ1;Deutsche Telekom;23.04.2027 00:00:00;996,47;1.008,57;1,85 %;25,98 %;3,00 %;EUR;;;Basic (nicht nachhaltig),
Memory-Express-Zertifikat plus;DE000LB2LKH0;adidas;23.04.2027 00:00:00;996,15;1.008,25;1,88 %;25,77 %;3,00 %;EUR;;;ESG (nachhaltig),
Memory-Express-Zertifikat plus;DE000LB2LKL2;BASF;23.04.2027 00:00:00;1.002,91;1.015,09;1,71 %;25,09 %;3,50 %;EUR;;;ESG (nachhaltig),
Memory-Express-Zertifikat plus;DE000LB2LKZ2;EURO STOXX 50®;23.04.2027 00:00:00;1.000,81;1.010,92;1,64 %;22,29 %;3,00 %;EUR;x;;Basic (nicht nachhaltig),
Memory-Express-Zertifikat plus;DE000LB2LKW9;EURO STOXX 50®;23.04.2027 00:00:00;989,40;999,39;1,97 %;30,26 %;2,20 %;EUR;;;Basic (nicht nachhaltig),
Memory-Express-Zertifikat plus;DE000LB2LKN8;Daimler;23.04.2027 00:00:00;1.008,04;1.020,28;2,70 %;32,51 %;5,20 %;EUR;;;Basic (nicht nachhaltig),
Memory-Express-Zertifikat plus;DE000LB2LL34;Siemens;23.04.2027 00:00:00;995,00;1.007,09;1,98 %;24,97 %;3,00 %;EUR;;;ESG (nachhaltig),
Memory-Express-Zertifikat plus;DE000LB2LL00;Infineon;23.04.2027 00:00:00;998,06;1.010,18;2,05 %;35,79 %;3,40 %;EUR;;;ESG (nachhaltig),
Memory-Express-Zertifikat plus;DE000LB2LKX7;EURO STOXX 50®;23.04.2027 00:00:00;990,44;1.000,44;1,87 %;30,26 %;2,20 %;EUR;x;;Basic (nicht nachhaltig),
Memory-Express-Zertifikat plus;DE000LB2LKT5;EURO STOXX 50®;23.04.2027 00:00:00;989,37;999,36;1,01 %;50,19 %;1,10 %;EUR;x;;Basic (nicht nachhaltig),
Memory-Express-Zertifikat plus;DE000LB2LKV1;EURO STOXX 50®;23.04.2027 00:00:00;990,03;1.000,03;1,30 %;40,23 %;1,50 %;EUR;x;;Basic (nicht nachhaltig),
Memory-Express-Zertifikat plus;DE000LB2LKR9;E.ON;23.04.2027 00:00:00;998,09;1.010,21;2,22 %;24,84 %;3,60 %;EUR;;;ESG (nachhaltig),
Memory-Express-Zertifikat plus;DE000LB2LKS7;EURO STOXX 50®;23.04.2027 00:00:00;990,41;1.000,41;0,92 %;50,19 %;1,10 %;EUR;;;Basic (nicht nachhaltig),
Memory-Express-Zertifikat plus;DE000LB2LKM0;Bayer;23.04.2027 00:00:00;990,14;1.002,17;4,66 %;20,76 %;5,60 %;EUR;;;Basic (nicht nachhaltig),
Memory-Express-Zertifikat plus;DE000LB2LKJ6;Allianz;23.04.2027 00:00:00;1.005,34;1.017,55;1,92 %;26,81 %;4,00 %;EUR;;;ESG (nachhaltig),
Memory-Express-Zertifikat plus;DE000LB2LL42;Total;23.04.2027 00:00:00;985,95;997,93;3,23 %;34,88 %;3,50 %;EUR;;;ESG (nachhaltig),
Memory-Express-Zertifikat plus;DE000LB2LKY5;EURO STOXX 50®;23.04.2027 00:00:00;1.000,81;1.010,92;1,64 %;22,29 %;3,00 %;EUR;;;Basic (nicht nachhaltig),
Memory-Express-Zertifikat plus;DE000LB2LKP3;Deutsche Post;23.04.2027 00:00:00;996,10;1.008,20;1,88 %;26,19 %;3,00 %;EUR;;;ESG (nachhaltig),
Memory-Express-Zertifikat plus;DE000LB2LKK4;AXA;23.04.2027 00:00:00;1.001,56;1.013,72;1,40 %;43,38 %;3,00 %;EUR;;;ESG (nachhaltig),
Performance-Deep-Express-Zertifikat;DE000LB2LDS2;Total;30.03.2027 00:00:00;1.023,06;1.035,49;0,86 %;29,56 %;4,50 %;EUR;;;ESG (nachhaltig),
Performance-Deep-Express-Zertifikat;DE000LB2LDN3;MSCI EMU SRI Select 30 Decrement 3,5% Index;30.03.2027 00:00:00;980,76;995,70;3,90 %;23,50 %;3,70 %;EUR;;;ESG (nachhaltig)
Performance-Deep-Express-Zertifikat;DE000LB2LDQ6;AXA;30.03.2027 00:00:00;1.066,46;1.079,41;-1,69 %;36,36 %;6,00 %;EUR;;;ESG (nachhaltig),
Performance-Deep-Express-Zertifikat;DE000LB2LDP8;Allianz;30.03.2027 00:00:00;1.016,40;1.028,74;0,34 %;27,33 %;3,25 %;EUR;;;ESG (nachhaltig),
Performance-Deep-Express-Zertifikat;DE000LB2LDR4;Deutsche Telekom;30.03.2027 00:00:00;990,30;1.002,33;2,59 %;25,24 %;3,00 %;EUR;;;Basic (nicht nachhaltig),
Safe-Anleihe mit Cap;DE000LB2U801;Deutsche Telekom;26.06.2026 00:00:00;99,46;99,66;6,60 %;;;EUR;;;Basic (nicht nachhaltig),,,
Safe-Anleihe mit Cap;DE000LB2U7Y8;EURO STOXX 50®;23.06.2028 00:00:00;100,05;100,86;1,44 %;;;EUR;;;Basic (nicht nachhaltig),,,
Safe-Anleihe mit Cap;DE000LB2U7X0;MSCI EMU SRI Select 30 Decrement 3,5% Index;26.06.2026 00:00:00;99,85;100,66;2,03 %;;;EUR;;;ESG (nachhaltig),,
Safe-Anleihe mit Cap;DE000LB2U7W2;EURO STOXX® Select Dividend 30;27.02.2026 00:00:00;100,92;101,12;2,07 %;;;EUR;;;Basic (nicht nachhaltig),,,
Safe-Anleihe mit Cap;DE000LB2U7Z5;AXA;26.06.2026 00:00:00;101,47;101,88;3,13 %;;;EUR;;;ESG (nachhaltig),,,
Safe-Anleihe mit Cap;DE000LB2UNP8;MSCI EMU SRI Select 30 Decrement 3,5% Index;23.06.2028 00:00:00;100,02;101,65;2,29 %;;;EUR;;;ESG (nachhaltig),,
Safe-Anleihe mit Cap;DE000LB2UNN3;EURO STOXX 50®;23.06.2028 00:00:00;100,92;101,73;1,20 %;;;EUR;;;Basic (nicht nachhaltig),,,
Safe-Anleihe mit Cap;DE000LB2UNM5;EURO STOXX® Select Dividend 30;26.06.2026 00:00:00;101,38;101,79;2,32 %;;;EUR;;;Basic (nicht nachhaltig),,,
